CIA - The World Factbook --  Maritime claims   

This entry includes the following claims, the definitions of which are excerpted from the United Nations Convention on the Law of the Sea (UNCLOS), which alone contains the full and definitive descriptions:
| territorial sea - the sovereignty of a coastal state extends beyond its land territory and internal waters to an adjacent belt of sea, described as the territorial sea in the UNCLOS (Part II); this sovereignty extends to the air space over the territorial sea as well as its underlying seabed and subsoil; every state has the right to establish the breadth of its territorial sea up to a limit not exceeding 12 nautical miles; the normal baseline for measuring the breadth of the territorial sea is the mean low-water line along the coast as marked on large-scale charts officially recognized by the coastal state; the UNCLOS describes specific rules for archipelagic states. |
| contiguous zone - according to the UNCLOS (Article 33), this is a zone contiguous to a coastal state's territorial sea, over which it may exercise the control necessary to: prevent infringement of its customs, fiscal, immigration, or sanitary laws and regulations within its territory or territorial sea; punish infringement of the above laws and regulations committed within its territory or territorial sea; the contiguous zone may not extend beyond 24 nautical miles from the baselines from which the breadth of the territorial sea is measured (e.g. the US has claimed a 12-nautical mile contiguous zone in addition to its 12-nautical mile territorial sea). |
| exclusive economic zone (EEZ) - the UNCLOS (Part V) defines the EEZ as a zone beyond and adjacent to the territorial sea in which a coastal state has: sovereign rights for the purpose of exploring and exploiting, conserving and managing the natural resources, whether living or non-living, of the waters superjacent to the seabed and of the seabed and its subsoil, and with regard to other activities for the economic exploitation and exploration of the zone, such as the production of energy from the water, currents, and winds; jurisdiction with regard to the establishment and use of artificial islands, installations, and structures; marine scientific research; the protection and preservation of the marine environment; the outer limit of the exclusive economic zone shall not exceed 200 nautical miles from the baselines from which the breadth of the territorial sea is measured. |
| continental shelf - the UNCLOS (Article 76) defines the continental shelf of a coastal state as comprising the seabed and subsoil of the submarine areas that extend beyond its territorial sea throughout the natural prolongation of its land territory to the outer edge of the continental margin, or to a distance of 200 nautical miles from the baselines from which the breadth of the territorial sea is measured where the outer edge of the continental margin does not extend up to that distance; the continental margin comprises the submerged prolongation of the landmass of the coastal state, and consists of the seabed and subsoil of the shelf, the slope and the rise; wherever the continental margin extends beyond 200 nautical miles from the baseline, coastal states may extend their claim to a distance not to exceed 350 nautical miles from the baseline or 100 nautical miles from the 2500 meter isobath; it does not include the deep ocean floor with its oceanic ridges or the subsoil thereof. |
| exclusive fishing zone - while this term is not used in the UNCLOS, some states (e.g., the United Kingdom) have chosen not to claim an EEZ, but rather to claim jurisdiction over the living resources off their coast; in such cases, the term exclusive fishing zone is often used; the breadth of this zone is normally the same as the EEZ or 200 nautical miles. |
| Rank | country | Maritime claims | Date of Information |
| --- | --- | --- | --- |
| 1 | Antigua and Barbuda | 200.00 | NA |
| 2 | Antigua and Barbuda | 200.00 | NA |
| 3 | United Arab Emirates | 200.00 | NA |
| 4 | Angola | 200.00 | NA |
| 5 | American Samoa | 200.00 | NA |
| 6 | Argentina | 200.00 | NA |
| 7 | Australia | 200.00 | NA |
| 8 | Anguilla | 200.00 | NA |
| 9 | Bermuda | 200.00 | NA |
| 10 | Navassa Island | 200.00 | NA |
| 11 | Solomon Islands | 200.00 | NA |
| 12 | Solomon Islands | 200.00 | NA |
| 13 | Benin | 200.00 | NA |
| 14 | Burma | 200.00 | NA |
| 15 | Burma | 200.00 | NA |
| 16 | Belize | 200.00 | NA |
| 17 | Bangladesh | 200.00 | NA |
| 18 | Bahamas, The | 200.00 | NA |
| 19 | China | 200.00 | NA |
| 20 | China | 200.00 | NA |
| 21 | Congo, Republic of the | 200.00 | NA |
| 22 | Sri Lanka | 200.00 | NA |
| 23 | Sri Lanka | 200.00 | NA |
| 24 | Cambodia | 200.00 | NA |
| 25 | Cambodia | 200.00 | NA |
| 26 | Canada | 200.00 | NA |
| 27 | Canada | 200.00 | NA |
| 28 | Brunei | 200.00 | NA |
| 29 | Bulgaria | 200.00 | NA |
| 30 | Brazil | 200.00 | NA |
| 31 | Brazil | 200.00 | NA |
| 32 | El Salvador | 200.00 | NA |
| 33 | Equatorial Guinea | 200.00 | NA |
| 34 | Ireland | 200.00 | NA |
| 35 | Egypt | 200.00 | NA |
| 36 | Ecuador | 200.00 | NA |
| 37 | Dominican Republic | 200.00 | NA |
| 38 | Dominican Republic | 200.00 | NA |
| 39 | Dominica | 200.00 | NA |
| 40 | Djibouti | 200.00 | NA |
| 41 | Denmark | 200.00 | NA |
| 42 | Cook Islands | 200.00 | NA |
| 43 | Cook Islands | 200.00 | NA |
| 44 | Cape Verde | 200.00 | NA |
| 45 | Cuba | 200.00 | NA |
| 46 | Costa Rica | 200.00 | NA |
| 47 | Greenland | 200.00 | NA |
| 48 | Greenland | 200.00 | NA |
| 49 | Grenada | 200.00 | NA |
| 50 | Ghana | 200.00 | NA |
| 51 | Ghana | 200.00 | NA |
| 52 | Georgia | 200.00 | NA |
| 53 | Gabon | 200.00 | NA |
| 54 | Gambia, The | 200.00 | NA |
| 55 | French Southern and Antarctic Lands | 200.00 | NA |
| 56 | Cote d'Ivoire | 200.00 | NA |
| 57 | Cote d'Ivoire | 200.00 | NA |
| 58 | Clipperton Island | 200.00 | NA |
| 59 | British Indian Ocean Territory | 200.00 | NA |
| 60 | India | 200.00 | NA |
| 61 | India | 200.00 | NA |
| 62 | Indonesia | 200.00 | NA |
| 63 | Iceland | 200.00 | NA |
| 64 | Iceland | 200.00 | NA |
| 65 | Morocco | 200.00 | NA |
| 66 | Montserrat | 200.00 | NA |
| 67 | Mayotte | 200.00 | NA |
| 68 | Madagascar | 200.00 | NA |
| 69 | Madagascar | 200.00 | NA |
| 70 | Liberia | 200.00 | NA |
| 71 | Latvia | 200.00 | NA |
| 72 | Christmas Island | 200.00 | NA |
| 73 | Korea, South | 200.00 | NA |
| 74 | Netherlands | 200.00 | NA |
| 75 | Nigeria | 200.00 | NA |
| 76 | Vanuatu | 200.00 | NA |
| 77 | Vanuatu | 200.00 | NA |
| 78 | Norfolk Island | 200.00 | NA |
| 79 | Niue | 200.00 | NA |
| 80 | New Caledonia | 200.00 | NA |
| 81 | Mozambique | 200.00 | NA |
| 82 | Malaysia | 200.00 | NA |
| 83 | Yemen | 200.00 | NA |
| 84 | Yemen | 200.00 | NA |
| 85 | Samoa | 200.00 | NA |
