CIA - The World Factbook --  Maritime claims   

This entry includes the following claims, the definitions of which are excerpted from the United Nations Convention on the Law of the Sea (UNCLOS), which alone contains the full and definitive descriptions:
| territorial sea - the sovereignty of a coastal state extends beyond its land territory and internal waters to an adjacent belt of sea, described as the territorial sea in the UNCLOS (Part II); this sovereignty extends to the air space over the territorial sea as well as its underlying seabed and subsoil; every state has the right to establish the breadth of its territorial sea up to a limit not exceeding 12 nautical miles; the normal baseline for measuring the breadth of the territorial sea is the mean low-water line along the coast as marked on large-scale charts officially recognized by the coastal state; where the coasts of two states are opposite or adjacent to each other, neither state is entitled to extend its territorial sea beyond the median line, every point of which is equidistant from the nearest points on the baseline from which the territorial seas of both states are measured; the UNCLOS describes specific rules for archipelagic states. |
| contiguous zone - according to the UNCLOS (Article 33), this is a zone contiguous to a coastal state's territorial sea, over which it may exercise the control necessary to: prevent infringement of its customs, fiscal, immigration, or sanitary laws and regulations within its territory or territorial sea; punish infringement of the above laws and regulations committed within its territory or territorial sea; the contiguous zone may not extend beyond 24 nautical miles from the baselines from which the breadth of the territorial sea is measured (e.g., the US has claimed a 12-nautical mile contiguous zone in addition to its 12-nautical mile territorial sea); where the coasts of two states are opposite or adjacent to each other, neither state is entitled to extend its contiguous zone beyond the median line, every point of which is equidistant from the nearest points on the baseline from which the contiguous zone of both states are measured. |
| exclusive economic zone (EEZ) - the UNCLOS (Part V) defines the EEZ as a zone beyond and adjacent to the territorial sea in which a coastal state has: sovereign rights for the purpose of exploring and exploiting, conserving and managing the natural resources, whether living or non-living, of the waters superjacent to the seabed and of the seabed and its subsoil, and with regard to other activities for the economic exploitation and exploration of the zone, such as the production of energy from the water, currents, and winds; jurisdiction with regard to the establishment and use of artificial islands, installations, and structures; marine scientific research; the protection and preservation of the marine environment; the outer limit of the exclusive economic zone shall not exceed 200 nautical miles from the baselines from which the breadth of the territorial sea is measured. |
| continental shelf - the UNCLOS (Article 76) defines the continental shelf of a coastal state as comprising the seabed and subsoil of the submarine areas that extend beyond its territorial sea throughout the natural prolongation of its land territory to the outer edge of the continental margin, or to a distance of 200 nautical miles from the baselines from which the breadth of the territorial sea is measured where the outer edge of the continental margin does not extend up to that distance; the continental margin comprises the submerged prolongation of the landmass of the coastal state, and consists of the seabed and subsoil of the shelf, the slope and the rise; wherever the continental margin extends beyond 200 nautical miles from the baseline, coastal states may extend their claim to a distance not to exceed 350 nautical miles from the baseline or 100 nautical miles from the 2,500-meter isobath, which is a line connecting points of 2,500 meters in depth; it does not include the deep ocean floor with its oceanic ridges or the subsoil thereof. |
| exclusive fishing zone - while this term is not used in the UNCLOS, some states (e.g., the United Kingdom) have chosen not to claim an EEZ, but rather to claim jurisdiction over the living resources off their coast; in such cases, the term exclusive fishing zone is often used; the breadth of this zone is normally the same as the EEZ or 200 nautical miles. |
| Rank | country | Maritime claims | Date of Information |
| --- | --- | --- | --- |
| 1 | Antigua and Barbuda | 200.00 | NA |
| 2 | Antigua and Barbuda | 200.00 | NA |
| 3 | United Arab Emirates | 200.00 | NA |
| 4 | United Arab Emirates | 200.00 | NA |
| 5 | Angola | 200.00 | NA |
| 6 | American Samoa | 200.00 | NA |
| 7 | Argentina | 200.00 | NA |
| 8 | Argentina | 200.00 | NA |
| 9 | Australia | 200.00 | NA |
| 10 | Australia | 200.00 | NA |
| 11 | Ashmore and Cartier Islands | 200.00 | NA |
| 12 | Anguilla | 200.00 | NA |
| 13 | Barbados | 200.00 | NA |
| 14 | Bermuda | 200.00 | NA |
| 15 | Bahamas, The | 200.00 | NA |
| 16 | Bangladesh | 200.00 | NA |
| 17 | Belize | 200.00 | NA |
| 18 | Burma | 200.00 | NA |
| 19 | Burma | 200.00 | NA |
| 20 | Benin | 200.00 | NA |
| 21 | Solomon Islands | 200.00 | NA |
| 22 | Solomon Islands | 200.00 | NA |
| 23 | Navassa Island | 200.00 | NA |
| 24 | Brazil | 200.00 | NA |
| 25 | Brazil | 200.00 | NA |
| 26 | Bulgaria | 200.00 | NA |
| 27 | Brunei | 200.00 | NA |
| 28 | Canada | 200.00 | NA |
| 29 | Canada | 200.00 | NA |
| 30 | Cambodia | 200.00 | NA |
| 31 | Cambodia | 200.00 | NA |
| 32 | Sri Lanka | 200.00 | NA |
| 33 | Sri Lanka | 200.00 | NA |
| 34 | Congo, Republic of the | 200.00 | NA |
| 35 | China | 200.00 | NA |
| 36 | China | 200.00 | NA |
| 37 | Chile | 200.00 | NA |
| 38 | Cayman Islands | 200.00 | NA |
| 39 | Cocos (Keeling) Islands | 200.00 | NA |
| 40 | Comoros | 200.00 | NA |
| 41 | Colombia | 200.00 | NA |
| 42 | Northern Mariana Islands | 200.00 | NA |
| 43 | Coral Sea Islands | 200.00 | NA |
| 44 | Costa Rica | 200.00 | NA |
| 45 | Costa Rica | 200.00 | NA |
| 46 | Cuba | 200.00 | NA |
| 47 | Cape Verde | 200.00 | NA |
| 48 | Cook Islands | 200.00 | NA |
| 49 | Cook Islands | 200.00 | NA |
| 50 | Denmark | 200.00 | NA |
| 51 | Djibouti | 200.00 | NA |
| 52 | Dominica | 200.00 | NA |
| 53 | Dominican Republic | 200.00 | NA |
| 54 | Dominican Republic | 200.00 | NA |
| 55 | Ecuador | 200.00 | NA |
| 56 | Egypt | 200.00 | NA |
| 57 | Ireland | 200.00 | NA |
| 58 | Equatorial Guinea | 200.00 | NA |
| 59 | El Salvador | 200.00 | NA |
| 60 | Fiji | 200.00 | NA |
| 61 | Falkland Islands (Islas Malvinas) | 200.00 | NA |
| 62 | Falkland Islands (Islas Malvinas) | 200.00 | NA |
| 63 | Micronesia, Federated States of | 200.00 | NA |
| 64 | Faroe Islands | 200.00 | NA |
| 65 | Faroe Islands | 200.00 | NA |
| 66 | French Polynesia | 200.00 | NA |
| 67 | France | 200.00 | NA |
| 68 | French Southern and Antarctic Lands | 200.00 | NA |
| 69 | Gambia, The | 200.00 | NA |
| 70 | Gabon | 200.00 | NA |
| 71 | Georgia | 200.00 | NA |
| 72 | Ghana | 200.00 | NA |
| 73 | Ghana | 200.00 | NA |
| 74 | Grenada | 200.00 | NA |
| 75 | Greenland | 200.00 | NA |
