CIA - The World Factbook --  Sex ratio   

This entry includes the number of males for each female in five age groups - at birth, under 15 years, 15-64 years, 65 years and over, and for the total population. Sex ratio at birth has recently emerged as an indicator of certain kinds of sex discrimination in some countries. For instance, high sex ratios at birth in some Asian countries are now attributed to sex-selective abortion and infanticide due to a strong preference for sons. This will affect future marriage patterns and fertility patterns. Eventually, it could cause unrest among young adult males who are unable to find partners.

| Rank | country | (male(s)/female) | Date of Information |
| --- | --- | --- | --- |
| 1 | United Arab Emirates | 2.74 | 2009 est. |
| 2 | Qatar | 2.46 | 2009 est. |
| 3 | United Arab Emirates | 2.19 | 2009 est. |
| 4 | Qatar | 2.00 | 2009 est. |
| 5 | Montserrat | 1.95 | 2009 est. |
| 6 | United Arab Emirates | 1.82 | 2009 est. |
| 7 | Kuwait | 1.78 | 2009 est. |
| 8 | Kuwait | 1.66 | 2009 est. |
| 9 | Maldives | 1.62 | 2009 est. |
| 10 | Kuwait | 1.54 | 2009 est. |
| 11 | Maldives | 1.44 | 2009 est. |
| 12 | Oman | 1.38 | 2009 est. |
| 13 | Qatar | 1.38 | 2009 est. |
| 14 | Bahrain | 1.34 | 2009 est. |
| 15 | Oman | 1.32 | 2009 est. |
| 16 | Saudi Arabia | 1.29 | 2009 est. |
| 17 | Palau | 1.26 | 2009 est. |
| 18 | Bahrain | 1.24 | 2009 est. |
| 19 | Oman | 1.22 | 2009 est. |
| 20 | Saint Barthelemy | 1.19 | 2009 est. |
| 21 | Saudi Arabia | 1.18 | 2009 est. |
| 22 | Greenland | 1.16 | 2009 est. |
| 23 | Mayotte | 1.16 | 2009 est. |
| 24 | Armenia | 1.15 | 2009 est. |
| 25 | Faroe Islands | 1.15 | 2009 est. |
| 26 | Georgia | 1.15 | 2009 est. |
| 27 | Jordan | 1.15 | 2009 est. |
| 28 | Armenia | 1.14 | 2009 est. |
| 29 | Palau | 1.14 | 2009 est. |
| 30 | Saint Barthelemy | 1.14 | 2009 est. |
| 31 | Macau | 1.14 | 2009 est. |
| 32 | Azerbaijan | 1.13 | 2009 est. |
| 33 | Georgia | 1.13 | 2009 est. |
| 34 | Cook Islands | 1.13 | 2009 est. |
| 35 | Bhutan | 1.13 | 2009 est. |
| 36 | China | 1.13 | 2009 est. |
| 37 | Azerbaijan | 1.12 | 2009 est. |
| 38 | India | 1.12 | 2009 est. |
| 39 | Greenland | 1.12 | 2009 est. |
| 40 | Bhutan | 1.12 | 2009 est. |
| 41 | Bahrain | 1.12 | 2009 est. |
| 42 | Grenada | 1.12 | 2009 est. |
| 43 | Wallis and Futuna | 1.11 | 2009 est. |
| 44 | Albania | 1.10 | 2009 est. |
| 45 | Albania | 1.10 | 2009 est. |
| 46 | Samoa | 1.10 | 2009 est. |
| 47 | Turks and Caicos Islands | 1.10 | 2009 est. |
| 48 | Korea, South | 1.10 | 2009 est. |
| 49 | Jordan | 1.10 | 2009 est. |
| 50 | India | 1.10 | 2009 est. |
| 51 | Northern Mariana Islands | 1.10 | 2009 est. |
| 52 | China | 1.10 | 2009 est. |
| 53 | Bhutan | 1.10 | 2009 est. |
| 54 | Andorra | 1.09 | 2009 est. |
| 55 | Faroe Islands | 1.09 | 2009 est. |
| 56 | Hong Kong | 1.09 | 2009 est. |
| 57 | Taiwan | 1.09 | 2009 est. |
| 58 | San Marino | 1.09 | 2009 est. |
| 59 | Portugal | 1.09 | 2009 est. |
| 60 | Kosovo | 1.09 | 2009 est. |
| 61 | Kosovo | 1.09 | 2009 est. |
| 62 | Kosovo | 1.09 | 2009 est. |
| 63 | Northern Mariana Islands | 1.08 | 2009 est. |
| 64 | French Polynesia | 1.08 | 2009 est. |
| 65 | Mayotte | 1.08 | 2009 est. |
| 66 | Montenegro | 1.08 | 2009 est. |
| 67 | Macedonia | 1.08 | 2009 est. |
| 68 | Vietnam | 1.08 | 2009 est. |
| 69 | Taiwan | 1.08 | 2009 est. |
| 70 | Switzerland | 1.08 | 2009 est. |
| 71 | Singapore | 1.08 | 2009 est. |
| 72 | Singapore | 1.08 | 2009 est. |
| 73 | San Marino | 1.08 | 2009 est. |
| 74 | Seychelles | 1.08 | 2009 est. |
| 75 | Macedonia | 1.08 | 2009 est. |
| 76 | Montenegro | 1.08 | 2009 est. |
| 77 | Montserrat | 1.08 | 2009 est. |
| 78 | Hong Kong | 1.08 | 2009 est. |
