CIA - The World Factbook --  Airports   

Airports compares the total number of airports or airfields recognizable from the air. The runway(s) may be paved or unpaved and may include closed or abandoned installations.

| Rank | country | Airports | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 13,513 | 2013 |
| 2 | Brazil | 4,093 | 2013 |
| 3 | Mexico | 1,714 | 2013 |
| 4 | Canada | 1,467 | 2013 |
| 5 | Russia | 1,218 | 2013 |
| 6 | Argentina | 1,138 | 2013 |
| 7 | Bolivia | 855 | 2013 |
| 8 | Colombia | 836 | 2013 |
| 9 | Paraguay | 799 | 2013 |
| 10 | Indonesia | 673 | 2013 |
| 11 | South Africa | 566 | 2013 |
| 12 | Papua New Guinea | 561 | 2013 |
| 13 | Germany | 539 | 2013 |
| 14 | China | 507 | 2013 |
| 15 | Chile | 481 | 2013 |
| 16 | Australia | 480 | 2013 |
| 17 | France | 464 | 2013 |
| 18 | United Kingdom | 460 | 2013 |
| 19 | Venezuela | 444 | 2013 |
| 20 | Ecuador | 432 | 2013 |
| 21 | India | 346 | 2013 |
| 22 | Iran | 319 | 2013 |
| 23 | Guatemala | 291 | 2013 |
| 24 | Philippines | 247 | 2013 |
| 25 | Sweden | 231 | 2013 |
| 26 | Saudi Arabia | 214 | 2013 |
| 27 | Congo, Democratic Republic of the | 198 | 2013 |
| 28 | Kenya | 197 | 2013 |
| 29 | Zimbabwe | 196 | 2013 |
| 30 | Peru | 191 | 2013 |
| 31 | Ukraine | 187 | 2013 |
| 32 | Angola | 176 | 2013 |
| 33 | Japan | 175 | 2013 |
| 34 | Tanzania | 166 | 2013 |
| 35 | Costa Rica | 161 | 2013 |
| 36 | Algeria | 157 | 2013 |
| 37 | Pakistan | 151 | 2013 |
| 38 | Spain | 150 | 2013 |
| 39 | Finland | 148 | 2013 |
| 40 | Nicaragua | 147 | 2013 |
| 41 | Libya | 146 | 2013 |
| 42 | Cuba | 133 | 2013 |
| 43 | Uruguay | 133 | 2013 |
| 44 | Oman | 132 | 2013 |
