CIA - The World Factbook --  Airports   

Airports compares the total number of airports or airfields recognizable from the air. The runway(s) may be paved or unpaved and may include closed or abandoned installations.

| Rank | country | Airports | Date of Information |
| 45 | Italy | 129 | 2013 |
| 46 | Czech Republic | 128 | 2013 |
| 47 | Poland | 126 | 2013 |
| 48 | New Zealand | 123 | 2013 |
| 49 | Panama | 117 | 2013 |
| 50 | Guyana | 117 | 2013 |
| 51 | Malaysia | 114 | 2013 |
| 52 | Namibia | 112 | 2013 |
| 53 | Korea, South | 111 | 2013 |
| 54 | Honduras | 103 | 2013 |
| 55 | Iraq | 102 | 2013 |
| 56 | Thailand | 101 | 2013 |
| 57 | Mozambique | 98 | 2013 |
| 58 | Turkey | 98 | 2013 |
| 59 | Iceland | 96 | 2013 |
| 60 | Kazakhstan | 96 | 2013 |
| 61 | Norway | 95 | 2013 |
| 62 | Syria | 90 | 2013 |
| 63 | Zambia | 88 | 2013 |
| 64 | South Sudan | 85 | 2013 |
| 65 | Egypt | 83 | 2013 |
| 66 | Madagascar | 83 | 2013 |
| 67 | Korea, North | 82 | 2013 |
| 68 | Denmark | 80 | 2013 |
| 69 | Greece | 77 | 2013 |
| 70 | Sudan | 74 | 2013 |
| 71 | Botswana | 74 | 2013 |
| 72 | Croatia | 69 | 2013 |
| 73 | El Salvador | 68 | 2013 |
| 74 | Bulgaria | 68 | 2013 |
| 75 | Belarus | 65 | 2013 |
| 76 | Portugal | 64 | 2013 |
| 77 | Burma | 64 | 2013 |
| 78 | Switzerland | 63 | 2013 |
| 79 | Bahamas, The | 61 | 2013 |
| 80 | Somalia | 61 | 2013 |
| 81 | Lithuania | 61 | 2013 |
| 82 | Chad | 59 | 2013 |
| 83 | Yemen | 57 | 2013 |
| 84 | Ethiopia | 57 | 2013 |
| 85 | Suriname | 55 | 2013 |
| 86 | Morocco | 55 | 2013 |
| 87 | Nigeria | 54 | 2013 |
| 88 | French Polynesia | 54 | 2013 |
| 89 | Uzbekistan | 53 | 2013 |
| 90 | Austria | 52 | 2013 |
| 91 | Afghanistan | 52 | 2013 |
| 92 | Belize | 47 | 2013 |
| 93 | Uganda | 47 | 2013 |
| 94 | Nepal | 47 | 2013 |
| 95 | Israel | 47 | 2013 |
| 96 | Vietnam | 45 | 2013 |
| 97 | Romania | 45 | 2013 |
| 98 | Mongolia | 44 | 2013 |
| 99 | Gabon | 44 | 2013 |
| 100 | United Arab Emirates | 43 | 2013 |
| 101 | Latvia | 42 | 2013 |
| 102 | Belgium | 41 | 2013 |
| 103 | Laos | 41 | 2013 |
| 104 | Hungary | 41 | 2013 |
| 105 | Ireland | 40 | 2013 |
| 106 | Central African Republic | 39 | 2013 |
| 107 | Taiwan | 37 | 2013 |
| 108 | Azerbaijan | 37 | 2013 |
| 109 | Dominican Republic | 36 | 2013 |
| 110 | Solomon Islands | 36 | 2013 |
| 111 | Slovakia | 35 | 2013 |
| 112 | Cameroon | 33 | 2013 |
| 113 | Malawi | 32 | 2013 |
| 114 | Vanuatu | 31 | 2013 |
| 115 | Niger | 30 | 2013 |
| 116 | Mauritania | 30 | 2013 |
| 117 | Liberia | 29 | 2013 |
| 118 | Tunisia | 29 | 2013 |
| 119 | Puerto Rico | 29 | 2013 |
| 120 | Netherlands | 29 | 2013 |
| 121 | Fiji | 28 | 2013 |
| 122 | Kyrgyzstan | 28 | 2013 |
| 123 | Jamaica | 28 | 2013 |
| 124 | Cote d'Ivoire | 27 | 2013 |
| 125 | Congo, Republic of the | 27 | 2013 |
| 126 | Turkmenistan | 26 | 2013 |
| 127 | Serbia | 26 | 2013 |
| 128 | New Caledonia | 25 | 2013 |
| 129 | Mali | 25 | 2013 |
| 130 | Bosnia and Herzegovina | 24 | 2013 |
| 131 | Tajikistan | 24 | 2013 |
| 132 | Lesotho | 24 | 2013 |
| 133 | Burkina Faso | 23 | 2013 |
| 134 | Antarctica | 23 | 2013 |
| 135 | Georgia | 22 | 2013 |
| 136 | Senegal | 20 | 2013 |
| 137 | Kiribati | 19 | 2013 |
| 138 | Sri Lanka | 19 | 2013 |
| 139 | Bangladesh | 18 | 2013 |
| 140 | Jordan | 18 | 2013 |
| 141 | Estonia | 18 | 2013 |
| 142 | Cambodia | 16 | 2013 |
| 143 | Slovenia | 16 | 2013 |
| 144 | Guinea | 16 | 2013 |
| 145 | Cyprus | 15 | 2013 |
| 146 | Marshall Islands | 15 | 2013 |
| 147 | Greenland | 15 | 2013 |
| 148 | Haiti | 14 | 2013 |
| 149 | Swaziland | 14 | 2013 |
| 150 | Seychelles | 14 | 2013 |
| 151 | Eritrea | 13 | 2013 |
| 152 | Djibouti | 13 | 2013 |
| 153 | Cook Islands | 11 | 2013 |
| 154 | Armenia | 11 | 2013 |
| 155 | Macedonia | 10 | 2013 |
| 156 | Ghana | 10 | 2013 |
| 157 | Cabo Verde | 9 | 2013 |
| 158 | Singapore | 9 | 2013 |
| 159 | Maldives | 9 | 2013 |
| 160 | Lebanon | 8 | 2013 |
| 161 | Guinea-Bissau | 8 | 2013 |
| 162 | Togo | 8 | 2013 |
| 163 | Turks and Caicos Islands | 8 | 2013 |
| 164 | Sierra Leone | 8 | 2013 |
| 165 | Burundi | 7 | 2013 |
| 166 | Equatorial Guinea | 7 | 2013 |
| 167 | Rwanda | 7 | 2013 |
| 168 | Kuwait | 7 | 2013 |
| 169 | Moldova | 7 | 2013 |
| 170 | Falkland Islands (Islas Malvinas) | 7 | 2013 |
| 171 | Benin | 6 | 2013 |
| 172 | Micronesia, Federated States of | 6 | 2013 |
| 173 | Kosovo | 6 | 2013 |
| 174 | Western Sahara | 6 | 2013 |
| 175 | Tonga | 6 | 2013 |
| 176 | Timor-Leste | 6 | 2013 |
| 177 | Saint Vincent and the Grenadines | 6 | 2013 |
| 178 | Qatar | 6 | 2013 |
| 179 | Northern Mariana Islands | 5 | 2013 |
| 180 | Mauritius | 5 | 2013 |
| 181 | Montenegro | 5 | 2013 |
| 182 | Guam | 5 | 2013 |
| 183 | Albania | 4 | 2013 |
| 184 | Bahrain | 4 | 2013 |
| 185 | Comoros | 4 | 2013 |
| 186 | French Southern and Antarctic Lands | 4 | 2013 |
| 187 | Samoa | 4 | 2013 |
| 188 | Svalbard | 4 | 2013 |
| 189 | Trinidad and Tobago | 4 | 2013 |
| 190 | British Virgin Islands | 4 | 2013 |
| 191 | Spratly Islands | 4 | 2013 |
| 192 | Antigua and Barbuda | 3 | 2013 |
| 193 | American Samoa | 3 | 2013 |
| 194 | Palau | 3 | 2013 |
| 195 | Grenada | 3 | 2013 |
| 196 | Cayman Islands | 3 | 2013 |
| 197 | Anguilla | 2 | 2013 |
| 198 | Bhutan | 2 | 2013 |
| 199 | Dominica | 2 | 2013 |
| 200 | Guernsey | 2 | 2013 |
| 201 | Hong Kong | 2 | 2013 |
| 202 | Luxembourg | 2 | 2013 |
| 203 | Wallis and Futuna | 2 | 2013 |
| 204 | Saint Kitts and Nevis | 2 | 2013 |
| 205 | Saint Lucia | 2 | 2013 |
| 206 | Sao Tome and Principe | 2 | 2013 |
| 207 | Virgin Islands | 2 | 2013 |
| 208 | West Bank | 2 | 2013 |
| 209 | Saint Pierre and Miquelon | 2 | 2013 |
| 210 | Aruba | 1 | 2013 |
| 211 | Wake Island | 1 | 2013 |
| 212 | Bermuda | 1 | 2013 |
| 213 | Brunei | 1 | 2013 |
| 214 | Cocos (Keeling) Islands | 1 | 2013 |
| 215 | Faroe Islands | 1 | 2013 |
| 216 | Gambia, The | 1 | 2013 |
| 217 | Gibraltar | 1 | 2013 |
| 218 | Gaza Strip | 1 | 2013 |
| 219 | Isle of Man | 1 | 2013 |
| 220 | British Indian Ocean Territory | 1 | 2013 |
| 221 | Jersey | 1 | 2013 |
| 222 | Jan Mayen | 1 | 2013 |
| 223 | Christmas Island | 1 | 2013 |
| 224 | Macau | 1 | 2013 |
| 225 | Montserrat | 1 | 2013 |
| 226 | Malta | 1 | 2013 |
| 227 | Niue | 1 | 2013 |
| 228 | Norfolk Island | 1 | 2013 |
| 229 | Nauru | 1 | 2013 |
| 230 | Paracel Islands | 1 | 2013 |
| 231 | Saint Martin | 1 | 2013 |
| 232 | Saint Helena, Ascension, and Tristan da Cunha | 1 | 2013 |
| 233 | Sint Maarten | 1 | 2013 |
| 234 | Saint Barthelemy | 1 | 2013 |
| 235 | Tuvalu | 1 | 2013 |
| 236 | Barbados | 1 | 2013 |


