CIA - The World Factbook --  Net migration rate   

This entry includes the figure for the difference between the number of persons entering and leaving a country during the year per 1,000 persons (based on midyear population). An excess of persons entering the country is referred to as net immigration (e.g., 3.56 migrants/1,000 population); an excess of persons leaving the country as net emigration (e.g., -9.26 migrants/1,000 population). The net migration rate indicates the contribution of migration to the overall level of population change. The net migration rate does not distinguish between economic migrants, refugees, and other types of migrants nor does it distinguish between lawful migrants and undocumented migrants.

| Rank | country | (migrant(s)/1,000 population) | Date of Information |
| --- | --- | --- | --- |
| 1 | Zimbabwe | 24.83 | 2011 est. |
| 2 | Turks and Caicos Islands | 20.08 | 2011 est. |
| 3 | United Arab Emirates | 19.00 | 2011 est. |
| 4 | Bahrain | 16.10 | 2011 est. |
| 5 | Cayman Islands | 15.72 | 2011 est. |
| 6 | Sint Maarten | 14.24 | 2008 |
| 7 | Anguilla | 13.25 | 2011 est. |
| 8 | Cyprus | 11.21 | 2011 est. |
| 9 | Aruba | 9.42 | 2011 est. |
| 10 | San Marino | 9.30 | 2011 est. |
| 11 | Luxembourg | 8.24 | 2011 est. |
| 12 | Isle of Man | 7.71 | 2011 est. |
| 13 | British Virgin Islands | 7.41 | 2011 est. |
| 14 | Australia | 6.03 | 2011 est. |
| 15 | Canada | 5.65 | 2011 est. |
| 16 | Djibouti | 5.33 | 2011 est. |
| 17 | Jersey | 5.03 | 2011 est. |
| 18 | Italy | 4.86 | 2011 est. |
| 19 | Botswana | 4.82 | 2011 est. |
| 20 | Singapore | 4.63 | 2011 est. |
| 21 | Liechtenstein | 4.48 | 2011 est. |
| 22 | New Caledonia | 4.25 | 2011 est. |
| 23 | United States | 4.18 | 2011 est. |
| 24 | Hong Kong | 4.06 | 2011 est. |
| 25 | Spain | 3.89 | 2011 est. |
| 26 | Macau | 3.49 | 2011 est. |
| 27 | Afghanistan | 3.31 | 2011 est. |
| 28 | Burundi | 3.22 | 2011 est. |
| 29 | Portugal | 2.98 | 2011 est. |
| 30 | Guernsey | 2.69 | 2011 est. |
| 31 | French Polynesia | 2.65 | 2011 est. |
| 32 | United Kingdom | 2.60 | 2011 est. |
| 33 | Brunei | 2.60 | 2011 est. |
| 34 | Denmark | 2.41 | 2011 est. |
| 35 | Netherlands | 2.33 | 2011 est. |
| 36 | Greece | 2.32 | 2011 est. |
| 37 | Antigua and Barbuda | 2.32 | 2011 est. |
| 38 | New Zealand | 2.28 | 2011 est. |
| 39 | Bermuda | 2.10 | 2011 est. |
| 40 | Israel | 2.08 | 2011 est. |
| 41 | Malta | 2.01 | 2011 est. |
| 42 | Austria | 1.81 | 2011 est. |
| 43 | Norway | 1.70 | 2011 est. |
| 44 | Sweden | 1.65 | 2011 est. |
| 45 | Croatia | 1.55 | 2011 est. |
| 46 | France | 1.46 | 2011 est. |
| 47 | Hungary | 1.39 | 2011 est. |
| 48 | Switzerland | 1.29 | 2011 est. |
| 49 | Curacao | 1.27 | 2008 |
| 50 | Saint Kitts and Nevis | 1.25 | 2011 est. |
| 51 | Belgium | 1.22 | 2011 est. |
| 52 | Rwanda | 1.06 | 2011 est. |
| 53 | Seychelles | 1.03 | 2011 est. |
| 54 | Czech Republic | 0.97 | 2011 est. |
| 55 | Costa Rica | 0.87 | 2011 est. |
| 56 | Ireland | 0.86 | 2011 est. |
| 57 | Angola | 0.82 | 2011 est. |
| 58 | Palau | 0.76 | 2011 est. |
| 59 | Kuwait | 0.65 | 2011 est. |
