CIA - The World Factbook --  NET MIGRATION RATE

Net migration rate compares the difference between the number of persons entering and leaving a country during the year per 1,000 persons (based on midyear population).

| Rank | Country | (MIGRANT(S)/1,000 POPULATION) | Date of Information |
| --- | --- | --- | --- |
| 1 | Syria | 61.50 | 2017 est. |
| 2 | British Virgin Islands | 16.50 | 2017 est. |
| 3 | Luxembourg | 15.50 | 2017 est. |
| 4 | Qatar | 14.60 | 2017 est. |
| 5 | Cayman Islands | 13.80 | 2017 est. |
| 6 | Singapore | 13.10 | 2017 est. |
| 7 | Bahrain | 12.10 | 2017 est. |
| 8 | Anguilla | 11.70 | 2017 est. |
| 9 | South Sudan | 10.60 | 2017 est. |
| 10 | United Arab Emirates | 10.50 | 2017 est. |
| 11 | Turks and Caicos Islands | 9.50 | 2017 est. |
| 12 | Aruba | 8.70 | 2017 est. |
| 13 | Cyprus | 8.70 | 2017 est. |
| 14 | Spain | 7.80 | 2017 est. |
| 15 | San Marino | 7.50 | 2017 est. |
| 16 | Sint Maarten | 6.30 | 2017 est. |
| 17 | Isle of Man | 6.00 | 2017 est. |
| 18 | Norway | 5.90 | 2017 est. |
| 19 | Canada | 5.70 | 2017 est. |
| 20 | Djibouti | 5.70 | 2017 est. |
| 21 | Monaco | 5.70 | 2017 est. |
| 22 | Australia | 5.50 | 2017 est. |
| 23 | Belgium | 5.40 | 2017 est. |
| 24 | Sweden | 5.30 | 2017 est. |
| 25 | Liechtenstein | 5.00 | 2017 est. |
| 26 | Austria | 4.80 | 2017 est. |
| 27 | Switzerland | 4.70 | 2017 est. |
| 28 | Ireland | 4.00 | 2017 est. |
| 29 | Iceland | 4.00 | 2017 est. |
| 30 | New Caledonia | 3.90 | 2017 est. |
| 31 | United States | 3.90 | 2017 est. |
| 32 | Italy | 3.70 | 2017 est. |
| 33 | Macau | 3.30 | 2017 est. |
| 34 | Jersey | 3.20 | 2017 est. |
| 35 | Botswana | 3.00 | 2017 est. |
| 36 | Finland | 2.90 | 2017 est. |
| 37 | Korea, South | 2.50 | 2017 est. |
| 38 | Portugal | 2.50 | 2017 est. |
| 39 | United Kingdom | 2.50 | 2017 est. |
| 40 | Brunei | 2.40 | 2017 est. |
| 41 | Czechia | 2.30 | 2017 est. |
| 42 | Greece | 2.30 | 2017 est. |
| 43 | New Zealand | 2.20 | 2017 est. |
| 44 | Guernsey | 2.20 | 2017 est. |
| 45 | Antigua and Barbuda | 2.20 | 2017 est. |
| 46 | Israel | 2.20 | 2017 est. |
| 47 | Denmark | 2.10 | 2017 est. |
| 48 | Malta | 2.00 | 2017 est. |
| 49 | Netherlands | 1.90 | 2017 est. |
| 50 | Libya | 1.90 | 2017 est. |
| 51 | Bermuda | 1.80 | 2017 est. |
| 52 | Russia | 1.70 | 2017 est. |
| 53 | Hong Kong | 1.70 | 2017 est. |
| 54 | Germany | 1.50 | 2017 est. |
| 55 | Hungary | 1.30 | 2017 est. |
| 56 | Saint Kitts and Nevis | 1.20 | 2017 est. |
| 57 | France | 1.10 | 2017 est. |
| 58 | Seychelles | 1.00 | 2017 est. |
| 59 | Taiwan | 0.90 | 2017 est. |
