CIA - The World Factbook --  Net migration rate   

This entry includes the figure for the difference between the number of persons entering and leaving a country during the year per 1,000 persons (based on midyear population). An excess of persons entering the country is referred to as net immigration (e.g., 3.56 migrants/1,000 population); an excess of persons leaving the country as net emigration (e.g., -9.26 migrants/1,000 population). The net migration rate indicates the contribution of migration to the overall level of population change. The net migration rate does not distinguish between economic migrants, refugees, and other types of migrants nor does it distinguish between lawful migrants and undocumented migrants.

| Rank | country | (migrant(s)/1,000 population) | Date of Information |
| --- | --- | --- | --- |
| 1 | Libya | 33.32 | 2013 est. |
| 2 | Qatar | 33.31 | 2013 est. |
| 3 | Zimbabwe | 22.76 | 2013 est. |
| 4 | British Virgin Islands | 18.11 | 2013 est. |
| 5 | Singapore | 15.08 | 2013 est. |
| 6 | United Arab Emirates | 15.04 | 2013 est. |
| 7 | Cayman Islands | 15.04 | 2013 est. |
| 8 | Turks and Caicos Islands | 14.66 | 2013 est. |
| 9 | Bahrain | 14.13 | 2013 est. |
| 10 | Anguilla | 12.70 | 2013 est. |
| 11 | South Sudan | 12.50 | 2013 est. |
| 12 | Cyprus | 10.31 | 2013 est. |
| 13 | Aruba | 9.16 | 2013 est. |
| 14 | San Marino | 8.66 | 2013 est. |
| 15 | Luxembourg | 8.06 | 2013 est. |
| 16 | Isle of Man | 7.11 | 2013 est. |
| 17 | Sint Maarten | 6.63 | 2013 est. |
| 18 | Spain | 6.14 | 2013 est. |
| 19 | Switzerland | 6.14 | 2013 est. |
| 20 | Djibouti | 6.04 | 2013 est. |
| 21 | Australia | 5.83 | 2013 est. |
| 22 | Canada | 5.65 | 2013 est. |
| 23 | Botswana | 4.68 | 2013 est. |
| 24 | Italy | 4.47 | 2013 est. |
| 25 | Jersey | 4.39 | 2013 est. |
| 26 | Liechtenstein | 4.35 | 2013 est. |
| 27 | New Caledonia | 4.12 | 2013 est. |
| 28 | Hong Kong | 3.75 | 2013 est. |
| 29 | United States | 3.64 | 2013 est. |
| 30 | Macau | 3.43 | 2013 est. |
| 31 | Nepal | 3.30 | 2013 est. |
| 32 | Portugal | 2.82 | 2013 est. |
| 33 | United Kingdom | 2.57 | 2013 est. |
| 34 | Brunei | 2.51 | 2013 est. |
| 35 | Ireland | 2.51 | 2013 est. |
| 36 | Guernsey | 2.50 | 2013 est. |
| 37 | Greece | 2.32 | 2013 est. |
| 38 | Denmark | 2.30 | 2013 est. |
| 39 | Antigua and Barbuda | 2.26 | 2013 est. |
| 40 | New Zealand | 2.24 | 2013 est. |
| 41 | Netherlands | 1.99 | 2013 est. |
| 42 | Bermuda | 1.99 | 2013 est. |
| 43 | Malta | 1.99 | 2013 est. |
| 44 | Monaco | 1.93 | 2013 est. |
| 45 | Israel | 1.81 | 2013 est. |
| 46 | Austria | 1.78 | 2013 est. |
| 47 | Russia | 1.69 | 2013 est. |
| 48 | Norway | 1.68 | 2013 est. |
| 49 | Sweden | 1.64 | 2013 est. |
| 50 | Croatia | 1.47 | 2013 est. |
| 51 | Hungary | 1.36 | 2013 est. |
| 52 | Curacao | 1.27 | 2008 |
| 53 | Saint Kitts and Nevis | 1.23 | 2013 est. |
| 54 | Belgium | 1.22 | 2013 est. |
| 55 | France | 1.10 | 2013 est. |
| 56 | Seychelles | 1.01 | 2013 est. |
| 57 | Czech Republic | 0.98 | 2013 est. |
| 58 | Rwanda | 0.95 | 2013 est. |
| 59 | Taiwan | 0.91 | 2013 est. |
| 60 | Germany | 0.89 | 2013 est. |
| 61 | Costa Rica | 0.85 | 2013 est. |
| 62 | Belarus | 0.85 | 2013 est. |
| 63 | Palau | 0.66 | 2013 est. |
| 64 | Finland | 0.62 | 2013 est. |
| 65 | Suriname | 0.57 | 2013 est. |
| 66 | Iceland | 0.53 | 2013 est. |
| 67 | Angola | 0.49 | 2013 est. |
| 68 | Turkey | 0.48 | 2013 est. |
| 69 | Kazakhstan | 0.42 | 2013 est. |
| 70 | Slovenia | 0.38 | 2013 est. |
| 71 | Chile | 0.35 | 2013 est. |
| 72 | Slovakia | 0.29 | 2013 est. |
| 73 | Namibia | 0.10 | 2013 est. |
| 74 | Azerbaijan | 0.00 | 2013 est. |
| 75 | Yemen | 0.00 | 2013 est. |
| 76 | Argentina | 0.00 | 2013 est. |
| 77 | Bahamas, The | 0.00 | 2013 est. |
| 78 | Belize | 0.00 | 2013 est. |
| 79 | Benin | 0.00 | 2013 est. |
| 80 | Bhutan | 0.00 | 2013 est. |
| 81 | Congo, Republic of the | 0.00 | 2013 est. |
| 82 | Cameroon | 0.00 | 2013 est. |
| 83 | Central African Republic | 0.00 | 2013 est. |
| 84 | Equatorial Guinea | 0.00 | 2013 est. |
| 85 | Eritrea | 0.00 | 2013 est. |
| 86 | Faroe Islands | 0.00 | 2013 est. |
| 87 | Guinea | 0.00 | 2013 est. |
| 88 | Gaza Strip | 0.00 | 2013 est. |
