CIA - The World Factbook --  NET MIGRATION RATE

Net migration rate compares the difference between the number of persons entering and leaving a country during the year per 1,000 persons (based on midyear population).

| Rank | Country | (MIGRANT(S)/1,000 POPULATION) | Date of Information |
| --- | --- | --- | --- |
| 1 | Lebanon | 83.82 | 2014 est. |
| 2 | Qatar | 27.35 | 2014 est. |
| 3 | Zimbabwe | 21.78 | 2014 est. |
| 4 | British Virgin Islands | 17.69 | 2014 est. |
| 5 | Jordan | 17.22 | 2014 est. |
| 6 | Libya | 16.01 | 2014 est. |
| 7 | Cayman Islands | 14.71 | 2014 est. |
| 8 | Singapore | 14.55 | 2014 est. |
| 9 | Bahrain | 13.60 | 2014 est. |
| 10 | United Arab Emirates | 13.58 | 2014 est. |
| 11 | Anguilla | 12.43 | 2014 est. |
| 12 | Turks and Caicos Islands | 12.23 | 2014 est. |
| 13 | South Sudan | 11.94 | 2014 est. |
| 14 | Cyprus | 9.89 | 2014 est. |
| 15 | Aruba | 9.04 | 2014 est. |
| 16 | San Marino | 8.31 | 2014 est. |
| 17 | Luxembourg | 7.97 | 2014 est. |
| 18 | Norway | 7.96 | 2014 est. |
| 19 | Spain | 7.24 | 2014 est. |
| 20 | Isle of Man | 6.84 | 2014 est. |
| 21 | Sint Maarten | 6.63 | 2013 est. |
| 22 | Djibouti | 6.06 | 2014 est. |
| 23 | Australia | 5.74 | 2014 est. |
| 24 | Canada | 5.66 | 2014 est. |
| 25 | Sweden | 5.46 | 2014 est. |
| 26 | Switzerland | 5.43 | 2014 est. |
| 27 | Liechtenstein | 4.72 | 2014 est. |
| 28 | Botswana | 4.62 | 2014 est. |
| 29 | Italy | 4.29 | 2014 est. |
| 30 | Jersey | 4.08 | 2014 est. |
| 31 | New Caledonia | 4.06 | 2014 est. |
| 32 | Nepal | 3.71 | 2014 est. |
| 33 | Macau | 3.40 | 2014 est. |
| 34 | Ireland | 3.31 | 2014 est. |
| 35 | Monaco | 2.85 | 2014 est. |
| 36 | Portugal | 2.74 | 2014 est. |
| 37 | Yemen | 2.61 | 2014 est. |
| 38 | United Kingdom | 2.56 | 2014 est. |
| 39 | Brunei | 2.47 | 2014 est. |
| 40 | United States | 2.45 | 2014 est. |
| 41 | Guernsey | 2.40 | 2014 est. |
| 42 | Greece | 2.32 | 2014 est. |
| 43 | Denmark | 2.25 | 2014 est. |
| 44 | Antigua and Barbuda | 2.23 | 2014 est. |
| 45 | New Zealand | 2.23 | 2014 est. |
| 46 | Czech Republic | 2.15 | 2014 est. |
| 47 | Malta | 1.99 | 2014 est. |
| 48 | Netherlands | 1.97 | 2014 est. |
| 49 | Bermuda | 1.92 | 2014 est. |
| 50 | Austria | 1.76 | 2014 est. |
| 51 | Russia | 1.69 | 2014 est. |
| 52 | Hong Kong | 1.69 | 2014 est. |
| 53 | Israel | 1.68 | 2014 est. |
| 54 | Croatia | 1.43 | 2014 est. |
| 55 | Hungary | 1.34 | 2014 est. |
| 56 | Curacao | 1.27 | 2008 |
| 57 | Belgium | 1.22 | 2014 est. |
| 58 | Saint Kitts and Nevis | 1.22 | 2014 est. |
| 59 | France | 1.09 | 2014 est. |
| 60 | Germany | 1.06 | 2014 est. |
| 61 | Seychelles | 1.00 | 2014 est. |
| 62 | Taiwan | 0.90 | 2014 est. |
| 63 | Rwanda | 0.90 | 2014 est. |
| 64 | Costa Rica | 0.84 | 2014 est. |
| 65 | Belarus | 0.78 | 2014 est. |
| 66 | Palau | 0.66 | 2014 est. |
| 67 | Finland | 0.62 | 2014 est. |
| 68 | Suriname | 0.57 | 2014 est. |
| 69 | Iceland | 0.52 | 2014 est. |
| 70 | Angola | 0.47 | 2014 est. |
| 71 | Turkey | 0.46 | 2014 est. |
| 72 | Kazakhstan | 0.42 | 2014 est. |
| 73 | Slovenia | 0.37 | 2014 est. |
| 74 | Chile | 0.35 | 2014 est. |
| 75 | Malawi | 0.25 | 2014 est. |
| 76 | Namibia | 0.05 | 2014 est. |
| 77 | Slovakia | 0.01 | 2014 est. |
| 78 | West Bank | 0.00 | 2014 est. |
| 79 | Andorra | 0.00 | 2014 est. |
| 80 | Togo | 0.00 | 2014 est. |
| 81 | Thailand | 0.00 | 2014 est. |
| 82 | Swaziland | 0.00 | 2014 est. |
| 83 | Serbia | 0.00 | 2014 est. |
| 84 | Saint Helena, Ascension, and Tristan da Cunha | 0.00 | 2014 est. |
| 85 | Papua New Guinea | 0.00 | 2014 est. |
