CIA - The World Factbook --  Net migration rate   

This entry includes the figure for the difference between the number of persons entering and leaving a country during the year per 1,000 persons (based on midyear population). An excess of persons entering the country is referred to as net immigration (e.g., 3.56 migrants/1,000 population); an excess of persons leaving the country as net emigration (e.g., -9.26 migrants/1,000 population). The net migration rate indicates the contribution of migration to the overall level of population change. The net migration rate does not distinguish between economic migrants, refugees, and other types of migrants nor does it distinguish between lawful migrants and undocumented migrants.

| Rank | country | (migrant(s)/1,000 population) | Date of Information |
| --- | --- | --- | --- |
| 1 | United Arab Emirates | 21.71 | 2010 est. |
| 2 | Cayman Islands | 16.09 | 2010 est. |
| 3 | Kuwait | 15.65 | 2010 est. |
| 4 | Sint Maarten | 14.24 | 2008 |
| 5 | Anguilla | 13.54 | 2010 est. |
| 6 | Zimbabwe | 12.87 | 2009 est. |
| 7 | Cyprus | 11.68 | 2010 est. |
| 8 | San Marino | 9.63 | 2010 est. |
| 9 | Aruba | 9.56 | 2010 est. |
| 10 | Turks and Caicos Islands | 8.63 | 2010 est. |
| 11 | Luxembourg | 8.34 | 2010 est. |
| 12 | Isle of Man | 8.01 | 2010 est. |
| 13 | British Virgin Islands | 7.74 | 2010 est. |
| 14 | Australia | 6.13 | 2010 est. |
| 15 | Canada | 5.64 | 2010 est. |
| 16 | Jersey | 5.36 | 2010 est. |
| 17 | Botswana | 4.91 | 2010 est. |
| 18 | Singapore | 4.79 | 2010 est. |
| 19 | Liechtenstein | 4.63 | 2010 est. |
| 20 | Djibouti | 4.60 | NA |
| 21 | New Caledonia | 4.31 | 2009 est. |
| 22 | United States | 4.25 | 2010 est. |
| 23 | Afghanistan | 4.24 | 2010 est. |
| 24 | Hong Kong | 4.22 | 2010 est. |
| 25 | Burundi | 4.06 | 2010 est. |
| 26 | Macau | 3.52 | 2010 est. |
| 27 | Portugal | 3.06 | 2010 est. |
| 28 | Guernsey | 2.76 | 2010 est. |
| 29 | Spain | 2.73 | 2010 est. |
| 30 | French Polynesia | 2.69 | 2010 est. |
| 31 | Brunei | 2.64 | 2010 est. |
| 32 | United Kingdom | 2.61 | 2010 est. |
| 33 | Denmark | 2.47 | 2010 est. |
| 34 | Netherlands | 2.38 | 2010 est. |
| 35 | Antigua and Barbuda | 2.35 | 2010 est. |
| 36 | Greece | 2.33 | 2010 est. |
| 37 | New Zealand | 2.30 | 2010 est. |
| 38 | Israel | 2.22 | 2010 est. |
| 39 | Germany | 2.19 | 2010 est. |
| 40 | Bermuda | 2.15 | 2010 est. |
| 41 | Italy | 2.07 | 2010 est. |
| 42 | Malta | 2.02 | 2010 est. |
| 43 | Austria | 1.83 | 2010 est. |
| 44 | Norway | 1.70 | 2010 est. |
| 45 | Sweden | 1.65 | 2010 est. |
| 46 | Croatia | 1.59 | 2010 est. |
| 47 | France | 1.47 | 2010 est. |
| 48 | Hungary | 1.40 | 2010 est. |
| 49 | Switzerland | 1.31 | 2010 est. |
| 50 | Curacao | 1.27 | 2008 |
| 51 | Saint Kitts and Nevis | 1.26 | 2010 est. |
| 52 | Belgium | 1.22 | 2010 est. |
| 53 | Costa Rica | 1.11 | 2010 est. |
| 54 | Rwanda | 1.11 | 2010 est. |
| 55 | Angola | 1.05 | 2010 est. |
| 56 | Seychelles | 1.04 | 2010 est. |
| 57 | Czech Republic | 0.97 | 2010 est. |
| 58 | Palau | 0.86 | 2010 est. |
