CIA - The World Factbook --  Net migration rate   

This entry includes the figure for the difference between the number of persons entering and leaving a country during the year per 1,000 persons (based on midyear population). An excess of persons entering the country is referred to as net immigration (e.g., 3.56 migrants/1,000 population); an excess of persons leaving the country as net emigration (e.g., -9.26 migrants/1,000 population). The net migration rate indicates the contribution of migration to the overall level of population change. The net migration rate does not distinguish between economic migrants, refugees, and other types of migrants nor does it distinguish between lawful migrants and undocumented migrants.

| Rank | country | (migrant(s)/1,000 population) | Date of Information |
| --- | --- | --- | --- |
| 1 | Qatar | 40.62 | 2012 est. |
| 2 | Zimbabwe | 23.77 | 2012 est. |
| 3 | British Virgin Islands | 18.56 | 2012 est. |
| 4 | Turks and Caicos Islands | 17.27 | 2012 est. |
| 5 | United Arab Emirates | 16.82 | 2012 est. |
| 6 | Singapore | 15.62 | 2012 est. |
| 7 | Cayman Islands | 15.37 | 2012 est. |
| 8 | Bahrain | 14.74 | 2012 est. |
| 9 | Sint Maarten | 14.24 | 2008 |
| 10 | Anguilla | 12.97 | 2012 est. |
| 11 | Cyprus | 10.75 | 2012 est. |
| 12 | Aruba | 9.29 | 2012 est. |
| 13 | San Marino | 8.96 | 2012 est. |
| 14 | Luxembourg | 8.15 | 2012 est. |
| 15 | Isle of Man | 7.41 | 2012 est. |
| 16 | Djibouti | 6.02 | 2012 est. |
| 17 | Australia | 5.93 | 2012 est. |
| 18 | Canada | 5.65 | 2012 est. |
| 19 | Spain | 5.02 | 2012 est. |
| 20 | Botswana | 4.75 | 2012 est. |
| 21 | Jersey | 4.70 | 2012 est. |
| 22 | Italy | 4.67 | 2012 est. |
| 23 | New Caledonia | 4.18 | 2012 est. |
| 24 | Liechtenstein | 3.98 | 2012 est. |
| 25 | Hong Kong | 3.90 | 2012 est. |
| 26 | United States | 3.62 | 2012 est. |
| 27 | Macau | 3.46 | 2012 est. |
| 28 | Portugal | 2.90 | 2012 est. |
| 29 | United Kingdom | 2.59 | 2012 est. |
| 30 | Guernsey | 2.59 | 2012 est. |
| 31 | Nepal | 2.58 | 2012 est. |
| 32 | Brunei | 2.55 | 2012 est. |
| 33 | Denmark | 2.36 | 2012 est. |
| 34 | Greece | 2.32 | 2012 est. |
| 35 | Antigua and Barbuda | 2.29 | 2012 est. |
| 36 | New Zealand | 2.26 | 2012 est. |
| 37 | Bermuda | 2.04 | 2012 est. |
| 38 | Netherlands | 2.02 | 2012 est. |
| 39 | Malta | 2.00 | 2012 est. |
| 40 | Israel | 1.94 | 2012 est. |
| 41 | Austria | 1.79 | 2012 est. |
| 42 | Norway | 1.69 | 2012 est. |
| 43 | Ireland | 1.69 | 2012 est. |
| 44 | Sweden | 1.65 | 2012 est. |
| 45 | Croatia | 1.51 | 2012 est. |
| 46 | Hungary | 1.37 | 2012 est. |
| 47 | Curacao | 1.27 | 2008 |
| 48 | Switzerland | 1.27 | 2012 est. |
| 49 | Saint Kitts and Nevis | 1.24 | 2012 est. |
| 50 | Belgium | 1.22 | 2012 est. |
| 51 | France | 1.10 | 2012 est. |
| 52 | Monaco | 1.02 | 2012 est. |
| 53 | Seychelles | 1.02 | 2012 est. |
| 54 | Rwanda | 1.00 | 2012 est. |
| 55 | Czech Republic | 0.97 | 2012 est. |
| 56 | Suriname | 0.96 | 2012 est. |
| 57 | Costa Rica | 0.86 | 2012 est. |
| 58 | Palau | 0.71 | 2012 est. |
| 59 | Germany | 0.71 | 2012 est. |
| 60 | Finland | 0.62 | 2012 est. |
| 61 | Angola | 0.55 | 2012 est. |
| 62 | Iceland | 0.53 | 2012 est. |
| 63 | Turkey | 0.50 | 2012 est. |
| 64 | Kazakhstan | 0.43 | 2012 est. |
| 65 | Slovenia | 0.39 | 2012 est. |
| 66 | Belarus | 0.38 | 2012 est. |
| 67 | Chile | 0.35 | 2012 est. |
| 68 | Russia | 0.29 | 2012 est. |
| 69 | Slovakia | 0.29 | 2012 est. |
| 70 | Namibia | 0.15 | 2012 est. |
| 71 | Taiwan | 0.03 | 2012 est. |
| 72 | Azerbaijan | 0.00 | 2012 est. |
| 73 | Andorra | 0.00 | 2012 est. |
| 74 | Argentina | 0.00 | 2012 est. |
| 75 | Bahamas, The | 0.00 | 2012 est. |
| 76 | Belize | 0.00 | 2012 est. |
| 77 | Bosnia and Herzegovina | 0.00 | 2012 est. |
| 78 | Benin | 0.00 | 2012 est. |
| 79 | Bhutan | 0.00 | 2012 est. |
| 80 | Cameroon | 0.00 | 2012 est. |
| 81 | Central African Republic | 0.00 | 2012 est. |
| 82 | Equatorial Guinea | 0.00 | 2012 est. |
| 83 | Eritrea | 0.00 | 2012 est. |
| 84 | Faroe Islands | 0.00 | 2012 est. |
| 85 | Guam | 0.00 | 2012 est. |
| 86 | Guinea | 0.00 | 2012 est. |
| 87 | Gaza Strip | 0.00 | 2012 est. |
| 88 | Cote d'Ivoire | 0.00 | 2012 est. |
| 89 | Iraq | 0.00 | 2012 est. |
| 90 | Japan | 0.00 | 2012 est. |
| 91 | Korea, South | 0.00 | 2012 est. |
| 92 | Kuwait | 0.00 | 2012 est. |
| 93 | Liberia | 0.00 | 2012 est. |
| 94 | Libya | 0.00 | 2012 est. |
| 95 | Madagascar | 0.00 | 2012 est. |
| 96 | Mongolia | 0.00 | 2012 est. |
| 97 | Montserrat | 0.00 | 2012 est. |
| 98 | Malawi | 0.00 | 2012 est. |
| 99 | Mauritius | 0.00 | 2012 est. |
| 100 | Niger | 0.00 | 2012 est. |
| 101 | Vanuatu | 0.00 | 2012 est. |
| 102 | Papua New Guinea | 0.00 | 2012 est. |
| 103 | Guinea-Bissau | 0.00 | 2012 est. |
| 104 | Serbia | 0.00 | 2012 est. |
| 105 | Saint Helena, Ascension, and Tristan da Cunha | 0.00 | 2012 est. |
| 106 | Thailand | 0.00 | 2012 est. |
| 107 | Togo | 0.00 | 2012 est. |
| 108 | Timor-Leste | 0.00 | 2012 est. |
| 109 | Burkina Faso | 0.00 | 2012 est. |
| 110 | Venezuela | 0.00 | 2012 est. |
| 111 | West Bank | 0.00 | 2012 est. |
| 112 | Swaziland | 0.00 | 2012 est. |
| 113 | Yemen | 0.00 | 2012 est. |
| 114 | Ethiopia | -0.01 | 2012 est. |
| 115 | Uganda | -0.02 | 2012 est. |
| 116 | Korea, North | -0.04 | 2012 est. |
| 117 | India | -0.05 | 2012 est. |
| 118 | Ukraine | -0.08 | 2012 est. |
| 119 | Paraguay | -0.08 | 2012 est. |
| 120 | Brazil | -0.09 | 2012 est. |
| 121 | Iran | -0.11 | 2012 est. |
| 122 | Burundi | -0.18 | 2012 est. |
| 123 | Egypt | -0.20 | 2012 est. |
| 124 | Nigeria | -0.22 | 2012 est. |
| 125 | Kenya | -0.23 | 2012 est. |
| 126 | Romania | -0.26 | 2012 est. |
| 127 | Algeria | -0.27 | 2012 est. |
| 128 | Tanzania | -0.29 | 2012 est. |
| 129 | Burma | -0.30 | 2012 est. |
| 130 | Barbados | -0.30 | 2012 est. |
| 131 | Cambodia | -0.33 | 2012 est. |
| 132 | China | -0.33 | 2012 est. |
| 133 | Vietnam | -0.34 | 2012 est. |
| 134 | Congo, Republic of the | -0.35 | 2012 est. |
| 135 | Malaysia | -0.37 | 2012 est. |
| 136 | Panama | -0.38 | 2012 est. |
| 137 | Ecuador | -0.39 | 2012 est. |
| 138 | Congo, Democratic Republic of the | -0.47 | 2012 est. |
| 139 | Poland | -0.47 | 2012 est. |
| 140 | Oman | -0.47 | 2012 est. |
| 141 | Macedonia | -0.48 | 2012 est. |
| 142 | Ghana | -0.56 | 2012 est. |
| 143 | Saudi Arabia | -0.64 | 2012 est. |
| 144 | Colombia | -0.66 | 2012 est. |
| 145 | Cape Verde | -0.66 | 2012 est. |
| 146 | Lithuania | -0.73 | 2012 est. |
| 147 | Zambia | -0.76 | 2012 est. |
| 148 | Puerto Rico | -0.82 | 2012 est. |
| 149 | Bolivia | -0.84 | 2012 est. |
| 150 | Mauritania | -0.89 | 2012 est. |
