CIA - The World Factbook --  Budget   

This entry includes revenues, expenditures, and capital expenditures. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Budget | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $ 3,397,000,000,000 | 2010 est. |
| 2 | Japan | $ 2,252,000,000,000 | 2010 est. |
| 3 | United States | $ 2,092,000,000,000 | 2010 est. |
| 4 | Japan | $ 1,839,000,000,000 | 2010 est. |
| 5 | Germany | $ 1,516,000,000,000 | 2010 est. |
| 6 | France | $ 1,441,000,000,000 | 2010 est. |
| 7 | Germany | $ 1,396,000,000,000 | 2010 est. |
| 8 | China | $ 1,270,000,000,000 | 2010 est. |
| 9 | France | $ 1,241,000,000,000 | 2010 est. |
| 10 | United Kingdom | $ 1,154,000,000,000 | 2010 est. |
| 11 | China | $ 1,149,000,000,000 | 2010 est. |
| 12 | Italy | $ 1,042,000,000,000 | 2010 est. |
| 13 | Italy | $ 940,300,000,000 | 2010 est. |
| 14 | United Kingdom | $ 926,700,000,000 | 2010 est. |
| 15 | Canada | $ 677,700,000,000 | 2010 est. |
| 16 | Spain | $ 648,600,000,000 | 2010 est. |
| 17 | Canada | $ 605,700,000,000 | 2010 est. |
| 18 | Brazil | $ 552,600,000,000 | 2010 est. |
| 19 | Spain | $ 515,800,000,000 | 2010 est. |
| 20 | Brazil | $ 464,400,000,000 | 2010 est. |
| 21 | Australia | $ 426,500,000,000 | 2010 est. |
| 22 | Netherlands | $ 399,300,000,000 | 2010 est. |
| 23 | Australia | $ 396,100,000,000 | 2010 est. |
| 24 | Netherlands | $ 356,000,000,000 | 2010 est. |
| 25 | Russia | $ 341,100,000,000 | 2010 est. |
| 26 | Korea, South | $ 267,300,000,000 | 2010 est. |
| 27 | Mexico | $ 267,000,000,000 | 2010 est. |
| 28 | Russia | $ 262,000,000,000 | 2010 est. |
| 29 | India | $ 257,400,000,000 | 2010 est. |
| 30 | Korea, South | $ 248,300,000,000 | 2010 est. |
| 31 | Belgium | $ 242,600,000,000 | 2010 est. |
| 32 | Mexico | $ 237,000,000,000 | 2010 est. |
| 33 | Sweden | $ 236,600,000,000 | 2010 est. |
| 34 | Sweden | $ 230,100,000,000 | 2010 est. |
| 35 | Norway | $ 226,800,000,000 | 2010 est. |
| 36 | Belgium | $ 220,600,000,000 | 2010 est. |
| 37 | Switzerland | $ 194,200,000,000 | 2010 est. |
| 38 | Switzerland | $ 192,100,000,000 | 2010 est. |
| 39 | Turkey | $ 189,600,000,000 | 2010 est. |
| 40 | Norway | $ 187,000,000,000 | 2010 est. |
| 41 | Saudi Arabia | $ 185,100,000,000 | 2010 est. |
| 42 | Denmark | $ 175,900,000,000 | 2010 est. |
| 43 | Austria | $ 175,700,000,000 | 2010 est. |
