CIA - The World Factbook --  Budget   

This entry includes revenues, expenditures, and capital expenditures. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Budget | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $ 3,649,000,000,000 | 2012 est. |
| 2 | Japan | $ 2,570,000,000,000 | 2012 est. |
| 3 | United States | $ 2,465,000,000,000 | 2012 est. |
| 4 | China | $ 2,031,000,000,000 | 2012 est. |
| 5 | Japan | $ 2,025,000,000,000 | 2012 est. |
| 6 | China | $ 1,838,000,000,000 | 2012 est. |
| 7 | Germany | $ 1,511,000,000,000 | 2012 est. |
| 8 | Germany | $ 1,511,000,000,000 | 2012 est. |
| 9 | France | $ 1,458,000,000,000 | 2012 est. |
| 10 | France | $ 1,341,000,000,000 | 2012 est. |
| 11 | United Kingdom | $ 1,183,000,000,000 | 2012 est. |
| 12 | Italy | $ 1,014,000,000,000 | 2012 est. |
| 13 | United Kingdom | $ 995,900,000,000 | 2012 est. |
| 14 | Italy | $ 956,600,000,000 | 2012 est. |
| 15 | Brazil | $ 911,400,000,000 | 2012 est. |
| 16 | Brazil | $ 846,600,000,000 | 2012 est. |
| 17 | Canada | $ 746,800,000,000 | 2012 est. |
| 18 | Canada | $ 679,300,000,000 | 2012 est. |
| 19 | Spain | $ 584,300,000,000 | 2012 est. |
| 20 | Australia | $ 528,300,000,000 | 2012 est. |
| 21 | Australia | $ 516,300,000,000 | 2012 est. |
| 22 | Spain | $ 485,100,000,000 | 2012 est. |
| 23 | Russia | $ 414,000,000,000 | 2012 est. |
| 24 | Russia | $ 413,000,000,000 | 2012 est. |
| 25 | Netherlands | $ 386,600,000,000 | 2012 est. |
| 26 | Netherlands | $ 347,400,000,000 | 2012 est. |
| 27 | Saudi Arabia | $ 314,300,000,000 | 2012 est. |
| 28 | Mexico | $ 298,200,000,000 | 2012 est. |
| 29 | Sweden | $ 289,300,000,000 | 2012 est. |
| 30 | Sweden | $ 287,900,000,000 | 2012 est. |
| 31 | Norway | $ 282,900,000,000 | 2012 est. |
| 32 | India | $ 281,000,000,000 | 2012 est. |
| 33 | Korea, South | $ 271,900,000,000 | 2012 est. |
| 34 | Mexico | $ 270,200,000,000 | 2012 est. |
| 35 | Korea, South | $ 249,200,000,000 | 2012 est. |
| 36 | Belgium | $ 243,200,000,000 | 2012 est. |
| 37 | Saudi Arabia | $ 236,300,000,000 | 2012 est. |
| 38 | Belgium | $ 227,300,000,000 | 2012 est. |
| 39 | Switzerland | $ 212,700,000,000 | 2012 est. |
| 40 | Switzerland | $ 211,100,000,000 | 2012 est. |
| 41 | Norway | $ 206,700,000,000 | 2012 est. |
| 42 | Turkey | $ 200,400,000,000 | 2012 est. |
| 43 | Austria | $ 198,600,000,000 | 2012 est. |
| 44 | Denmark | $ 188,900,000,000 | 2012 est. |
| 45 | Austria | $ 187,300,000,000 | 2012 est. |
| 46 | Turkey | $ 179,900,000,000 | 2012 est. |
| 47 | Denmark | $ 176,500,000,000 | 2012 est. |
| 48 | Venezuela | $ 175,300,000,000 | 2012 est. |
| 49 | India | $ 171,500,000,000 | 2012 est. |
| 50 | Indonesia | $ 160,600,000,000 | 2012 est. |
| 51 | Indonesia | $ 139,200,000,000 | 2012 est. |
| 52 | Finland | $ 134,000,000,000 | 2012 est. |
| 53 | Argentina | $ 132,800,000,000 | 2012 est. |
| 54 | Iran | $ 131,200,000,000 | 2011 est. |
