CIA - The World Factbook --  Budget   

This entry includes revenues, expenditures, and capital expenditures. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Budget | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $ 3,538,000,000,000 | 2012 est. |
| 2 | Japan | $ 2,578,000,000,000 | 2012 est. |
| 3 | United States | $ 2,449,000,000,000 | 2012 est. |
| 4 | China | $ 1,992,000,000,000 | 2012 est. |
| 5 | Japan | $ 1,988,000,000,000 | 2012 est. |
| 6 | China | $ 1,857,000,000,000 | 2012 est. |
| 7 | Germany | $ 1,535,000,000,000 | 2012 est. |
| 8 | Germany | $ 1,532,000,000,000 | 2012 est. |
| 9 | France | $ 1,485,000,000,000 | 2012 est. |
| 10 | France | $ 1,358,000,000,000 | 2012 est. |
| 11 | United Kingdom | $ 1,186,000,000,000 | 2012 est. |
| 12 | Italy | $ 1,023,000,000,000 | 2012 est. |
| 13 | United Kingdom | $ 986,100,000,000 | 2012 est. |
| 14 | Italy | $ 964,300,000,000 | 2012 est. |
| 15 | Brazil | $ 875,500,000,000 | 2012 est. |
| 16 | Brazil | $ 822,100,000,000 | 2012 est. |
| 17 | Canada | $ 748,900,000,000 | 2012 est. |
| 18 | Canada | $ 690,300,000,000 | 2012 est. |
| 19 | Spain | $ 623,900,000,000 | 2012 est. |
| 20 | Australia | $ 556,100,000,000 | 2012 est. |
| 21 | Australia | $ 504,700,000,000 | 2012 est. |
| 22 | Spain | $ 481,900,000,000 | 2012 est. |
| 23 | Russia | $ 418,000,000,000 | 2012 est. |
| 24 | Russia | $ 416,800,000,000 | 2012 est. |
| 25 | Netherlands | $ 389,400,000,000 | 2012 est. |
| 26 | Netherlands | $ 358,400,000,000 | 2012 est. |
| 27 | Saudi Arabia | $ 326,500,000,000 | 2012 est. |
| 28 | Mexico | $ 297,700,000,000 | 2012 est. |
| 29 | Norway | $ 285,700,000,000 | 2012 est. |
| 30 | Korea, South | $ 276,500,000,000 | 2012 est. |
| 31 | Sweden | $ 273,300,000,000 | 2012 est. |
| 32 | Sweden | $ 269,600,000,000 | 2012 est. |
| 33 | Mexico | $ 266,900,000,000 | 2012 est. |
| 34 | Belgium | $ 266,500,000,000 | 2012 est. |
| 35 | India | $ 263,800,000,000 | 2012 est. |
| 36 | Korea, South | $ 260,100,000,000 | 2012 est. |
| 37 | Belgium | $ 246,600,000,000 | 2012 est. |
| 38 | Saudi Arabia | $ 234,800,000,000 | 2012 est. |
| 39 | Norway | $ 216,500,000,000 | 2012 est. |
| 40 | Switzerland | $ 212,900,000,000 | 2012 est. |
| 41 | Austria | $ 212,100,000,000 | 2011 |
| 42 | Switzerland | $ 212,100,000,000 | 2012 est. |
| 43 | Turkey | $ 201,500,000,000 | 2012 est. |
| 44 | Austria | $ 200,000,000,000 | 2011 |
| 45 | Denmark | $ 187,000,000,000 | 2012 est. |
| 46 | Turkey | $ 185,100,000,000 | 2012 est. |
| 47 | Denmark | $ 174,100,000,000 | 2012 est. |
| 48 | India | $ 172,100,000,000 | 2012 est. |
| 49 | Venezuela | $ 165,300,000,000 | 2012 est. |
| 50 | Indonesia | $ 162,800,000,000 | 2012 est. |
| 51 | Indonesia | $ 144,300,000,000 | 2012 est. |
| 52 | Finland | $ 139,100,000,000 | 2012 est. |
| 53 | Greece | $ 136,800,000,000 | 2012 est. |
| 54 | United Arab Emirates | $ 136,600,000,000 | 2012 est. |
| 55 | Argentina | $ 133,600,000,000 | 2012 est. |
| 56 | Finland | $ 133,400,000,000 | 2012 est. |
| 57 | Argentina | $ 121,300,000,000 | 2012 est. |
| 58 | South Africa | $ 117,800,000,000 | 2012 est. |
| 59 | Kuwait | $ 115,800,000,000 | 2012 est. |
| 60 | Greece | $ 111,800,000,000 | 2012 est. |
| 61 | Venezuela | $ 109,800,000,000 | 2012 est. |
| 62 | United Arab Emirates | $ 109,400,000,000 | 2012 est. |
| 63 | Colombia | $ 107,800,000,000 | 2012 est. |
| 64 | Colombia | $ 106,100,000,000 | 2012 est. |
| 65 | Iraq | $ 103,000,000,000 | 2012 est. |
| 66 | Portugal | $ 101,000,000,000 | 2012 est. |
| 67 | South Africa | $ 99,560,000,000 | 2012 est. |
| 68 | Poland | $ 97,650,000,000 | 2012 est. |
| 69 | Iran | $ 92,630,000,000 | 2012 est. |
| 70 | Algeria | $ 92,470,000,000 | 2012 est. |
| 71 | Taiwan | $ 90,420,000,000 | 2012 est. |
| 72 | Czech Republic | $ 89,590,000,000 | 2012 est. |
| 73 | Ireland | $ 88,790,000,000 | 2012 est. |
| 74 | Iraq | $ 88,330,000,000 | 2012 est. |
| 75 | Poland | $ 88,310,000,000 | 2012 est. |
| 76 | Thailand | $ 88,080,000,000 | 2012 est. |
| 77 | Portugal | $ 87,360,000,000 | 2012 est. |
| 78 | Algeria | $ 82,690,000,000 | 2012 est. |
| 79 | Czech Republic | $ 80,930,000,000 | 2012 est. |
| 80 | Malaysia | $ 80,890,000,000 | 2012 est. |
| 81 | Iran | $ 79,690,000,000 | 2012 est. |
| 82 | Taiwan | $ 78,380,000,000 | 2012 est. |
| 83 | Egypt | $ 77,710,000,000 | 2012 est. |
| 84 | New Zealand | $ 76,370,000,000 | 2012 est. |
| 85 | Qatar | $ 76,220,000,000 | 2012 est. |
| 86 | Israel | $ 73,650,000,000 | 2012 est. |
| 87 | Ireland | $ 73,000,000,000 | 2012 est. |
| 88 | Thailand | $ 72,080,000,000 | 2012 est. |
| 89 | New Zealand | $ 69,920,000,000 | 2012 est. |
| 90 | Malaysia | $ 67,310,000,000 | 2012 est. |
| 91 | Israel | $ 63,540,000,000 | 2012 est. |
| 92 | Ukraine | $ 63,370,000,000 | 2012 est. |
| 93 | Peru | $ 62,190,000,000 | 2012 est. |
| 94 | Hungary | $ 60,680,000,000 | 2012 est. |
| 95 | Romania | $ 59,950,000,000 | 2012 est. |
| 96 | Chile | $ 58,810,000,000 | 2012 est. |
| 97 | Kuwait | $ 58,080,000,000 | 2012 est. |
| 98 | Hungary | $ 58,020,000,000 | 2012 est. |
| 99 | Peru | $ 57,900,000,000 | 2012 est. |
| 100 | Hong Kong | $ 57,870,000,000 | 2012 est. |
| 101 | Libya | $ 57,480,000,000 | 2012 est. |
| 102 | Chile | $ 57,380,000,000 | 2012 est. |
| 103 | Ukraine | $ 55,740,000,000 | 2012 est. |
| 104 | Romania | $ 55,690,000,000 | 2012 est. |
| 105 | Angola | $ 51,240,000,000 | 2012 est. |
| 106 | Cuba | $ 50,450,000,000 | 2012 est. |
