CIA - The World Factbook --  Budget   

This entry includes revenues, expenditures, and capital expenditures. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Budget | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $ 3,456,000,000,000 | 2010 est. |
| 2 | Japan | $ 2,221,000,000,000 | 2010 est. |
| 3 | United States | $ 2,162,000,000,000 | 2010 est. |
| 4 | Japan | $ 1,776,000,000,000 | 2010 est. |
| 5 | Germany | $ 1,535,000,000,000 | 2010 est. |
| 6 | France | $ 1,440,000,000,000 | 2010 est. |
| 7 | Germany | $ 1,427,000,000,000 | 2010 est. |
| 8 | China | $ 1,323,000,000,000 | 2010 est. |
| 9 | France | $ 1,260,000,000,000 | 2010 est. |
| 10 | China | $ 1,227,000,000,000 | 2010 est. |
| 11 | United Kingdom | $ 1,140,000,000,000 | 2010 est. |
| 12 | Italy | $ 1,053,000,000,000 | 2010 est. |
| 13 | Italy | $ 958,900,000,000 | 2010 est. |
| 14 | United Kingdom | $ 908,000,000,000 | 2010 est. |
| 15 | Brazil | $ 822,600,000,000 | 2010 est. |
| 16 | Brazil | $ 762,100,000,000 | 2010 est. |
| 17 | Canada | $ 689,800,000,000 | 2010 est. |
| 18 | Spain | $ 634,200,000,000 | 2010 est. |
| 19 | Canada | $ 601,000,000,000 | 2010 est. |
| 20 | Spain | $ 503,800,000,000 | 2010 est. |
| 21 | Australia | $ 441,200,000,000 | 2010 est. |
| 22 | Netherlands | $ 400,000,000,000 | 2010 est. |
| 23 | Australia | $ 399,000,000,000 | 2010 est. |
| 24 | Netherlands | $ 358,500,000,000 | 2010 est. |
| 25 | Russia | $ 333,000,000,000 | 2010 est. |
| 26 | Russia | $ 273,400,000,000 | 2010 est. |
| 27 | India | $ 269,000,000,000 | 2010 est. |
| 28 | Mexico | $ 263,800,000,000 | 2010 est. |
| 29 | Belgium | $ 248,000,000,000 | 2010 est. |
| 30 | Sweden | $ 243,100,000,000 | 2010 est. |
| 31 | Sweden | $ 241,500,000,000 | 2010 est. |
| 32 | Korea, South | $ 235,100,000,000 | 2010 est. |
| 33 | Mexico | $ 234,300,000,000 | 2010 est. |
| 34 | Norway | $ 233,500,000,000 | 2010 est. |
| 35 | Belgium | $ 228,400,000,000 | 2010 est. |
| 36 | Korea, South | $ 222,200,000,000 | 2010 est. |
| 37 | Austria | $ 200,600,000,000 | 2010 est. |
| 38 | Saudi Arabia | $ 197,300,000,000 | 2010 est. |
| 39 | Turkey | $ 195,400,000,000 | 2010 est. |
| 40 | Switzerland | $ 185,700,000,000 | 2010 est. |
| 41 | Norway | $ 184,500,000,000 | 2010 est. |
| 42 | India | $ 183,600,000,000 | 2010 est. |
| 43 | Austria | $ 183,000,000,000 | 2010 est. |
| 44 | Switzerland | $ 182,300,000,000 | 2010 est. |
| 45 | Denmark | $ 180,700,000,000 | 2010 est. |
| 46 | Denmark | $ 171,700,000,000 | 2010 est. |
| 47 | Turkey | $ 169,000,000,000 | 2010 est. |
| 48 | Saudi Arabia | $ 167,100,000,000 | 2010 est. |
| 49 | Greece | $ 151,500,000,000 | 2010 est. |
| 50 | Ireland | $ 137,000,000,000 | 2010 est. |
| 51 | Indonesia | $ 132,900,000,000 | 2011 est. |
| 52 | Finland | $ 131,900,000,000 | 2010 est. |
| 53 | Finland | $ 125,200,000,000 | 2010 est. |
| 54 | Greece | $ 119,600,000,000 | 2010 est. |
| 55 | Indonesia | $ 119,500,000,000 | 2011 est. |
| 56 | Portugal | $ 116,500,000,000 | 2010 est. |
| 57 | Iran | $ 111,500,000,000 | 2010 est. |
| 58 | South Africa | $ 108,700,000,000 | 2010 est. |
| 59 | Poland | $ 97,740,000,000 | 2010 est. |
| 60 | Portugal | $ 95,400,000,000 | 2010 est. |
| 61 | South Africa | $ 93,920,000,000 | 2010 est. |
| 62 | United Arab Emirates | $ 92,150,000,000 | 2010 est. |
| 63 | Iran | $ 89,980,000,000 | 2010 est. |
| 64 | Argentina | $ 89,950,000,000 | 2010 est. |
| 65 | Argentina | $ 89,170,000,000 | 2010 est. |
| 66 | Czech Republic | $ 86,760,000,000 | 2010 est. |
| 67 | United Arab Emirates | $ 85,770,000,000 | 2010 est. |
| 68 | Poland | $ 82,960,000,000 | 2010 est. |
| 69 | Taiwan | $ 81,110,000,000 | 2010 est. |
| 70 | Colombia | $ 80,790,000,000 | 2010 est. |
