CIA - The World Factbook --  ELECTRICITY - FROM FOSSIL FUELS

Electricity â€“ from fossil fuels measures the capacity of plants that generate electricity by burning fossil fuels (such as coal, petroleum products, and natural gas), expressed as a share of the country's total generating capacity.

| Rank | Country | (% OF TOTAL INSTALLED CAPACITY) | Date of Information |
| --- | --- | --- | --- |
| 1 | Antigua and Barbuda | 100.0 | 2011 est. |
| 2 | Yemen | 100.0 | 2011 est. |
| 3 | American Samoa | 100.0 | 2011 est. |
| 4 | Bahrain | 100.0 | 2011 est. |
| 5 | Barbados | 100.0 | 2011 est. |
| 6 | Botswana | 100.0 | 2011 est. |
| 7 | Bahamas, The | 100.0 | 2011 est. |
| 8 | Solomon Islands | 100.0 | 2011 est. |
| 9 | Brunei | 100.0 | 2011 est. |
| 10 | Chad | 100.0 | 2011 est. |
| 11 | Cayman Islands | 100.0 | 2011 est. |
| 12 | Djibouti | 100.0 | 2011 est. |
| 13 | Gambia, The | 100.0 | 2011 est. |
| 14 | Gibraltar | 100.0 | 2011 est. |
| 15 | Greenland | 100.0 | 2011 est. |
| 16 | Guam | 100.0 | 2011 est. |
| 17 | Hong Kong | 100.0 | 2013 est. |
| 18 | Kiribati | 100.0 | 2011 est. |
| 19 | Kuwait | 100.0 | 2011 est. |
| 20 | Liberia | 100.0 | 2011 est. |
| 21 | Libya | 100.0 | 2011 est. |
| 22 | Macau | 100.0 | 2013 est. |
| 23 | Montserrat | 100.0 | 2011 est. |
| 24 | Oman | 100.0 | 2011 est. |
| 25 | Niue | 100.0 | 2011 est. |
| 26 | Niger | 100.0 | 2011 est. |
| 27 | Nauru | 100.0 | 2011 est. |
| 28 | Guinea-Bissau | 100.0 | 2011 est. |
| 29 | Qatar | 100.0 | 2011 est. |
| 30 | Saudi Arabia | 100.0 | 2011 est. |
| 31 | Seychelles | 100.0 | 2011 est. |
| 32 | Saint Helena, Ascension, and Tristan da Cunha | 100.0 | 2011 est. |
| 33 | Somalia | 100.0 | 2011 est. |
| 34 | Saint Lucia | 100.0 | 2011 est. |
| 35 | Turks and Caicos Islands | 100.0 | 2011 est. |
| 36 | Tonga | 100.0 | 2011 est. |
| 37 | Turkmenistan | 100.0 | 2011 est. |
| 38 | British Virgin Islands | 100.0 | 2011 est. |
| 39 | Virgin Islands | 100.0 | 2011 est. |
| 40 | West Bank | 100.0 | 2011 est. |
| 41 | Western Sahara | 100.0 | 2011 est. |
| 42 | United Arab Emirates | 100.0 | 2011 est. |
| 43 | Mongolia | 99.9 | 2011 est. |
| 44 | Maldives | 99.9 | 2011 est. |
| 45 | Trinidad and Tobago | 99.8 | 2011 est. |
| 46 | Senegal | 99.7 | 2011 est. |
| 47 | Belarus | 99.7 | 2011 est. |
| 48 | Jordan | 99.6 | 2011 est. |
| 49 | Benin | 99.4 | 2011 est. |
| 50 | Cook Islands | 98.9 | 2011 est. |
| 51 | Cuba | 98.8 | 2011 est. |
| 52 | Eritrea | 98.7 | 2011 est. |
| 53 | Grenada | 98.6 | 2011 est. |
| 54 | Bermuda | 98.2 | 2012 est. |
| 55 | Algeria | 98.0 | 2011 est. |
| 56 | Saint Pierre and Miquelon | 97.7 | 2011 est. |
| 57 | Bangladesh | 97.7 | 2013 est. |
| 58 | Malta | 97.5 | 2013 est. |
| 59 | Singapore | 97.4 | 2011 est. |
| 60 | Israel | 97.4 | 2011 est. |
| 61 | Puerto Rico | 97.2 | 2011 est. |
| 62 | Tunisia | 97.1 | 2011 est. |
| 63 | Moldova | 96.4 | 2013 est. |
| 64 | Guyana | 96.0 | 2011 est. |
| 65 | Comoros | 95.5 | 2011 est. |
| 66 | Saint Kitts and Nevis | 95.2 | 2011 est. |
| 67 | South Africa | 93.6 | 2011 est. |
| 68 | Iraq | 92.0 | 2013 est. |
| 69 | Jamaica | 91.7 | 2011 est. |
| 70 | Poland | 91.5 | 2011 est. |
| 71 | Estonia | 91.1 | 2011 est. |
| 72 | Aruba | 90.6 | 2011 est. |
| 73 | Equatorial Guinea | 90.2 | 2011 est. |
| 74 | Falkland Islands (Islas Malvinas) | 90.0 | 2011 est. |
| 75 | Egypt | 90.0 | 2011 est. |
| 76 | Malaysia | 89.4 | 2011 est. |
| 77 | Vanuatu | 89.3 | 2011 est. |
| 78 | Syria | 89.2 | 2011 est. |
| 79 | Thailand | 89.0 | 2012 est. |
| 80 | Lithuania | 88.7 | 2011 est. |
| 81 | Lebanon | 88.1 | 2011 est. |
| 82 | Kazakhstan | 88.1 | 2011 est. |
| 83 | Cyprus | 86.9 | 2011 est. |
| 84 | Burkina Faso | 86.6 | 2011 est. |
| 85 | Iran | 86.5 | 2011 est. |
| 86 | Uzbekistan | 86.0 | 2011 est. |
