CIA - The World Factbook --  Total renewable water resources   

This entry provides the long-term average water availability for a country in cubic kilometers of precipitation, recharged ground water, and surface inflows from surrounding countries. The values have been adjusted to account for overlap resulting from surface flow recharge of groundwater sources. Total renewable water resources provides the water total available to a country but does not include water resource totals that have been reserved for upstream or downstream countries through international agreements. Note that these values are averages and do not accurately reflect the total available in any given year. Annual available resources can vary greatly due to short-term and long-term climatic and weather variations.

| Rank | country | (cu km) | Date of Information |
| --- | --- | --- | --- |
| 1 | Brazil | 8,233.00 | 2011 |
| 2 | Russia | 4,508.00 | 2011 |
| 3 | United States | 3,069.00 | 2011 |
| 4 | Canada | 2,902.00 | 2011 |
| 5 | China | 2,840.00 | 2011 |
| 6 | Colombia | 2,132.00 | 2011 |
| 7 | European Union | 2,057.76 | 2011 |
| 8 | Indonesia | 2,019.00 | 2011 |
| 9 | Peru | 1,913.00 | 2011 |
| 10 | India | 1,911.00 | 2011 |
| 11 | Congo, Democratic Republic of the | 1,283.00 | 2011 |
| 12 | Venezuela | 1,233.00 | 2011 |
| 13 | Bangladesh | 1,227.00 | 2011 |
| 14 | Burma | 1,168.00 | 2011 |
| 15 | Chile | 922.00 | 2011 |
| 16 | Vietnam | 884.10 | 2011 |
| 17 | Congo, Republic of the | 832.00 | 2011 |
| 18 | Argentina | 814.00 | 2011 |
| 19 | Papua New Guinea | 801.00 | 2011 |
| 20 | Bolivia | 622.50 | 2011 |
| 21 | Malaysia | 580.00 | 2011 |
| 22 | Australia | 492.00 | 2011 |
| 23 | Philippines | 479.00 | 2011 |
| 24 | Cambodia | 476.10 | 2011 |
| 25 | Mexico | 457.20 | 2011 |
| 26 | Thailand | 438.60 | 2011 |
| 27 | Japan | 430.00 | 2011 |
| 28 | Ecuador | 424.40 | 2011 |
| 29 | Norway | 382.00 | 2011 |
| 30 | Madagascar | 337.00 | 2011 |
| 31 | Paraguay | 336.00 | 2011 |
| 32 | Laos | 333.50 | 2011 |
| 33 | New Zealand | 327.00 | 2011 |
| 34 | Nigeria | 286.20 | 2011 |
| 35 | Cameroon | 285.50 | 2011 |
| 36 | Pakistan | 246.80 | 2011 |
| 37 | Guyana | 241.00 | 2011 |
| 38 | Liberia | 232.00 | 2011 |
| 39 | Guinea | 226.00 | 2011 |
| 40 | Mozambique | 217.10 | 2011 |
| 41 | Romania | 211.90 | 2011 |
| 42 | Turkey | 211.60 | 2011 |
| 43 | France | 211.00 | 2011 |
