CIA - The World Factbook --  Oil - consumption   

This entry is the total oil consumed in barrels per day (bbl/day). The discrepancy between the amount of oil produced and/or imported and the amount consumed and/or exported is due to the omission of stock changes, refinery gains, and other complicating factors.

| Rank | country | (bbl/day) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 18,690,000 | 2009 est. |
| 2 | European Union | 13,680,000 | 2009 est. |
| 3 | China | 8,200,000 | 2009 est. |
| 4 | Japan | 4,363,000 | 2009 est. |
| 5 | India | 2,980,000 | 2009 est. |
| 6 | Russia | 2,740,000 | 2010 est. |
| 7 | Brazil | 2,460,000 | 2009 est. |
| 8 | Germany | 2,437,000 | 2009 est. |
| 9 | Saudi Arabia | 2,430,000 | 2009 est. |
| 10 | Korea, South | 2,185,000 | 2010 est. |
| 11 | Canada | 2,151,000 | 2009 est. |
| 12 | Mexico | 2,078,000 | 2009 est. |
| 13 | France | 1,875,000 | 2009 est. |
| 14 | Iran | 1,700,000 | 2009 est. |
| 15 | United Kingdom | 1,669,000 | 2009 est. |
| 16 | Italy | 1,537,000 | 2009 est. |
| 17 | Spain | 1,482,000 | 2009 est. |
| 18 | Indonesia | 1,115,000 | 2009 est. |
| 19 | Australia | 946,300 | 2009 est. |
| 20 | Netherlands | 922,800 | 2009 est. |
| 21 | Taiwan | 910,000 | 2009 est. |
| 22 | Singapore | 878,000 | 2009 est. |
| 23 | Venezuela | 740,000 | 2009 est. |
| 24 | Iraq | 687,000 | 2009 est. |
| 25 | Egypt | 683,000 | 2009 est. |
| 26 | Argentina | 622,000 | 2009 est. |
| 27 | Belgium | 608,200 | 2009 est. |
| 28 | Turkey | 579,500 | 2009 est. |
| 29 | South Africa | 579,000 | 2009 est. |
| 30 | Poland | 545,400 | 2009 est. |
| 31 | Malaysia | 536,000 | 2009 est. |
| 32 | United Arab Emirates | 435,000 | 2009 est. |
| 33 | Greece | 414,400 | 2009 est. |
| 34 | Pakistan | 373,000 | 2009 est. |
| 35 | Hong Kong | 359,000 | 2009 est. |
| 36 | Thailand | 356,000 | 2009 est. |
| 37 | Ukraine | 348,000 | 2009 est. |
| 38 | Sweden | 328,100 | 2009 est. |
| 39 | Algeria | 325,000 | 2009 est. |
| 40 | Kuwait | 320,000 | 2009 est. |
| 41 | Philippines | 313,000 | 2009 est. |
| 42 | Vietnam | 302,000 | 2009 est. |
| 43 | Colombia | 288,000 | 2009 est. |
| 44 | Libya | 280,000 | 2009 est. |
| 45 | Nigeria | 280,000 | 2009 est. |
| 46 | Switzerland | 280,000 | 2009 est. |
| 47 | Chile | 277,000 | 2009 est. |
| 48 | Austria | 273,700 | 2009 est. |
| 49 | Portugal | 272,200 | 2009 est. |
| 50 | Syria | 252,000 | 2009 est. |
| 51 | Kazakhstan | 241,000 | 2009 est. |
| 52 | Israel | 231,000 | 2009 est. |
| 53 | Romania | 214,000 | 2009 est. |
| 54 | Czech Republic | 207,600 | 2009 est. |
| 55 | Finland | 206,200 | 2009 est. |
| 56 | Norway | 204,100 | 2009 est. |
