CIA - The World Factbook --  Roadways   

This entry gives the total length of the road network and includes the length of the paved and unpaved portions.

| Rank | country | (km) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 6,506,204 | 2008 |
| 2 | China | 4,106,387 | 2011 |
| 3 | India | 3,320,410 | 2009 |
| 4 | Brazil | 1,580,964 | 2010 |
| 5 | Japan | 1,210,251 | 2008 |
| 6 | Canada | 1,042,300 | 2008 |
| 7 | Russia | 982,000 | 2009 |
| 8 | France | 951,200 | 2007 |
| 9 | Australia | 823,217 | 2011 |
| 10 | Spain | 681,298 | 2008 |
| 11 | Germany | 644,480 | 2008 |
| 12 | Sweden | 572,900 | 2009 |
| 13 | Italy | 487,700 | 2007 |
| 14 | Indonesia | 437,759 | 2008 |
| 15 | Poland | 423,997 | 2008 |
| 16 | United Kingdom | 394,428 | 2009 |
| 17 | Mexico | 366,095 | 2008 |
| 18 | South Africa | 362,099 | 2002 |
| 19 | Turkey | 352,046 | 2008 |
| 20 | Pakistan | 260,760 | 2007 |
| 21 | Argentina | 231,374 | 2004 |
| 22 | Saudi Arabia | 221,372 | 2006 |
| 23 | Philippines | 213,151 | 2009 |
| 24 | Hungary | 197,519 | 2010 |
| 25 | Nigeria | 193,200 | 2004 |
| 26 | Vietnam | 180,549 | 2008 |
| 27 | Thailand | 180,053 | 2006 |
| 28 | Iran | 172,927 | 2006 |
| 29 | Ukraine | 169,496 | 2009 |
| 30 | Kenya | 160,886 | 2008 |
| 31 | Belgium | 154,012 | 2010 |
| 32 | Congo, Democratic Republic of the | 153,497 | 2004 |
| 33 | Colombia | 141,374 | 2010 |
| 34 | Peru | 137,327 | 2007 |
| 35 | Netherlands | 136,827 | 2008 |
| 36 | Czech Republic | 127,797 | 2008 |
| 37 | Austria | 124,508 | 2012 |
| 38 | Greece | 116,711 | 2005 |
| 39 | Algeria | 113,655 | 2010 |
| 40 | Korea, South | 103,029 | 2008 |
| 41 | Libya | 100,024 | 2003 |
| 42 | Malaysia | 98,721 | 2004 |
| 43 | Zimbabwe | 97,267 | 2002 |
| 44 | Venezuela | 96,155 | 2002 |
| 45 | Ireland | 96,036 | 2010 |
| 46 | New Zealand | 93,911 | 2009 |
| 47 | Kazakhstan | 93,612 | 2008 |
| 48 | Norway | 93,509 | 2007 |
| 49 | Sri Lanka | 91,907 | 2008 |
| 50 | Zambia | 91,440 | 2001 |
| 51 | Tanzania | 91,049 | 2007 |
| 52 | Uzbekistan | 86,496 | 2000 |
| 53 | Belarus | 86,392 | 2010 |
| 54 | Portugal | 82,900 | 2008 |
| 55 | Romania | 82,386 | 2009 |
| 56 | Lithuania | 82,131 | 2010 |
| 57 | Bolivia | 80,488 | 2010 |
| 58 | Cote d'Ivoire | 80,000 | 2006 |
| 59 | Finland | 78,141 | 2009 |
| 60 | Chile | 77,764 | 2010 |
| 61 | Uruguay | 77,732 | 2010 |
| 62 | Denmark | 73,197 | 2008 |
| 63 | Latvia | 73,074 | 2010 |
| 64 | Switzerland | 71,454 | 2010 |
| 65 | Yemen | 71,300 | 2005 |
| 66 | Uganda | 70,746 | 2003 |
| 67 | Syria | 68,157 | 2006 |
| 68 | Madagascar | 65,663 | 2003 |
| 69 | Egypt | 65,050 | 2009 |
| 70 | Namibia | 64,189 | 2010 |
| 71 | Ghana | 62,221 | 2006 |
