CIA - The World Factbook --  Roadways   

This entry gives the total length of the road network and includes the length of the paved and unpaved portions.

| Rank | country | (km) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 6,586,610 | 2012 |
| 2 | India | 4,689,842 | 2013 |
| 3 | China | 4,106,387 | 2011 |
| 4 | Brazil | 1,580,964 | 2010 |
| 5 | Russia | 1,283,387 | 2012 |
| 6 | Japan | 1,210,251 | 2010 |
| 7 | Canada | 1,042,300 | 2008 |
| 8 | France | 1,028,446 | 2010 |
| 9 | Australia | 823,217 | 2011 |
| 10 | Spain | 683,175 | 2011 |
| 11 | Germany | 645,000 | 2010 |
| 12 | Sweden | 579,564 | 2010 |
| 13 | Indonesia | 496,607 | 2011 |
| 14 | Italy | 487,700 | 2007 |
| 15 | Poland | 412,035 | 2012 |
| 16 | United Kingdom | 394,428 | 2009 |
| 17 | Turkey | 385,748 | 2012 |
| 18 | Mexico | 377,660 | 2012 |
| 19 | South Africa | 364,131 | 2002 |
| 20 | Pakistan | 262,256 | 2010 |
| 21 | Argentina | 231,374 | 2004 |
| 22 | Saudi Arabia | 221,372 | 2006 |
| 23 | Philippines | 213,151 | 2009 |
| 24 | Vietnam | 206,633 | 2013 |
| 25 | Hungary | 199,567 | 2010 |
| 26 | Iran | 198,866 | 2010 |
| 27 | Nigeria | 193,200 | 2004 |
| 28 | Thailand | 180,053 | 2006 |
| 29 | Ukraine | 169,694 | 2012 |
| 30 | Kenya | 160,878 | 2013 |
| 31 | Belgium | 154,012 | 2010 |
| 32 | Congo, Democratic Republic of the | 153,497 | 2004 |
| 33 | Malaysia | 144,403 | 2010 |
| 34 | Colombia | 141,374 | 2010 |
| 35 | Peru | 140,672 | 2012 |
| 36 | Netherlands | 139,295 | 2012 |
| 37 | Egypt | 137,430 | 2010 |
| 38 | Czech Republic | 130,671 | 2010 |
| 39 | Austria | 124,508 | 2012 |
| 40 | Greece | 116,960 | 2010 |
| 41 | Sri Lanka | 114,093 | 2010 |
| 42 | Algeria | 113,655 | 2010 |
| 43 | Ghana | 109,515 | 2009 |
| 44 | Korea, South | 104,983 | 2009 |
| 45 | Libya | 100,024 | 2003 |
| 46 | Kazakhstan | 97,418 | 2012 |
| 47 | Zimbabwe | 97,267 | 2002 |
| 48 | Venezuela | 96,155 | 2002 |
