CIA - The World Factbook --  Roadways   

This entry gives the total length of the road network and includes the length of the paved and unpaved portions.

| Rank | country | (km) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 6,506,204 | 2008 |
| 2 | China | 3,860,800 | 2009 |
| 3 | India | 3,320,410 | 2009 |
| 4 | Brazil | 1,751,868 | 2004 |
| 5 | Japan | 1,203,777 | 2008 |
| 6 | Canada | 1,042,300 | 2009 |
| 7 | Russia | 982,000 | 2009 |
| 8 | France | 951,200 | 2008 |
| 9 | Australia | 818,356 | 2008 |
| 10 | Spain | 681,298 | 2008 |
| 11 | Germany | 644,480 | 2010 |
| 12 | Sweden | 572,900 | 2009 |
| 13 | Italy | 487,700 | 2007 |
| 14 | Indonesia | 437,759 | 2008 |
| 15 | Poland | 423,997 | 2008 |
| 16 | United Kingdom | 394,428 | 2009 |
| 17 | Mexico | 366,095 | 2008 |
| 18 | South Africa | 362,099 | 2002 |
| 19 | Turkey | 352,046 | 2008 |
| 20 | Pakistan | 260,760 | 2010 |
| 21 | Bangladesh | 239,226 | 2003 |
| 22 | Argentina | 231,374 | 2004 |
| 23 | Saudi Arabia | 221,372 | 2006 |
| 24 | Philippines | 213,151 | 2009 |
| 25 | Hungary | 197,519 | 2010 |
| 26 | Nigeria | 193,200 | 2004 |
| 27 | Thailand | 180,053 | 2006 |
| 28 | Iran | 172,927 | 2006 |
| 29 | Vietnam | 171,392 | 2008 |
| 30 | Ukraine | 169,496 | 2010 |
| 31 | Kenya | 160,886 | 2008 |
| 32 | Belgium | 153,595 | 2008 |
| 33 | Congo, Democratic Republic of the | 153,497 | 2004 |
| 34 | Colombia | 141,374 | 2010 |
| 35 | Netherlands | 136,827 | 2010 |
| 36 | Czech Republic | 127,719 | 2009 |
| 37 | Greece | 116,711 | 2008 |
| 38 | Algeria | 111,261 | 2008 |
| 39 | Austria | 110,778 | 2008 |
| 40 | Korea, South | 103,029 | 2008 |
| 41 | Peru | 102,887 | 2007 |
| 42 | Libya | 100,024 | 2003 |
| 43 | Malaysia | 98,721 | 2004 |
| 44 | Zimbabwe | 97,267 | 2002 |
| 45 | Venezuela | 96,155 | 2002 |
| 46 | Ireland | 96,036 | 2010 |
| 47 | Belarus | 94,797 | 2005 |
| 48 | New Zealand | 93,911 | 2009 |
| 49 | Kazakhstan | 93,612 | 2008 |
| 50 | Norway | 93,247 | 2008 |
| 51 | Burkina Faso | 92,495 | 2004 |
| 52 | Sri Lanka | 91,907 | 2008 |
| 53 | Zambia | 91,440 | 2001 |
| 54 | Tanzania | 91,049 | 2010 |
| 55 | Uzbekistan | 86,496 | 2000 |
| 56 | Portugal | 82,900 | 2008 |
| 57 | Romania | 81,713 | 2009 |
| 58 | Lithuania | 81,030 | 2008 |
| 59 | Chile | 80,505 | 2004 |
| 60 | Cote d'Ivoire | 80,000 | 2006 |
| 61 | Finland | 78,141 | 2009 |
| 62 | Uruguay | 77,732 | 2010 |
| 63 | Denmark | 73,197 | 2008 |
| 64 | Latvia | 73,074 | 2010 |
| 65 | Switzerland | 71,454 | 2010 |
| 66 | Yemen | 71,300 | 2005 |
| 67 | Uganda | 70,746 | 2003 |
| 68 | Syria | 68,157 | 2009 |
| 69 | Madagascar | 65,663 | 2003 |
| 70 | Egypt | 65,050 | 2009 |
| 71 | Namibia | 64,189 | 2010 |
