CIA - The World Factbook --  Roadways   

This entry gives the total length of the road network and includes the length of the paved and unpaved portions.

| Rank | country | (km) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 6,465,799 | 2007 |
| 2 | India | 3,316,452 | 2006 |
| 3 | China | 1,930,544 | 2005 |
| 4 | Brazil | 1,751,868 | 2004 |
| 5 | Japan | 1,196,999 | 2006 |
| 6 | Canada | 1,042,300 | 2006 |
| 7 | France | 951,500 | 2006 |
| 8 | Russia | 933,000 | 2006 |
| 9 | Australia | 812,972 | 2004 |
| 10 | Spain | 681,224 | 2006 |
| 11 | Germany | 644,480 | 2006 |
| 12 | Italy | 487,700 | 2005 |
| 13 | Turkey | 426,951 | 2006 |
| 14 | Sweden | 425,300 | 2008 |
| 15 | Poland | 423,997 | 2006 |
| 16 | United Kingdom | 398,366 | 2006 |
| 17 | Indonesia | 391,009 | 2005 |
| 18 | South Africa | 362,099 | 2002 |
| 19 | Mexico | 356,945 | 2006 |
| 20 | Pakistan | 259,197 | 2007 |
| 21 | Bangladesh | 239,226 | 2003 |
| 22 | Argentina | 231,374 | 2004 |
| 23 | Vietnam | 222,179 | 2004 |
| 24 | Saudi Arabia | 221,372 | 2006 |
| 25 | Philippines | 201,910 | 2008 |
| 26 | Romania | 198,817 | 2004 |
| 27 | Nigeria | 193,200 | 2004 |
| 28 | Thailand | 180,053 | 2006 |
| 29 | Iran | 172,927 | 2006 |
| 30 | Ukraine | 169,422 | 2007 |
| 31 | Colombia | 164,257 | 2005 |
| 32 | Hungary | 159,568 | 2005 |
| 33 | Congo, Democratic Republic of the | 153,497 | 2004 |
| 34 | Belgium | 152,256 | 2006 |
| 35 | Netherlands | 135,470 | 2007 |
| 36 | Czech Republic | 128,512 | 2007 |
| 37 | Greece | 117,533 | 2005 |
| 38 | Algeria | 108,302 | 2004 |
| 39 | Austria | 107,262 | 2006 |
| 40 | Korea, South | 103,029 | 2008 |
| 41 | Libya | 100,024 | 2003 |
| 42 | Malaysia | 98,721 | 2004 |
| 43 | Syria | 97,401 | 2006 |
| 44 | Sri Lanka | 97,286 | 2003 |
| 45 | Zimbabwe | 97,267 | 2002 |
| 46 | Ireland | 96,602 | 2003 |
| 47 | Venezuela | 96,155 | 2002 |
| 48 | Belarus | 94,797 | 2005 |
| 49 | New Zealand | 93,576 | 2006 |
| 50 | Norway | 92,946 | 2007 |
| 51 | Burkina Faso | 92,495 | 2004 |
| 52 | Egypt | 92,370 | 2004 |
| 53 | Kazakhstan | 91,563 | 2006 |
| 54 | Zambia | 91,440 | 2001 |
| 55 | Uzbekistan | 86,496 | 2000 |
| 56 | Portugal | 82,900 | 2005 |
| 57 | Lithuania | 80,715 | 2007 |
| 58 | Chile | 80,505 | 2004 |
| 59 | Cote d'Ivoire | 80,000 | 2006 |
| 60 | Tanzania | 78,891 | 2003 |
| 61 | Peru | 78,829 | 2004 |
| 62 | Finland | 78,141 | 2009 |
| 63 | Uruguay | 77,732 | 2004 |
| 64 | Denmark | 72,362 | 2006 |
| 65 | Yemen | 71,300 | 2005 |
| 66 | Switzerland | 71,298 | 2006 |
| 67 | Uganda | 70,746 | 2003 |
| 68 | Latvia | 69,675 | 2006 |
| 69 | Madagascar | 65,663 | 2003 |
| 70 | Kenya | 63,574 | 2008 |
| 71 | Bolivia | 62,479 | 2004 |
| 72 | Ghana | 62,221 | 2006 |
| 73 | Cuba | 60,858 | 2000 |
| 74 | Azerbaijan | 59,141 | 2004 |
