CIA - The World Factbook --  Roadways   

This entry gives the total length of the road network and includes the length of the paved and unpaved portions.

| Rank | country | (km) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 6,506,204 | 2008 |
| 2 | China | 3,583,715 | 2007 |
| 3 | India | 3,320,410 | 2009 |
| 4 | Brazil | 1,751,868 | 2004 |
| 5 | Japan | 1,203,777 | 2008 |
| 6 | Canada | 1,042,300 | 2008 |
| 7 | France | 1,027,183 | 2007 |
| 8 | Russia | 982,000 | 2009 |
| 9 | Australia | 812,972 | 2004 |
| 10 | Spain | 681,298 | 2008 |
| 11 | Germany | 644,480 | 2008 |
| 12 | Sweden | 572,900 | 2009 |
| 13 | Italy | 487,700 | 2007 |
| 14 | Indonesia | 437,759 | 2008 |
| 15 | Poland | 423,997 | 2008 |
| 16 | United Kingdom | 394,428 | 2009 |
| 17 | Mexico | 366,095 | 2008 |
| 18 | South Africa | 362,099 | 2002 |
| 19 | Turkey | 352,046 | 2008 |
| 20 | Pakistan | 259,197 | 2007 |
| 21 | Bangladesh | 239,226 | 2003 |
| 22 | Argentina | 231,374 | 2004 |
| 23 | Saudi Arabia | 221,372 | 2006 |
| 24 | Philippines | 201,910 | 2008 |
| 25 | Romania | 198,817 | 2008 |
| 26 | Nigeria | 193,200 | 2004 |
| 27 | Thailand | 180,053 | 2006 |
| 28 | Iran | 172,927 | 2006 |
| 29 | Vietnam | 171,392 | 2008 |
| 30 | Ukraine | 169,495 | 2009 |
| 31 | Colombia | 164,257 | 2005 |
| 32 | Kenya | 160,886 | 2008 |
| 33 | Hungary | 160,057 | 2008 |
| 34 | Congo, Democratic Republic of the | 153,497 | 2004 |
| 35 | Belgium | 152,256 | 2006 |
| 36 | Netherlands | 136,827 | 2008 |
| 37 | Czech Republic | 128,582 | 2008 |
| 38 | Greece | 117,533 | 2005 |
| 39 | Algeria | 108,302 | 2004 |
| 40 | Austria | 107,262 | 2006 |
| 41 | Korea, South | 103,029 | 2008 |
| 42 | Peru | 102,887 | 2007 |
| 43 | Libya | 100,024 | 2003 |
| 44 | Malaysia | 98,721 | 2004 |
| 45 | Syria | 97,401 | 2006 |
| 46 | Zimbabwe | 97,267 | 2002 |
| 47 | Venezuela | 96,155 | 2002 |
| 48 | Ireland | 96,036 | 2008 |
| 49 | Belarus | 94,797 | 2005 |
| 50 | New Zealand | 93,911 | 2009 |
| 51 | Kazakhstan | 93,612 | 2008 |
| 52 | Norway | 92,946 | 2007 |
| 53 | Burkina Faso | 92,495 | 2004 |
| 54 | Sri Lanka | 91,907 | 2008 |
| 55 | Zambia | 91,440 | 2001 |
| 56 | Uzbekistan | 86,496 | 2000 |
| 57 | Portugal | 82,900 | 2008 |
| 58 | Lithuania | 81,030 | 2008 |
| 59 | Chile | 80,505 | 2004 |
| 60 | Cote d'Ivoire | 80,000 | 2006 |
| 61 | Tanzania | 78,892 | 2007 |
| 62 | Finland | 78,141 | 2009 |
| 63 | Uruguay | 77,732 | 2010 |
| 64 | Denmark | 73,197 | 2008 |
| 65 | Latvia | 73,074 | 2010 |
| 66 | Switzerland | 71,384 | 2009 |
| 67 | Yemen | 71,300 | 2005 |
| 68 | Uganda | 70,746 | 2003 |
| 69 | Oman | 68,467 | 2008 |
| 70 | Madagascar | 65,663 | 2003 |
| 71 | Egypt | 65,050 | 2009 |
