CIA - The World Factbook --  ROADWAYS

Roadways compares the total length of the road network and includes the length of the paved and unpaved portions.

| Rank | Country | (KM) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 6,586,610 | 2012 |
| 2 | India | 4,699,024 | 2015 |
| 3 | China | 4,106,387 | 2011 |
| 4 | Brazil | 1,580,964 | 2010 |
| 5 | Russia | 1,283,387 | 2012 |
| 6 | Japan | 1,218,772 | 2015 |
| 7 | Canada | 1,042,300 | 2011 |
| 8 | France | 1,028,446 | 2010 |
| 9 | Australia | 823,217 | 2011 |
| 10 | South Africa | 747,014 | 2014 |
| 11 | Spain | 683,175 | 2011 |
| 12 | Germany | 645,000 | 2010 |
| 13 | Sweden | 579,564 | 2010 |
| 14 | Indonesia | 496,607 | 2011 |
| 15 | Italy | 487,700 | 2007 |
| 16 | Finland | 454,000 | 2012 |
| 17 | Poland | 412,035 | 2012 |
| 18 | United Kingdom | 394,428 | 2009 |
| 19 | Turkey | 385,754 | 2012 |
| 20 | Mexico | 377,660 | 2012 |
| 21 | Pakistan | 263,942 | 2014 |
| 22 | Argentina | 231,374 | 2004 |
| 23 | Saudi Arabia | 221,372 | 2006 |
| 24 | Philippines | 216,387 | 2014 |
| 25 | Colombia | 204,855 | 2015 |
| 26 | Hungary | 203,601 | 2014 |
| 27 | Iran | 198,866 | 2010 |
| 28 | Vietnam | 195,468 | 2013 |
| 29 | Nigeria | 193,200 | 2004 |
| 30 | Thailand | 180,053 | 2006 |
| 31 | Ukraine | 169,694 | 2012 |
| 32 | Kenya | 160,878 | 2013 |
| 33 | Belgium | 154,012 | 2010 |
| 34 | Congo, Democratic Republic of the | 153,497 | 2004 |
| 35 | Malaysia | 144,403 | 2010 |
| 36 | Peru | 140,672 | 2012 |
| 37 | Netherlands | 138,641 | 2014 |
| 38 | Egypt | 137,430 | 2010 |
| 39 | Austria | 133,597 | 2016 |
| 40 | Czechia | 130,661 | 2011 |
| 41 | Greece | 116,960 | 2010 |
| 42 | Sri Lanka | 114,093 | 2010 |
| 43 | Algeria | 113,655 | 2010 |
| 44 | Ethiopia | 110,414 | 2015 |
| 45 | Ghana | 109,515 | 2009 |
| 46 | Korea, South | 104,983 | 2009 |
| 47 | Libya | 100,024 | 2003 |
| 48 | Kazakhstan | 97,418 | 2012 |
