CIA - The World Factbook --  Natural gas - consumption   

Natural gas - consumption compares the total natural gas consumed in cubic meters (cu m).

| Rank | country | (cu m) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 689,900,000,000 | 2011 est. |
| 2 | Russia | 457,200,000,000 | 2013 est. |
| 3 | European Union | 443,900,000,000 | 2012 est. |
| 4 | China | 150,000,000,000 | 2013 est. |
| 5 | Iran | 144,600,000,000 | 2010 est. |
| 6 | Japan | 112,600,000,000 | 2011 est. |
| 7 | Saudi Arabia | 99,230,000,000 | 2011 est. |
| 8 | Canada | 82,480,000,000 | 2010 est. |
| 9 | Germany | 75,200,000,000 | 2012 est. |
| 10 | Italy | 68,700,000,000 | 2012 est. |
| 11 | India | 64,490,000,000 | 2010 est. |
| 12 | United Arab Emirates | 60,540,000,000 | 2010 est. |
| 13 | Mexico | 59,150,000,000 | 2011 est. |
| 14 | Ukraine | 56,200,000,000 | 2010 est. |
| 15 | United Kingdom | 51,630,000,000 | 2013 est. |
| 16 | Korea, South | 49,660,000,000 | 2012 est. |
| 17 | France | 47,990,000,000 | 2010 est. |
| 18 | Uzbekistan | 46,800,000,000 | 2012 est. |
| 19 | Egypt | 46,170,000,000 | 2010 est. |
| 20 | Thailand | 45,080,000,000 | 2010 est. |
| 21 | Netherlands | 44,110,000,000 | 2013 est. |
| 22 | Argentina | 43,290,000,000 | 2010 est. |
| 23 | Pakistan | 42,900,000,000 | 2011 est. |
| 24 | Indonesia | 39,560,000,000 | 2010 est. |
| 25 | Turkey | 38,130,000,000 | 2010 est. |
| 26 | Spain | 35,820,000,000 | 2010 est. |
| 27 | Australia | 33,390,000,000 | 2010 est. |
| 28 | Malaysia | 32,620,000,000 | 2010 est. |
| 29 | Algeria | 28,820,000,000 | 2010 est. |
| 30 | Venezuela | 27,110,000,000 | 2010 est. |
| 31 | Brazil | 25,200,000,000 | 2010 est. |
| 32 | Trinidad and Tobago | 23,320,000,000 | 2010 est. |
| 33 | Turkmenistan | 23,300,000,000 | 2012 est. |
| 34 | Belarus | 21,820,000,000 | 2010 est. |
| 35 | Bangladesh | 19,910,000,000 | 2010 est. |
| 36 | Qatar | 19,530,000,000 | 2012 est. |
| 37 | Oman | 17,530,000,000 | 2011 est. |
| 38 | Taiwan | 16,370,000,000 | 2011 est. |
| 39 | Poland | 14,380,000,000 | 2011 est. |
| 40 | Kuwait | 14,220,000,000 | 2011 est. |
| 41 | Romania | 13,480,000,000 | 2012 est. |
| 42 | Belgium | 13,460,000,000 | 2011 est. |
| 43 | Bahrain | 12,770,000,000 | 2010 est. |
| 44 | Hungary | 11,900,000,000 | 2012 est. |
| 45 | Kazakhstan | 10,200,000,000 | 2011 est. |
| 46 | Vietnam | 10,200,000,000 | 2012 est. |
| 47 | Azerbaijan | 9,921,000,000 | 2010 est. |
| 48 | Syria | 9,630,000,000 | 2010 est. |
| 49 | Bolivia | 9,432,000,000 | 2013 est. |
| 50 | Colombia | 9,080,000,000 | 2010 est. |
| 51 | Austria | 9,000,000,000 | 2012 est. |
| 52 | Singapore | 8,778,000,000 | 2012 est. |
| 53 | Czech Republic | 8,158,000,000 | 2012 est. |
| 54 | Israel | 6,860,000,000 | 2013 est. |
| 55 | Libya | 6,844,000,000 | 2010 est. |
| 56 | Slovakia | 6,468,000,000 | 2011 est. |
| 57 | Ireland | 5,506,000,000 | 2010 est. |
| 58 | Norway | 5,506,000,000 | 2010 est. |
| 59 | Peru | 5,490,000,000 | 2010 est. |
| 60 | Chile | 5,296,000,000 | 2010 est. |
| 61 | Portugal | 5,143,000,000 | 2010 est. |
| 62 | Nigeria | 5,030,000,000 | 2010 est. |
| 63 | Denmark | 4,994,000,000 | 2010 est. |
| 64 | Finland | 4,700,000,000 | 2010 est. |
| 65 | New Zealand | 4,537,000,000 | 2010 est. |
