CIA - The World Factbook --  Natural gas - consumption   

This entry is the total natural gas consumed in cubic meters (cu m). The discrepancy between the amount of natural gas produced and/or imported and the amount consumed and/or exported is due to the omission of stock changes and other complicating factors.

| Rank | country | (cu m) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 657,200,000,000 | 2008 est. |
| 2 | European Union | 516,900,000,000 | 2007 est. |
| 3 | Russia | 475,700,000,000 | 2008 est. |
| 4 | Iran | 119,000,000,000 | 2008 est. |
| 5 | Japan | 101,100,000,000 | 2008 est. |
| 6 | United Kingdom | 95,940,000,000 | 2008 est. |
| 7 | Germany | 95,790,000,000 | 2008 est. |
| 8 | Italy | 84,880,000,000 | 2008 est. |
| 9 | Ukraine | 84,000,000,000 | 2008 est. |
| 10 | Canada | 82,930,000,000 | 2008 est. |
| 11 | Saudi Arabia | 80,440,000,000 | 2008 est. |
| 12 | China | 77,180,000,000 | 2008 est. |
| 13 | Mexico | 66,880,000,000 | 2008 est. |
| 14 | United Arab Emirates | 59,420,000,000 | 2008 est. |
| 15 | Uzbekistan | 52,600,000,000 | 2008 est. |
| 16 | France | 49,270,000,000 | 2008 est. |
| 17 | Netherlands | 48,340,000,000 | 2008 est. |
| 18 | Argentina | 44,470,000,000 | 2008 est. |
| 19 | India | 42,990,000,000 | 2008 est. |
| 20 | Spain | 38,180,000,000 | 2008 est. |
| 21 | Pakistan | 37,500,000,000 | 2008 est. |
| 22 | Thailand | 37,310,000,000 | 2008 est. |
| 23 | Turkey | 37,180,000,000 | 2008 est. |
| 24 | Indonesia | 36,500,000,000 | 2008 est. |
| 25 | Korea, South | 34,760,000,000 | 2008 est. |
| 26 | Australia | 34,200,000,000 | 2008 est. |
| 27 | Kazakhstan | 33,680,000,000 | 2008 est. |
| 28 | Egypt | 31,380,000,000 | 2008 est. |
| 29 | Algeria | 26,830,000,000 | 2008 est. |
| 30 | Malaysia | 26,270,000,000 | 2008 est. |
| 31 | Venezuela | 25,510,000,000 | 2008 est. |
| 32 | Brazil | 23,650,000,000 | 2008 est. |
| 33 | Trinidad and Tobago | 21,940,000,000 | 2008 est. |
| 34 | Belarus | 21,750,000,000 | 2008 est. |
| 35 | Turkmenistan | 21,000,000,000 | 2008 est. |
| 36 | Qatar | 20,200,000,000 | 2008 est. |
| 37 | Bangladesh | 17,900,000,000 | 2008 est. |
| 38 | Belgium | 17,330,000,000 | 2008 est. |
| 39 | Romania | 16,920,000,000 | 2008 est. |
| 40 | Poland | 16,550,000,000 | 2008 est. |
| 41 | Oman | 13,460,000,000 | 2008 est. |
| 42 | Hungary | 13,170,000,000 | 2008 est. |
| 43 | Kuwait | 12,700,000,000 | 2008 est. |
| 44 | Bahrain | 12,640,000,000 | 2008 est. |
| 45 | Taiwan | 12,440,000,000 | 2008 est. |
| 46 | Nigeria | 12,280,000,000 | 2008 est. |
| 47 | Azerbaijan | 10,640,000,000 | 2008 est. |
| 48 | Iraq | 9,454,000,000 | 2008 est. |
| 49 | Czech Republic | 8,719,000,000 | 2008 est. |
| 50 | Austria | 8,650,000,000 | 2008 est. |
| 51 | Singapore | 8,270,000,000 | 2008 est. |
| 52 | Colombia | 8,100,000,000 | 2008 est. |
| 53 | Vietnam | 6,600,000,000 | 2008 est. |
| 54 | South Africa | 6,450,000,000 | 2008 est. |
| 55 | Slovakia | 6,308,000,000 | 2008 est. |
| 56 | Syria | 6,180,000,000 | 2008 est. |
| 57 | Libya | 5,500,000,000 | 2008 est. |
| 58 | Ireland | 5,217,000,000 | 2008 est. |
| 59 | Portugal | 4,754,000,000 | 2008 est. |
| 60 | Finland | 4,735,000,000 | 2008 est. |
| 61 | Denmark | 4,590,000,000 | 2008 est. |
| 62 | New Zealand | 4,276,000,000 | 2008 est. |
| 63 | Tunisia | 4,220,000,000 | 2008 est. |
| 64 | Greece | 4,206,000,000 | 2008 est. |
| 65 | Brunei | 4,200,000,000 | 2008 est. |
| 66 | Norway | 3,970,000,000 | 2008 est. |
| 67 | Burma | 3,850,000,000 | 2008 est. |
| 68 | Lithuania | 3,530,000,000 | 2008 est. |
| 69 | Switzerland | 3,429,000,000 | 2008 est. |
| 70 | Bulgaria | 3,400,000,000 | 2008 est. |
| 71 | Peru | 3,390,000,000 | 2008 est. |
| 72 | Hong Kong | 3,360,000,000 | 2008 est. |
| 73 | Jordan | 2,970,000,000 | 2008 est. |
| 74 | Philippines | 2,940,000,000 | 2008 est. |
| 75 | Croatia | 2,840,000,000 | 2008 est. |
| 76 | Serbia | 2,550,000,000 | 2005 est. |
| 77 | Moldova | 2,520,000,000 | 2008 est. |
| 78 | Bolivia | 2,410,000,000 | 2008 est. |
| 79 | Chile | 2,340,000,000 | 2008 est. |
| 80 | Latvia | 2,050,000,000 | 2008 est. |
