CIA - The World Factbook --  Major urban areas - population   

This entry provides the population of the capital and up to four major cities defined as urban agglomerations with populations of at least 750,000 people. An urban agglomeration is defined as comprising the city or town proper and also the suburban fringe or thickly settled territory lying outside of, but adjacent to, the boundaries of the city. For smaller countries, lacking urban centers of 750,000 or more, only the population of the capital is presented.

| Rank | country | Major urban areas - population | Date of Information |
| --- | --- | --- | --- |
| 1 | Japan | 36,507,000.00 | 2009 |
| 2 | India | 21,720,000.00 | 2009 |
| 3 | Brazil | 19,960,000.00 | 2011 |
| 4 | India | 19,695,000.00 | 2009 |
| 5 | Mexico | 19,319,000.00 | 2009 |
| 6 | United States | 19,300,000.00 | 2009 |
| 7 | China | 16,575,000.00 | 2011 |
| 8 | China | 15,594,000.00 | 2011 |
| 9 | Bangladesh | 15,391,000.00 | 2011 |
| 10 | India | 15,294,000.00 | 2009 |
| 11 | Argentina | 13,528,000.00 | 2011 |
| 12 | Pakistan | 13,125,000.00 | 2009 |
| 13 | United States | 12,675,000.00 | 2009 |
| 14 | Brazil | 11,836,000.00 | 2011 |
| 15 | Philippines | 11,449,000.00 | 2009 |
| 16 | Japan | 11,325,000.00 | 2009 |
| 17 | Egypt | 11,169,000.00 | 2011 |
| 18 | Russia | 10,523,000.00 | 2009 |
| 19 | France | 10,410,000.00 | 2009 |
| 20 | Turkey | 10,378,000.00 | 2009 |
| 21 | Nigeria | 10,203,000.00 | 2009 |
| 22 | Korea, South | 9,778,000.00 | 2009 |
| 23 | China | 9,401,000.00 | 2011 |
| 24 | United States | 9,134,000.00 | 2009 |
| 25 | Indonesia | 9,121,000.00 | 2009 |
| 26 | China | 9,005,000.00 | 2011 |
| 27 | China | 8,884,000.00 | 2011 |
| 28 | Congo, Democratic Republic of the | 8,798,000.00 | 2011 |
| 29 | Peru | 8,769,000.00 | 2009 |
| 30 | Colombia | 8,744,000.00 | 2011 |
| 31 | United Kingdom | 8,615,000.00 | 2009 |
| 32 | India | 7,416,000.00 | 2009 |
| 33 | Iran | 7,190,000.00 | 2009 |
| 34 | Pakistan | 7,132,000.00 | 2009 |
| 35 | India | 7,079,000.00 | 2009 |
| 36 | Thailand | 6,902,000.00 | 2009 |
| 37 | Chile | 6,034,000.00 | 2011 |
| 38 | Vietnam | 5,976,000.00 | 2009 |
| 39 | Spain | 5,762,000.00 | 2009 |
| 40 | Iraq | 5,751,000.00 | 2009 |
| 41 | Brazil | 5,736,000.00 | 2011 |
| 42 | United States | 5,699,000.00 | 2009 |
| 43 | Canada | 5,377,000.00 | 2011 |
| 44 | Angola | 5,068,000.00 | 2011 |
| 45 | Spain | 5,029,000.00 | 2009 |
| 46 | Sudan | 5,021,000.00 | 2009 |
| 47 | Bangladesh | 4,816,000.00 | 2011 |
| 48 | Saudi Arabia | 4,725,000.00 | 2009 |
| 49 | Russia | 4,575,000.00 | 2009 |
| 50 | Australia | 4,429,000.00 | 2011 |
| 51 | United States | 4,421,000.00 | 2009 |
| 52 | Egypt | 4,387,000.00 | 2011 |
| 53 | Mexico | 4,338,000.00 | 2009 |
| 54 | Cote d'Ivoire | 4,288,000.00 | 2011 |
| 55 | Burma | 4,259,000.00 | 2009 |
| 56 | Brazil | 4,034,000.00 | 2011 |
| 57 | Australia | 3,853,000.00 | 2011 |
| 58 | Turkey | 3,846,000.00 | 2009 |
| 59 | Mexico | 3,838,000.00 | 2009 |
| 60 | Brazil | 3,813,000.00 | 2011 |
| 61 | Canada | 3,750,000.00 | 2011 |
| 62 | South Africa | 3,607,000.00 | 2009 |
| 63 | Colombia | 3,497,000.00 | 2011 |
| 64 | Korea, South | 3,439,000.00 | 2009 |
| 65 | Germany | 3,438,000.00 | 2009 |
| 66 | Kenya | 3,375,000.00 | 2009 |
| 67 | Italy | 3,357,000.00 | 2009 |
| 68 | South Africa | 3,353,000.00 | 2009 |
| 69 | Nigeria | 3,304,000.00 | 2009 |
| 70 | Japan | 3,257,000.00 | 2009 |
| 71 | Greece | 3,252,000.00 | 2009 |
| 72 | Morocco | 3,245,000.00 | 2009 |
| 73 | Saudi Arabia | 3,234,000.00 | 2009 |
| 74 | Israel | 3,219,000.00 | 2009 |
| 75 | Tanzania | 3,207,000.00 | 2009 |
| 76 | South Africa | 3,144,000.00 | 2009 |
| 77 | Afghanistan | 3,097,000.00 | 2011 |
| 78 | Venezuela | 3,051,000.00 | 2009 |
| 79 | Syria | 2,985,000.00 | 2009 |
| 80 | Italy | 2,962,000.00 | 2009 |
| 81 | Algeria | 2,916,000.00 | 2011 |
| 82 | Ethiopia | 2,863,000.00 | 2009 |
