CIA - The World Factbook 2000 -- Political pressure groups and leaders

| Country | Political pressure groups and leaders |
| --- | --- |
| **Afghanistan** | Afghan refugees in Pakistan, Australia, US, and elsewhere have organized politically; Mellat (Social Democratic Party) [leader NA]; Peshawar, Pakistan-based groups such as the Coordination Council for National Unity and Understanding in Afghanistan or CUNUA [Ishaq GAILANI]; tribal elders represent traditional Pashtun leadership; Writers Union of Free Afghanistan or WUFA [A. Rasul AMIN] |
| **Angola** | Front for the Liberation of the Enclave of Cabinda or FLEC [N'zita Henriques TIAGO; Antonio Bento BEMBE] |
| | *note:* FLEC is waging a small-scale, highly factionalized, armed struggle for the independence of Cabinda Province |
| **Antigua and Barbuda** | Antigua Trades and Labor Union or ATLU [William ROBINSON]; People's Democratic Movement or PDM [Hugh MARSHALL] |
| **Argentina** | Argentine Association of Pharmaceutical Labs (CILFA); Argentine Industrial Union (manufacturers' association); Argentine Rural Society (large landowners' association); Armed Forces; business organizations; General Confederation of Labor or CGT (Peronist-leaning umbrella labor organization); Peronist-dominated labor movement; Roman Catholic Church; students |
| **Australia** | Australian Democratic Labor Party (anti-Communist Labor Party splinter group); Peace and Nuclear Disarmament Action (Nuclear Disarmament Party splinter group) |
| **Austria** | Austrian Trade Union Federation (primarily Socialist) or OeGB; Federal Economic Chamber; OeVP-oriented League of Austrian Industrialists or VOeI; Roman Catholic Church, including its chief lay organization, Catholic Action; three composite leagues of the Austrian People's Party or OeVP representing business, labor, and farmers |
| **Azerbaijan** | Sadval, Lezgin movement; self-proclaimed Armenian Nagorno-Karabakh Republic; Talysh independence movement |
| **Bahrain** | Shi'a activists have fomented unrest sporadically since late 1994, demanding the return of an elected National Assembly and an end to unemployment; several small, clandestine leftist and Islamic fundamentalist groups are active |
| **Barbados** | Barbados Workers Union [Leroy TROTMAN]; Clement Payne Labor Union [David COMMISSIONG]; People's Progressive Movement [Eric SEALY]; Worker's Party of Barbados [Dr. George BELLE] |
