CIA - The World Factbook -- Field Listing - Political pressure groups and leaders

| Country | Political pressure groups and leaders |
| --- | --- |
| **Albania** | Citizens Advocacy Office [Kreshnik SPAHIU]; Confederation of Trade Unions of Albania or KSSH [Kastriot MUCO]; Front for Albanian National Unification or FBKSH [Gafur ADILI]; Mjaft Movement [Erion VELIAJ]; Omonia [Jani JANI]; Union of Independent Trade Unions of Albania or BSPSH [Gezim KALAJA] |
| **Algeria** | The Algerian Human Rights League or LADDH [Hocine ZEHOUANE]; SOS Disparus [Nacera DUTOUR]; Somoud [Ali MERABET] |
| **American Samoa** | NA |
| **Andorra** | NA |
| **Angola** | Front for the Liberation of the Enclave of Cabinda or FLEC [N'zita Henriques TIAGO, Antonio Bento BEMBE] |
| | *note:* FLEC's small-scale, highly factionalized armed struggle for the independence of Cabinda Province ended after BEMBE's faction signed a peace accord in August 2006; other factions have since demobilized under provisions of the accord, although the two main faction leaders have not acceded to the accord |
| **Anguilla** | NA |
| **Antigua and Barbuda** | Antigua Trades and Labor Union or ATLU [William ROBINSON]; People's Democratic Movement or PDM [Hugh MARSHALL] |
| **Argentina** | Argentine Association of Pharmaceutical Labs (CILFA); Argentine Industrial Union (manufacturers' association); Argentine Rural Confederation or CRA (small to medium landowners' association); Argentine Rural Society (large landowners' association); business organizations; Central of Argentine Workers or CTA (a radical union for employed and unemployed workers); General Confederation of Labor or CGT (Peronist-leaning umbrella labor organization); Peronist-dominated labor movement; Piquetero groups (popular protest organizations that can be either pro or anti-government); Roman Catholic Church; students |
| **Armenia** | Yerkrapah Union [Manvel GRIGORIAN] |
| **Aruba** | NA |
| **Austria** | Austrian Trade Union Federation (nominally independent but primarily Social Democratic) or OeGB; Federal Economic Chamber; OeVP-oriented Association of Austrian Industrialists or IV; Roman Catholic Church, including its chief lay organization, Catholic Action; three composite leagues of the Austrian People's Party or OeVP representing business, labor, and farmers and other non-government organizations in the areas of environment and human rights |
| **Azerbaijan** | Sadval, Lezgin movement; self-proclaimed Armenian Nagorno-Karabakh Republic; Talysh independence movement; Union of Pro-Azerbaijani Forces (UPAF); Karabakh Liberation Organization |
| **Bahamas, The** | NA |
| **Bahrain** | Shi'a activists fomented unrest sporadically in 1994-97 and have recently engaged in protests with occasional low-level violence; protests related to a host of issues, including the 2002 constitution, elections, unemployment, and release of detainees; Sunni Islamist legislators support a greater role for Shari'a in daily life; several small leftist and other groups are active |
| **Bangladesh** | NA |
| **Barbados** | Barbados Secondary Teachers' Union or BSTU [Patrick FROST]; Barbados Union of Teachers or BUT [Herbert GITTENS]; Congress of Trade Unions and Staff Associations of Barbados or CTUSAB, which includes the BWU, NUPW, BUT, and BSTU [Leroy TROTMAN]; Barbados Workers Union or BWU [Leroy TROTMAN]; Clement Payne Labor Union [David COMISSIONG]; National Union of Public Workers [Joseph GODDARD] |
| **Belarus** | Assembly of Pro-Democratic NGOs [Sergey MATSKEVICH]; Belarusian Congress of Democratic Trade Unions [Alyaksandr YAROSHUK]; Belarusian Helsinki Committee [Tatiana PROTKO]; Belarusian Organization of Working Women [Irina ZHIKHAR]; Charter 97 [Andrey SANNIKOV]; Lenin Communist Union of Youth (youth wing of the Belarusian Party of Communists or PKB); National Strike Committee of Entrepreneurs [Aleksandr VASILYEV, Valery LEVONEVSKY]; Partnership NGO [Nikolay ASTREYKA]; Perspektiva kiosk watchdog NGO [Anatol SHUMCHENKO]; Vyasna [Ales BYALATSKY]; Women's Independent Democratic Movement [Ludmila PETINA]; Youth Front (Malady Front) [Dzmitryy DASHKEVICH, Syarhey BAKHUN]; Zubr youth group [Vladimir KOBETS] |
| **Belgium** | Christian, Socialist, and Liberal Trade Unions; Federation of Belgian Industries; numerous other associations representing bankers, manufacturers, middle-class artisans, and the legal and medical professions; various organizations represent the cultural interests of Flanders and Wallonia; various peace groups such as Pax Christi and groups representing immigrants |
| **Belize** | Society for the Promotion of Education and Research or SPEAR [Gustavo PERERA]; Association of Concerned Belizeans or ACB [David VASQUEZ]; National Trade Union Congress of Belize or NTUC/B [Rene GOMEZ] |
| **Benin** | NA |
