CIA - The World Factbook --  Radio broadcast stations   

This entry includes the total number of AM, FM, and shortwave broadcast stations.

| Rank | country | Radio broadcast stations | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | 13,655.00 | NA |
| 2 | United States | 8,961.00 | 2006 |
| 3 | United States | 4,789.00 | 2006 |
| 4 | Italy | 4,600.00 | 1998 |
| 5 | France | 3,500.00 | 1998 |
| 6 | Russia | 1,500.00 | 2004 |
| 7 | Brazil | 1,365.00 | 1999 |
| 8 | European Union | 930.00 | NA |
| 9 | Mexico | 850.00 | 2003 |
| 10 | Germany | 787.00 | 1998 |
| 11 | Romania | 698.00 | 2006 |
| 12 | United Kingdom | 696.00 | 2008 |
| 13 | Indonesia | 678.00 | 1998 |
| 14 | Philippines | 628.00 | 2007 |
| 15 | Canada | 582.00 | 2004 |
| 16 | Netherlands | 567.00 | 2008 |
| 17 | Mexico | 545.00 | 2003 |
| 18 | Ukraine | 524.00 | 2006 |
| 19 | Guatemala | 487.00 | 2000 |
| 20 | Peru | 472.00 | 1999 |
| 21 | Colombia | 454.00 | 1999 |
| 22 | Ecuador | 392.00 | 2001 |
| 23 | Malaysia | 391.00 | 2001 |
| 24 | Philippines | 381.00 | 2007 |
| 25 | China | 369.00 | 1998 |
| 26 | Denmark | 355.00 | 1998 |
| 27 | Thailand | 351.00 | 2007 |
| 28 | South Africa | 347.00 | 1998 |
| 29 | Australia | 345.00 | 1998 |
| 30 | Russia | 323.00 | 2004 |
| 31 | Korea, South | 322.00 | 2008 |
| 32 | Czech Republic | 304.00 | 2000 |
| 33 | Brazil | 296.00 | 1999 |
| 34 | New Zealand | 290.00 | 1998 |
| 35 | Australia | 262.00 | 1998 |
| 36 | Argentina | 260.00 | 1998 |
| 37 | China | 259.00 | 1998 |
| 38 | Spain | 250.00 | 2008 |
| 39 | Canada | 245.00 | 2004 |
| 40 | Honduras | 241.00 | 1998 |
| 41 | Thailand | 238.00 | 2007 |
| 42 | Mali | 230.00 | 2001 |
| 43 | Slovenia | 230.00 | 2006 |
| 44 | Japan | 215.00 | 2001 |
| 45 | United Kingdom | 206.00 | 2008 |
| 46 | Venezuela | 201.00 | 1998 |
| 47 | Peru | 198.00 | 1999 |
| 48 | Uruguay | 191.00 | 2005 |
| 49 | Peru | 189.00 | 1999 |
| 50 | Chile | 180.00 | 1998 |
| 51 | Bolivia | 171.00 | 1999 |
| 52 | Cuba | 169.00 | 1998 |
| 53 | Brazil | 161.00 | 1999 |
| 54 | Norway | 160.00 | 2008 |
| 55 | India | 153.00 | 1998 |
| 56 | Serbia | 153.00 | 2001 |
| 57 | El Salvador | 144.00 | 2005 |
| 58 | Taiwan | 143.00 | 2008 |
| 59 | Lithuania | 142.00 | 2001 |
| 60 | Panama | 134.00 | 1998 |
| 61 | Guatemala | 130.00 | 2000 |
| 62 | New Zealand | 124.00 | 1998 |
| 63 | Sweden | 124.00 | 2008 |
| 64 | Paraguay | 121.00 | 2006 |
| 65 | Dominican Republic | 120.00 | 1998 |
| 66 | Mongolia | 115.00 | 2006 |
| 67 | Turkey | 107.00 | 2001 |
| 68 | Ireland | 106.00 | 1998 |
| 69 | Switzerland | 106.00 | 2008 |
| 70 | Panama | 101.00 | 1998 |
| 71 | Italy | 100.00 | 1998 |
| 72 | Croatia | 98.00 | 1999 |
| 73 | Korea, South | 96.00 | 2008 |
| 74 | Uruguay | 93.00 | 2005 |
| 75 | India | 91.00 | 1998 |
| 76 | Hungary | 90.00 | 2008 |
| 77 | Japan | 89.00 | 2001 |
| 78 | Greece | 88.00 | 1998 |
| 79 | Ghana | 86.00 | 2007 |
| 80 | Nigeria | 83.00 | 2001 |
| 81 | Indonesia | 82.00 | 1998 |
| 82 | Kenya | 82.00 | 2008 |
| 83 | Nepal | 80.00 | 2008 |
| 84 | Belgium | 79.00 | 1998 |
| 85 | Bolivia | 77.00 | 1999 |
| 86 | Cyprus | 76.00 | 2004 |
| 87 | Puerto Rico | 74.00 | 2008 |
| 88 | Bolivia | 73.00 | 1999 |
| 89 | Iran | 72.00 | 1998 |
| 90 | European Union | 71.00 | NA |
| 91 | Iceland | 70.00 | 2008 |
| 92 | India | 68.00 | 1998 |
| 93 | Pakistan | 68.00 | 2006 |
| 94 | Austria | 65.00 | 2001 |
| 95 | Vietnam | 65.00 | 1999 |
| 96 | Costa Rica | 65.00 | 2002 |
| 97 | Chile | 64.00 | 1998 |
| 98 | Bulgaria | 63.00 | 2001 |
| 99 | Poland | 63.00 | 2008 |
| 100 | Portugal | 63.00 | 2008 |
| 101 | Nicaragua | 63.00 | 1998 |
| 102 | Latvia | 62.00 | 2008 |
| 103 | Russia | 62.00 | 2004 |
| 104 | Kazakhstan | 60.00 | 2008 |
| 105 | Finland | 59.00 | 2008 |
| 106 | Dominican Republic | 56.00 | 1998 |
| 107 | Cuba | 55.00 | 1998 |
| 108 | Honduras | 53.00 | 1998 |
| 109 | Puerto Rico | 53.00 | 2008 |
| 110 | Sri Lanka | 52.00 | 2007 |
| 111 | El Salvador | 52.00 | 2005 |
| 112 | Iraq | 52.00 | 2008 |
| 113 | Costa Rica | 51.00 | 2002 |
| 114 | Germany | 51.00 | 1998 |
| 115 | Cambodia | 50.00 | 2008 |
| 116 | Albania | 46.00 | 2005 |
| 117 | China | 45.00 | 1998 |
| 118 | Indonesia | 43.00 | 1998 |
| 119 | Saudi Arabia | 43.00 | 1998 |
| 120 | Egypt | 42.00 | 1999 |
| 121 | France | 41.00 | 1998 |
| 122 | Haiti | 41.00 | 1999 |
| 123 | Paraguay | 41.00 | 2006 |
| 124 | Fiji | 40.00 | 1998 |
| 125 | Namibia | 39.00 | 2001 |
| 126 | Tunisia | 38.00 | 2007 |
| 127 | Belarus | 37.00 | 1998 |
| 128 | Nigeria | 36.00 | 2001 |
| 129 | Ecuador | 35.00 | 2001 |
| 130 | Malaysia | 35.00 | 2001 |
| 131 | Benin | 34.00 | 2007 |
| 132 | Colombia | 34.00 | 1999 |
| 133 | Uganda | 33.00 | 2001 |
| 134 | Estonia | 32.00 | 2007 |
| 135 | Lebanon | 32.00 | 2007 |
| 136 | Nicaragua | 32.00 | 1998 |
| 137 | Macedonia | 32.00 | 2008 |
| 138 | Bulgaria | 31.00 | 2001 |
| 139 | Saudi Arabia | 31.00 | 1998 |
| 140 | Pakistan | 31.00 | 2006 |
| 141 | Montenegro | 31.00 | 2004 |
| 142 | Czech Republic | 31.00 | 2000 |
| 143 | Jordan | 31.00 | 2007 |
| 144 | Ecuador | 29.00 | 2001 |
| 145 | Macedonia | 29.00 | 2008 |
| 146 | Lithuania | 29.00 | 2001 |
| 147 | Vietnam | 29.00 | 1999 |
| 148 | Moldova | 29.00 | 2006 |
| 149 | Belarus | 28.00 | 1998 |
| 150 | Papua New Guinea | 28.00 | 1998 |
| 151 | Colombia | 27.00 | 1999 |
| 152 | Morocco | 27.00 | 1998 |
| 153 | Greece | 26.00 | 1998 |
| 154 | Haiti | 26.00 | 1999 |
| 155 | Burkina Faso | 26.00 | 2007 |
| 156 | Algeria | 25.00 | 1999 |
| 157 | West Bank | 25.00 | 2008 |
| 158 | Morocco | 25.00 | 1998 |
| 159 | Kenya | 24.00 | 2008 |
| 160 | Israel | 23.00 | 1998 |
| 161 | Kyrgyzstan | 23.00 | 2007 |
| 162 | Cape Verde | 22.00 | 2001 |
| 163 | Slovakia | 22.00 | 2008 |
| 164 | Afghanistan | 21.00 | 2006 |
| 165 | Angola | 21.00 | 2001 |
| 166 | Taiwan | 21.00 | 2008 |
| 167 | Japan | 21.00 | 2001 |
| 168 | Lebanon | 20.00 | 2007 |
| 169 | Senegal | 20.00 | 2001 |
| 170 | Zimbabwe | 20.00 | 1998 |
| 171 | Costa Rica | 19.00 | 2002 |
| 172 | Netherlands Antilles | 19.00 | 2003 |
| 173 | Singapore | 19.00 | 2008 |
| 174 | United States | 19.00 | 2006 |
| 175 | Zambia | 19.00 | 2001 |
| 176 | Papua New Guinea | 19.00 | 1998 |
| 177 | Kazakhstan | 18.00 | 2008 |
| 178 | Malta | 18.00 | 1999 |
| 179 | Spain | 18.00 | 2008 |
| 180 | Trinidad and Tobago | 18.00 | 2001 |
| 181 | Azerbaijan | 17.00 | 1998 |
| 182 | Czech Republic | 17.00 | 2000 |
