CIA - The World Factbook -- Field Listing - Refugees and internally displaced persons

| Country | Refugees and internally displaced persons |
| --- | --- |
| **Afghanistan** | *IDPs:* 136,565 (mostly Pashtuns and Kuchis displaced in south and west due to drought and instability) (2006) |
| **Algeria** | *refugees (country of origin):* 90,000 (Western Saharan Sahrawi, mostly living in Algerian-sponsored camps in the southwestern Algerian town of Tindouf) |
| | *IDPs:* 400,000-600,000 (conflict between government forces, Islamic insurgents) (2006) |
| **Angola** | *refugees (country of origin):* 13,464 (Democratic Republic of Congo) |
| | *IDPs:* 61,700 (27-year civil war ending in 2002; 4 million IDPs already have returned) (2006) |
| **Armenia** | *refugees (country of origin):* 219,324 (Azerbaijan) |
| | *IDPs:* 8,400 (conflict with Azerbaijan over Nagorno-Karabakh, majority have returned home since 1994 ceasefire) (2006) |
| **Azerbaijan** | *refugees (country of origin):* 2,800 (Russia) |
| | *IDPs:* 580,000-690,000 (conflict with Armenia over Nagorno-Karabakh) (2006) |
| **Bangladesh** | *refugees (country of origin):* 21,053 (Burma) |
| | *IDPs:* 65,000 (land conflicts, religious persecution) (2006) |
| **Benin** | *refugees (country of origin):* 26,632 (Togo) (2006) |
| **Bosnia and Herzegovina** | *refugees (country of origin):* 7,458 (Croatia) |
| | *IDPs:* 180,251 (Bosnian Croats, Serbs, and Muslims displaced in 1992-95 war) (2006) |
| **Burma** | *IDPs:* 540,000 (government offensives against ethnic insurgent groups near the eastern borders; most IDPs are ethnic Karen, Karenni, Shan, Tavoyan, and Mon) (2006) |
| **Burundi** | *refugees (country of origin):* 20,359 (Democratic Republic of the Congo) |
| | *IDPs:* 100,000 (armed conflict between government and rebels; most IDPs in northern and western Burundi) (2006) |
| **Cameroon** | *refugees (country of origin):* 39,303 (Chad), 9,711 (Nigeria), 13,000 (Central African Republic); note - there are an additional 10,000 Central African refugees unregistered with UNHCR as of December 2006 (2006) |
| **Central African Republic** | *refugees (country of origin):* 19,960 (Sudan), 3,325 (Democratic Republic of the Congo); note - UNHCR resumed repatriation of Southern Sudanese refugees in 2006 |
| | *IDPs:* 150,000 (ongoing unrest following coup in 2003) (2006) |
| **Chad** | *refugees (country of origin):* 234,000 (Sudan), 41,246 (Central African Republic) |
| | *IDPs:* 100,000 (2006) |
| **China** | *refugees (country of origin):* 300,897 (Vietnam), estimated 30,000-50,000 (North Korea) |
| | *IDPs:* 90,000 (2006) |
| **Colombia** | *IDPs:* 1.8-3.8 million (conflict between government and illegal armed groups and FARC factions; drug wars) (2006) |
| **Congo, Democratic Republic of the** | *refugees (country of origin):* 106,772 (Angola), 42,360 (Rwanda), 19,032 (Burundi), 18,954 (Uganda), 11,723 (Sudan), 5,243 (Republic of Congo) |
| | *IDPs:* 1.1 million (fighting between government forces and rebels since mid-1990s; most IDPs are in eastern provinces) (2006) |
| **Congo, Republic of the** | *refugees (country of origin):* 56,380 (Democratic Republic of Congo), 6,478 (Rwanda) |
| | *IDPs:* 48,000 (multiple civil wars since 1992; most IDPs are ethnic Lari) (2006) |
| **Costa Rica** | *refugees (country of origin):* 9,470 (Colombia) (2006) |
| **Cote d'Ivoire** | *refugees (country of origin):* 39,919 (Liberia) |
| | *IDPs:* 750,000 (2002 coup; most IDPs are in western regions) (2006) |
| **Croatia** | *IDPs:* 4,200-7,000 (Croats and Serbs displaced in 1992-95 war) (2006) |
| **Cyprus** | *IDPs:* 210,000 (both Turkish and Greek Cypriots; many displaced for over 30 years) (2006) |
| **Djibouti** | *refugees (country of origin):* 9,828 (Somalia) (2006) |
| **Ecuador** | *refugees (country of origin):* 9,851 (Colombia); note - UNHCR estimates as many as 250,000 Columbians are seeking asylum in Ecuador, many of whom do not register as refugees for fear of deportation (2006) |
| **Egypt** | *refugees (country of origin):* 60,000 - 80,000 (Iraq), 70,255 (Palestinian Territories), 13,446 (Sudan) (2006) |
| **Eritrea** | *IDPs:* 40,000-45,000 (border war with Ethiopia from 1998-2000; most IDPs are near the central border region) (2006) |
| **Ethiopia** | *refugees (country of origin):* 73,927 (Sudan), 15,901 (Somalia), 10,700 (Eritrea) |
| | *IDPs:* 100,000-280,000 (border war with Eritrea from 1998-2000 and ethnic clashes in Gambela; most IDPs are in Tigray and Gambela Provinces) (2006) |
| **Gabon** | *refugees (country of origin):* 7,298 (Republic of Congo) (2006) |
| **Gambia, The** | *refugees (country of origin):* 5,955 (Sierra Leone) (2006) |
| **Gaza Strip** | *refugees (country of origin):* 993,818 (Palestinian Refugees (UNRWA)) (2006) |
| **Georgia** | *IDPs:* 220,000-240,000 (displaced from Abkhazia and South Ossetia) (2006) |
| **Ghana** | *refugees (country of origin):* 38,684 (Liberia), 14,136 (Togo) (2006) |
| **Guatemala** | *IDPs:* undetermined (estimates vary from none to 1 million displaced from government's scorched-earth offensive in 1980s against indigenous people) (2006) |
| **Guinea** | *refugees (country of origin):* 54,810 (Liberia), 5,423 (Sierra Leone), 3,900 (Cote d'Ivoire) |
| | *IDPs:* 19,000 (cross-border incursions from Cote d'Ivoire, Liberia, Sierra Leone) (2006) |
| **Guinea-Bissau** | *refugees (country of origin):* 7,320 (Senegal) (2006) |
| **India** | *refugees (country of origin):* 77,200 (Tibet/China), 50,730 (Sri Lanka), 9,700 (Afghanistan) |
| | *IDPs:* at least 600,000 (about half are Kashmiri Pandits from Jammu and Kashmir) (2006) |
| **Indonesia** | *IDPs:* 200,000-350,000 (government offensives against rebels in Aceh; most IDPs in Aceh, Central Kalimantan, Central Sulawesi Provinces, and Maluku), 300,000 (December 2006 floods in Aceh regions) (2006) |
| **Iran** | *refugees (country of origin):* 662,355 (Afghanistan), 54,000 (Iraq) (2006) |
