Field Listing :: Refugees and internally displaced persons :: The World Factbook - Central Intelligence Agency

This entry includes those persons residing in a country as refugees, internally displaced persons (IDPs), or stateless persons. Each country's refugee entry includes only countries of origin that are the source of refugee populations of 5,000 or more. The definition of a refugee according to a UN Convention is "a person who is outside his/her country of nationality or habitual residence; has a well-founded fear of persecution because of his/her race, religion, nationality, membership in a particular social group or political opinion; and is unable or unwilling to avail himself/herself of the protection of that country, or to return there, for fear of persecution." The UN established the Office of the UN High Commissioner for Refugees (UNHCR) in 1950 to handle refugee matters worldwide. The UN Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) has a different operational definition for a Palestinian refugee: "a person whose normal place of residence was Palestine during the period 1 June 1946 to 15 May 1948 and who lost both home and means of livelihood as a result of the 1948 conflict." However, UNHCR also assists some 400,000 Palestinian refugees not covered under the UNRWA definition. The term "internally displaced person" is not specifically covered in the UN Convention; it is used to describe people who have fled their homes for reasons similar to refugees, but who remain within their own national territory and are subject to the laws of that state. A stateless person is defined as someone who is not considered a national by any state under the operation of its law, according to UN convention.

| Country | Refugees and internally displaced persons |
| --- | --- |
| **Afghanistan** | *refugees (country of origin):* 75,893 (Pakistan) (2017) |
| | *IDPs:* 1.286 million (mostly Pashtuns and Kuchis displaced in the south and west due to natural disasters and political instability) (2017) |
| **Albania** | *stateless persons:* 4,460 (2017) |
| **Algeria** | *refugees (country of origin):* more than 100,000 (Western Saharan Sahrawi, mostly living in Algerian-sponsored camps in the southwestern Algerian town of Tindouf) (2018) |
| **Angola** | *refugees (country of origin):* 36,500 (Democratic Republic of the Congo) (refugees and asylum seekers), 6,448 (Cote d'Ivoire), 5,709 (Mauritania) (2018) |
| **Argentina** | *refugees (country of origin):* 94,632 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay) (2018) |
| **Armenia** | *refugees (country of origin):* 14,680 (Syria - ethnic Armenians) (2017) |
| | *stateless persons:* 773 (2017) |
| **Australia** | *refugees (country of origin):* 10,922 (Afghanistan), 8,077 (Iran) (2017) |
| | *stateless persons:* 52 (2017) |
| **Austria** | *refugees (country of origin):* 43,888 (Syria), 26,939 (Afghanistan), 11,301 (Russia), 7,414 (Iraq) (2016) |
| | *stateless persons:* 1,003 (2017) |
| **Azerbaijan** | *IDPs:* 393,000 (conflict with Armenia over Nagorno-Karabakh; IDPs are mainly ethnic Azerbaijanis but also include ethnic Kurds, Russians, and Turks predominantly from occupied territories around Nagorno-Karabakh; includes IDPs' descendants, returned IDPs, and people living in insecure areas and excludes people displaced by natural disasters; around half the IDPs live in the capital Baku) (2017) |
| | *stateless persons:* 3,585 (2017) |
| **Bangladesh** | *refugees (country of origin):* 923,000 (Burma) (2018) (includes an estimated 710,000 Rohingya refugees who have fled conflict since 25 August 2017) |
| | *IDPs:* 432,000 (conflict, development, human rights violations, religious persecution, natural disasters) (2017) |
| **Belarus** | *refugees (country of origin):* 244,621 applicants for forms of legal stay other than asylum (Ukraine) (2017) |
| | *stateless persons:* 6,007 (2017) |
| **Belgium** | *refugees (country of origin):* 9,080 (Syria) (2017) |
| | *stateless persons:* 7,695 (2017) |
| **Bosnia and Herzegovina** | *refugees (country of origin):* 5,120 (Croatia) (2017) |
| | *IDPs:* 99,000 (Bosnian Croats, Serbs, and Bosniaks displaced by inter-ethnic violence, human rights violations, and armed conflict during the 1992-95 war) (2017) |
| | *stateless persons:* 65 (2017) |
| **Brazil** | *refugees (country of origin):* 84,746 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay) (2018) |
| | *stateless persons:* 294 (2017) |
| **Brunei** | *stateless persons:* 20,524 (2017); note - thousands of stateless persons, often ethnic Chinese, are permanent residents and their families have lived in Brunei for generations; obtaining citizenship is difficult and requires individuals to pass rigorous tests on Malay culture, customs, and language; stateless residents receive an International Certificate of Identity, which enables them to travel overseas; the government is considering changing the law prohibiting non-Bruneians, including stateless permanent residents, from owning land |
| **Bulgaria** | *refugees (country of origin):* 16,549 (Syria) (2017) |
| | *stateless persons:* 48 (2017) |
| | *note:* 53,426 estimated refugee and migrant arrivals (January 2015-December 2018); Bulgaria is predominantly a transit country and hosts approximately 992 migrants and asylum seekers as of the end of September 2018; 2,562 migrant arrivals in 2017 |
| **Burkina Faso** | *refugees (country of origin):* 24,586 (Mali) (2018) |
| | *IDPs:* 39,731 (2018) |
| **Burma** | *IDPs:* 635,000 (government offensives against armed ethnic minority groups near its borders with China and Thailand, natural disasters, forced land evictions) (2017) |
| | *stateless persons:* 495,939 (2017); note - Rohingya Muslims, living predominantly in Rakhine State, are Burma's main group of stateless people; the Burmese Government does not recognize the Rohingya as a "national race" and stripped them of their citizenship under the 1982 Citizenship Law, categorizing them as "non-nationals" or "foreign residents"; under the Rakhine State Action Plan drafted in October 2014, the Rohingya must demonstrate their family has lived in Burma for at least 60 years to qualify for a lesser naturalized citizenship and the classification of Bengali or be put in detention camps and face deportation; native-born but non-indigenous people, such as Indians, are also stateless; the Burmese Government does not grant citizenship to children born outside of the country to Burmese parents who left the country illegally or fled persecution, such as those born in Thailand; the number of stateless persons has decreased dramatically since late 2017 because hundreds of thousands of Rohingya have fled to Bangladesh since 25 August 2017 to escape violence |
| | *note:* estimate does not include stateless IDPs or stateless persons in IDP-like situations because they are included in estimates of IDPs (2017) |
| **Burundi** | *refugees (country of origin):* 75,297 (Democratic Republic of the Congo) (refugees and asylum seekers) (2018) |
| | *IDPs:* 147,086 (some ethnic Tutsis remain displaced from intercommunal violence that broke out after the 1,993 coup and fighting between government forces and rebel groups; violence since April 2015) (2018) |
| | *stateless persons:* 974 (2017) |
| **Cabo Verde** | *stateless persons:* 115 (2017) |
| **Cameroon** | *refugees (country of origin):* 267,813 (Central African Republic),Â 101,404 (Nigeria) (2018) |
| | *IDPs:* 238,099 (2018) |
| **Canada** | *refugees (country of origin):* 8,049 (Colombia), 7,180 (China), 6,874 (Haiti) (2017) |
| | *stateless persons:* 3,790 (2017) |
| **Central African Republic** | *IDPs:* 547,814 (clashes between army and rebel groups since 2005; tensions between ethnic groups) (2018) |
| **Chad** | *refugees (country of origin):* 336,295 (Sudan), 101,178 (Central African Republic), 11,319 (Nigeria) (2018) |
| | *IDPs:* 162,755 (majority are in the east) (2018) |
| **Chile** | *refugees (country of origin):* 133,321 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay) (2018) |
| **China** | *refugees (country of origin):* 321,502 (Vietnam), undetermined (North Korea) (2017) |
| | *IDPs:* undetermined (2014) |
| **Colombia** | *refugees (country of origin):* 417,355 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay) (2018) |
| | *IDPs:* 7,708,465 (conflict between government and illegal armed groups and drug traffickers since 1985; about 300,000 new IDPs each year since 2000) (2018) |
| | *stateless persons:* 11 (2016) |
| **Congo, Democratic Republic of the** | *refugees (country of origin):* 219,489 (Rwanda), 171,966 (Central African Republic), 95,438 (South Sudan) (refugees and asylum seekers), 42,309 (Burundi) (2018) |
| | *IDPs:* 4.5 million (fighting between government forces and rebels since mid-1990s; conflict in Kasai region since 2016) (2017) |
