Field Listing :: Refugees and internally displaced persons :: The World Factbook - Central Intelligence Agency

This entry includes those persons residing in a country as refugees, internally displaced persons (IDPs), or stateless persons. Each country's refugee entry includes only countries of origin that are the source of refugee populations of 5,000 or more. The definition of a refugee according to a UN Convention is "a person who is outside his/her country of nationality or habitual residence; has a well-founded fear of persecution because of his/her race, religion, nationality, membership in a particular social group or political opinion; and is unable or unwilling to avail himself/herself of the protection of that country, or to return there, for fear of persecution." The UN established the Office of the UN High Commissioner for Refugees (UNHCR) in 1950 to handle refugee matters worldwide. The UN Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) has a different operational definition for a Palestinian refugee: "a person whose normal place of residence was Palestine during the period 1 June 1946 to 15 May 1948 and who lost both home and means of livelihood as a result of the 1948 conflict." However, UNHCR also assists some 400,000 Palestinian refugees not covered under the UNRWA definition. The term "internally displaced person" is not specifically covered in the UN Convention; it is used to describe people who have fled their homes for reasons similar to refugees, but who remain within their own national territory and are subject to the laws of that state. A stateless person is defined as someone who is not considered a national by any state under the operation of its law, according to UN convention.

| Country | Refugees and internally displaced persons |
| --- | --- |
| **Afghanistan** | *refugees (country of origin):* 72,194 (Pakistan) (2018) |
| | *IDPs:* 2.598 million (mostly Pashtuns and Kuchis displaced in the south and west due to natural disasters and political instability) (2018) |
| **Albania** | *stateless persons:* 4,160 (2018) |
| | *note:* 7,908 estimated refugee and migrant arrivals (January 2015-December 2019) |
| **Algeria** | *refugees (country of origin):* more than 100,000 (Western Saharan Sahrawi, mostly living in Algerian-sponsored camps in the southwestern Algerian town of Tindouf) (2018) |
| **Angola** | *refugees (country of origin):* 6,448 (Cote d'Ivoire), 5,709 (Mauritania) (2017); 22,463 (Democratic Republic of the Congo) (refugees and asylum seekers) (2019) |
| **Argentina** | *refugees (country of origin):* 182,942 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay) (2019) |
| **Armenia** | *refugees (country of origin):* 14,701 (Syria - ethnic Armenians) (2018) |
| | *stateless persons:* 848 (2018) |
| **Australia** | *refugees (country of origin):* 11,932 (Afghanistan), 10,702 (Iran), 5,061 (Pakistan) (2018) |
| | *stateless persons:* 132 (2018) |
| **Austria** | *refugees (country of origin):* 49,179 (Syria), 33,103 (Afghanistan), 11,301 (Russia), 8,295 (Iraq), 5,772 (Iran) (2018) |
| | *stateless persons:* 1,062 (2018) |
| **Azerbaijan** | *IDPs:* 344,000 (conflict with Armenia over Nagorno-Karabakh; IDPs are mainly ethnic Azerbaijanis but also include ethnic Kurds, Russians, and Turks predominantly from occupied territories around Nagorno-Karabakh; includes IDPs' descendants, returned IDPs, and people living in insecure areas and excludes people displaced by natural disasters; around half the IDPs live in the capital Baku) (2018) |
| | *stateless persons:* 3,585 (2018) |
| **Bangladesh** | *refugees (country of origin):* 914,998 (Burma) (2019) (includes an estimated 744,400 Rohingya refugees who have fled conflict since 25 August 2017) |
| | *IDPs:* 426,000 (conflict, development, human rights violations, religious persecution, natural disasters) (2018) |
| **Belarus** | *stateless persons:* 6,025 (2018) |
| **Belgium** | *refugees (country of origin):* 9,080 (Syria) (2018) |
| | *stateless persons:* 7,695 (2018) |
| **Bosnia and Herzegovina** | *refugees (country of origin):* 5,120 (Croatia) (2018) |
| | *IDPs:* 99,000 (Bosnian Croats, Serbs, and Bosniaks displaced by inter-ethnic violence, human rights violations, and armed conflict during the 1992-95 war) (2018) |
| | *stateless persons:* 90 (2018) |
| | *note:* 54,501 estimated refugee and migrant arrivals (January 2015-December 2019) |
| **Brazil** | *refugees (country of origin):* 224,102 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay) (2019) |
| **Brunei** | *stateless persons:* 20,863 (2018); note - thousands of stateless persons, often ethnic Chinese, are permanent residents and their families have lived in Brunei for generations; obtaining citizenship is difficult and requires individuals to pass rigorous tests on Malay culture, customs, and language; stateless residents receive an International Certificate of Identity, which enables them to travel overseas; the government is considering changing the law prohibiting non-Bruneians, including stateless permanent residents, from owning land |
| **Bulgaria** | *refugees (country of origin):* 17,161 (Syria) (2018) |
| | *stateless persons:* 92 (2018) |
| | *note:* 55,398 estimated refugee and migrant arrivals (January 2015-December 2019); Bulgaria is predominantly a transit country and hosts approximately 992 migrants and asylum seekers as of the end of September 2018; 2,576 migrant arrivals in 2018 |
| **Burkina Faso** | *refugees (country of origin):* 25,492 (Mali) (2019) |
| | *IDPs:* 486,360 (2019) |
| **Burma** | *IDPs:* 401,000 (government offensives against armed ethnic minority groups near its borders with China and Thailand, natural disasters, forced land evictions) (2018) |
| | *stateless persons:* 495,939 (2018); note - Rohingya Muslims, living predominantly in Rakhine State, are Burma's main group of stateless people; the Burmese Government does not recognize the Rohingya as a "national race" and stripped them of their citizenship under the 1982 Citizenship Law, categorizing them as "non-nationals" or "foreign residents"; under the Rakhine State Action Plan drafted in October 2014, the Rohingya must demonstrate their family has lived in Burma for at least 60 years to qualify for a lesser naturalized citizenship and the classification of Bengali or be put in detention camps and face deportation; native-born but non-indigenous people, such as Indians, are also stateless; the Burmese Government does not grant citizenship to children born outside of the country to Burmese parents who left the country illegally or fled persecution, such as those born in Thailand; the number of stateless persons has decreased dramatically since late 2017 because hundreds of thousands of Rohingya have fled to Bangladesh since 25 August 2017 to escape violence |
| | *note:* estimate does not include stateless IDPs or stateless persons in IDP-like situations because they are included in estimates of IDPs (2017) |
| **Burundi** | *refugees (country of origin):* 84,469Â (Democratic Republic of the Congo) (refugees and asylum seekers) (2019) |
| | *IDPs:* 103,352 (some ethnic Tutsis remain displaced from intercommunal violence that broke out after the 1,993 coup and fighting between government forces and rebel groups; violence since April 2015) (2019) |
| | *stateless persons:* 974 (2018) |
| **Cabo Verde** | *stateless persons:* 115 (2018) |
| **Cameroon** | *refugees (country of origin):* 292,862 (Central African Republic),Â 109,340 (Nigeria) (2019) |
| | *IDPs:* 806,977 (2019) (includes far north, northwest, and southwest) |
| **Canada** | *refugees (country of origin):* 7,356Â (Colombia), 7,192 (China),Â 7,141 (Haiti), 5,483 (Nigeria), 5,607 (Pakistan) (2018); 9,978 (Venezuela) (2019) |
| | *stateless persons:* 3,790 (2018) |
| **Central African Republic** | *IDPs:* 600,136 (clashes between army and rebel groups since 2005; tensions between ethnic groups) (2019) |
| **Chad** | *refugees (country of origin):* 330,725 (Sudan),Â 94,101 (Central African Republic), 12,158 (Nigeria) (2019) |
| | *IDPs:* 170,278 (majority are in the east) (2019) |
| **Chile** | *refugees (country of origin):* 330,186Â (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay) (2019) |
| **China** | *refugees (country of origin):* 321,502 (Vietnam), undetermined (North Korea) (2018) |
| | *IDPs:* undetermined (2014) |
| **Colombia** | *refugees (country of origin):* 647,128 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay) (2019) |
| | *IDPs:* 7,816,472 (conflict between government and illegal armed groups and drug traffickers since 1985; about 300,000 new IDPs each year since 2000) (2019) |
| | *stateless persons:* 11 (2018) |
| **Congo, Democratic Republic of the** | *refugees (country of origin):* 216,018 (Rwanda), 173,185 (Central African Republic),Â 98,691 (South Sudan) (refugees and asylum seekers), 46,069 (Burundi) (2019) |
| | *IDPs:* 3.1 million (fighting between government forces and rebels since mid-1990s; conflict in Kasai region since 2016) (2018) |
| **Congo, Republic of the** | *refugees (country of origin):* 22,198 (Central African Republic), 20,289 (Democratic Republic of the Congo) (refugees and asylum seekers) (2019) |
| | *IDPs:* 107,000 (multiple civil wars since 1992) (2018) |
| **Costa Rica** | *refugees (country of origin):* 21,628Â (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay) (2019) |
| | *stateless persons:* 82 (2018) |
| **Cote d'Ivoire** | *IDPs:* 302,000 (post-election conflict in 2010-11, as well as civil war from 2002-04; land disputes; most pronounced in western and southwestern regions) (2018) |
| | *stateless persons:* 692,000 (2018); note - many Ivoirians lack documentation proving their nationality, which prevent them from accessing education and healthcare; birth on Ivorian soil does not automatically result in citizenship; disputes over citizenship and the associated rights of the large population descended from migrants from neighboring countries is an ongoing source of tension and contributed to the country's 2002 civil war; some observers believe the government's mass naturalizations of thousands of people over the last couple of years is intended to boost its electoral support base; the government in October 2013 acceded to international conventions on statelessness and in August 2013 reformed its nationality law, key steps to clarify the nationality of thousands of residents; since the adoption of the Abidjan Declaration to eradicate statelessness in West Africa in February 2015, 6,400 people have received nationality papers |
| **Croatia** | *stateless persons:* 2,886 (2018) |
| | *note:* 686,414 estimated refugee and migrant arrivals (January 2015-October 2019); flows slowed considerably in 2017; Croatia is predominantly a transit country and hosts about 340 asylum seekers as of the end of June 2018 |
| **Cyprus** | *refugees (country of origin):* 6,259 (Syria) (2018) |
| | *IDPs:* 228,000 (both Turkish and Greek Cypriots; many displaced since 1974) (2018) |
| | *note:*Â 10,690 estimated refugee and migrant arrivals (January 2015-November 2019) |
| **Czechia** | *stateless persons:* 1,502 (2018) |
| **Denmark** | *refugees (country of origin):* 19,698 (Syria) (2017) |
| | *stateless persons:* 8,236 (2018) |
| **Djibouti** | *refugees (country of origin):* 13,242 (Somalia) (2019) |
| **Dominican Republic** | *refugees (country of origin):* 8,119 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum or have received alternative legal stay) (2019) |
| | *stateless persons:* 133,770 (2016); note - a September 2013 Constitutional Court ruling revoked the citizenship of those born after 1929 to immigrants without proper documentation, even though the constitution at the time automatically granted citizenship to children born in the Dominican Republic and the 2010 constitution provides that constitutional provisions cannot be applied retroactively; the decision overwhelmingly affected people of Haitian descent whose relatives had come to the Dominican Republic since the 1890s as a cheap source of labor for sugar plantations; a May 2014 law passed by the Dominican Congress regularizes the status of those with birth certificates but will require those without them to prove they were born in the Dominican Republic and to apply for naturalization; the government has issued documents to thousands of individuals who may claim citizenship under this law, but no official estimate has been released |
