Field Listing :: Refugees and internally displaced persons :: The World Factbook

This entry includes those persons residing in a country as refugees, internally displaced persons (IDPs), or stateless persons. Each country's refugee entry includes only countries of origin that are the source of refugee populations of 5,000 or more. The definition of a refugee according to a UN Convention is "a person who is outside his/her country of nationality or habitual residence; has a well-founded fear of persecution because of his/her race, religion, nationality, membership in a particular social group or political opinion; and is unable or unwilling to avail himself/herself of the protection of that country, or to return there, for fear of persecution." The UN established the Office of the UN High Commissioner for Refugees (UNHCR) in 1950 to handle refugee matters worldwide. The UN Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) has a different operational definition for a Palestinian refugee: "a person whose normal place of residence was Palestine during the period 1 June 1946 to 15 May 1948 and who lost both home and means of livelihood as a result of the 1948 conflict." However, UNHCR also assists some 400,000 Palestinian refugees not covered under the UNRWA definition. The term "internally displaced person" is not specifically covered in the UN Convention; it is used to describe people who have fled their homes for reasons similar to refugees, but who remain within their own national territory and are subject to the laws of that state. A stateless person is defined as someone who is not considered a national by any state under the operation of its law, according to UN convention.

| Country | Refugees and internally displaced persons |
| --- | --- |
| **Afghanistan** | *refugees (country of origin):* 72,191 (Pakistan) (2019) |
| | *IDPs:* 2.993 million (mostly Pashtuns and Kuchis displaced in the south and west due to natural disasters and political instability) (2019) |
| **Albania** | *stateless persons:* 3,687 (2019) |
| | *note:* 11,365 estimated refugee and migrant arrivals (January 2015-November 2020) |
| **Algeria** | *refugees (country of origin):* more than 100,000 (Western Saharan Sahrawi, mostly living in Algerian-sponsored camps in the southwestern Algerian town of Tindouf) (2018); 7,757 (Syria) (2019) |
| **Angola** | *refugees (country of origin):* 23,395 (Democratic Republic of the Congo) (refugees and asylum seekers) (2020) |
| **Argentina** | *refugees (country of origin):* 213,769 (Venezuela) (economic and political crisis; includes Venezuelans who have claimed asylum, are recognized as refugees, or have received alternative legal stay) (2020) |
| **Armenia** | *refugees (country of origin):* 14,730 (Syria - ethnic Armenians) (2019) |
| | *stateless persons:* 961 (2019) |
| **Australia** | *refugees (country of origin):* 13,122 (Iraq), 12,714 (Afghanistan), 12,537 (Iran), 5,578 (Pakistan) (2019) |
| | *stateless persons:* 132 (2018) |
