CIA - The World Factbook -- Field Listing :: Drinking water source   

This entry provides information about access to improved or unimproved drinking water sources available to segments of the population of a country. improved drinking water - use of any of the following sources: piped water into dwelling, yard, or plot; public tap or standpipe; tubewell or borehole; protected dug well; protected spring; or rainwater collection. unimproved drinking water - use of any of the following sources: unprotected dug well; unprotected spring; cart with small tank or drum; tanker truck; surface water, which includes rivers, dams, lakes, ponds, streams, canals or irrigation channels; or bottled water.

| Country | Drinking water source(% of population) |
| --- | --- |
| **Afghanistan** | *improved:* |
| | *urban:* 78% of population |
| | *rural:* 42% of population |
| | *total:* 50% of population |
| | *unimproved:* |
| | *urban:* 22% of population |
| | *rural:* 58% of population |
| | *total:* 50% of population (2010) |
| **Albania** | *improved:* |
| | *urban:* 96% of population |
| | *rural:* 94% of population |
| | *total:* 95% of population |
| | *unimproved:* |
| | *urban:* 4% of population |
| | *rural:* 6% of population |
| | *total:* 5% of population (2010 est.) |
| **Algeria** | *improved:* |
| | *urban:* 85% of population |
| | *rural:* 79% of population |
| | *total:* 83% of population |
| | *unimproved:* |
| | *urban:* 15% of population |
| | *rural:* 21% of population |
| | *total:* 17% of population (2010 est.) |
| **Andorra** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population (2010 est.) |
| **Angola** | *improved:* |
| | *urban:* 60% of population |
| | *rural:* 38% of population |
| | *total:* 51% of population |
| | *unimproved:* |
| | *urban:* 40% of population |
| | *rural:* 62% of population |
| | *total:* 49% of population (2010 est.) |
| **Anguilla** | *improved:* |
| | *urban:* 60% of population |
| | *total:* 60% of population |
| | *unimproved:* |
| | *urban:* 40% of population |
| | *total:* 40% of population (2000 est.) |
| **Antigua and Barbuda** | *improved:* |
| | *urban:* 95% of population |
| | *rural:* 89% of population |
| | *total:* 91% of population |
| | *unimproved:* |
| | *urban:* 5% of population |
| | *rural:* 11% of population |
| | *total:* 9% of population (2000 est.) |
| **Argentina** | *improved:* |
| | *urban:* 98% of population |
| | *rural:* 80% of population |
| | *total:* 97% of population |
| | *unimproved:* |
| | *urban:* 2% of population |
| | *rural:* 20% of population |
| | *total:* 3% of population (2008 est.) |
| **Armenia** | *improved:* |
| | *urban:* 99% of population |
| | *rural:* 97% of population |
| | *total:* 98% of population |
| | *unimproved:* |
| | *urban:* 1% of population |
| | *rural:* 3% of population |
| | *total:* 2% of population (2010 est.) |
| **Aruba** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population (2010 est.) |
| **Australia** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population (2010 est.) |
| **Austria** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population (2010 est.) |
| **Azerbaijan** | *improved:* |
| | *urban:* 88% of population |
| | *rural:* 71% of population |
| | *total:* 80% of population |
| | *unimproved:* |
| | *urban:* 12% of population |
| | *rural:* 29% of population |
| | *total:* 20% of population (2010 est.) |
| **Bahamas, The** | *improved:* |
| | *urban:* 98% of population |
| | *rural:* 86% of population |
| | *total:* 96% of population |
| | *unimproved:* |
| | *urban:* 2% of population |
| | *rural:* 14% of population |
| | *total:* 4% of population (2000 est.) |
| **Bahrain** | *improved:* |
| | *urban:* 100% of population (2010 est.) |
| **Bangladesh** | *improved:* |
| | *urban:* 85% of population |
| | *rural:* 80% of population |
| | *total:* 81% of population |
| | *unimproved:* |
| | *urban:* 15% of population |
| | *rural:* 20% of population |
| | *total:* 19% of population (2010 est.) |
| **Barbados** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population (2010 est.) |
| **Belarus** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 99% of population |
| | *total:* 100% of population |
| | *unimproved:* |
| | *urban:* 0% of population |
| | *rural:* 1% of population |
| | *total:* 0% of population (2010 est.) |
| **Belgium** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population (2010 est.) |
| **Belize** | *improved:* |
| | *urban:* 98% of population |
| | *rural:* 99% of population |
| | *total:* 98% of population |
| | *unimproved:* |
| | *urban:* 2% of population |
| | *rural:* 1% of population |
| | *total:* 2% of population (2010 est.) |
| **Benin** | *improved:* |
| | *urban:* 84% of population |
| | *rural:* 68% of population |
| | *total:* 75% of population |
| | *unimproved:* |
| | *urban:* 16% of population |
| | *rural:* 32% of population |
| | *total:* 25% of population (2010 est.) |
| **Bhutan** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 94% of population |
| | *total:* 96% of population |
| | *unimproved:* |
| | *urban:* 0% of population |
| | *rural:* 6% of population |
| | *total:* 4% of population (2010 est.) |
| **Bolivia** | *improved:* |
| | *urban:* 96% of population |
| | *rural:* 71% of population |
| | *total:* 88% of population |
| | *unimproved:* |
| | *urban:* 4% of population |
| | *rural:* 29% of population |
| | *total:* 12% of population (2010 est.) |
| **Bosnia and Herzegovina** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 98% of population |
| | *total:* 99% of population |
| | *unimproved:* |
| | *urban:* 0% of population |
| | *rural:* 2% of population |
| | *total:* 1% of population (2010 est.) |
| **Botswana** | *improved:* |
| | *urban:* 99% of population |
| | *rural:* 92% of population |
| | *total:* 96% of population |
| | *unimproved:* |
| | *urban:* 1% of population |
| | *rural:* 8% of population |
| | *total:* 4% of population (2010 est.) |
| **Brazil** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 85% of population |
| | *total:* 98% of population |
| | *unimproved:* |
| | *urban:* 0% of population |
| | *rural:* 15% of population |
| | *total:* 2% of population (2010 est.) |
| **British Virgin Islands** | *improved:* |
| | *urban:* 98% of population |
| | *rural:* 98% of population |
| | *total:* 98% of population |
| | *unimproved:* |
| | *urban:* 2% of population |
| | *rural:* 2% of population |
| | *total:* 2% of population (2010 est.) |
| **Bulgaria** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population (2010 est.) |
| **Burkina Faso** | *improved:* |
| | *urban:* 95% of population |
| | *rural:* 73% of population |
| | *total:* 79% of population |
| | *unimproved:* |
| | *urban:* 5% of population |
| | *rural:* 27% of population |
| | *total:* 21% of population (2010 est.) |
| **Burma** | *improved:* |
| | *urban:* 93% of population |
| | *rural:* 78% of population |
| | *total:* 83% of population |
| | *unimproved:* |
| | *urban:* 7% of population |
| | *rural:* 22% of population |
| | *total:* 17% of population (2010 est.) |
| **Burundi** | *improved:* |
| | *urban:* 83% of population |
| | *rural:* 71% of population |
| | *total:* 72% of population |
| | *unimproved:* |
| | *urban:* 17% of population |
| | *rural:* 29% of population |
| | *total:* 28% of population (2010 est.) |
| **Cabo Verde** | *improved:* |
| | *urban:* 90% of population |
| | *rural:* 85% of population |
| | *total:* 88% of population |
| | *unimproved:* |
| | *urban:* 10% of population |
| | *rural:* 15% of population |
| | *total:* 12% of population (2010 est.) |
| **Cambodia** | *improved:* |
| | *urban:* 87% of population |
| | *rural:* 58% of population |
| | *total:* 64% of population |
| | *unimproved:* |
| | *urban:* 13% of population |
| | *rural:* 42% of population |
| | *total:* 36% of population (2010 est.) |
| **Cameroon** | *improved:* |
| | *urban:* 95% of population |
| | *rural:* 52% of population |
| | *total:* 77% of population |
| | *unimproved:* |
| | *urban:* 5% of population |
| | *rural:* 48% of population |
| | *total:* 23% of population (2010 est.) |
| **Canada** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 99% of population |
| | *total:* 100% of population |
| | *unimproved:* |
| | *urban:* 0% of population |
| | *rural:* 1% of population |
| | *total:* 0% of population (2010 est.) |
| **Cayman Islands** | *improved:* |
| | *urban:* 96% of population |
| | *total:* 96% of population |
| | *unimproved:* |
| | *urban:* 4% of population |
| | *total:* 4% of population (2010 est.) |
| **Central African Republic** | *improved:* |
| | *urban:* 92% of population |
| | *rural:* 51% of population |
| | *total:* 67% of population |
| | *unimproved:* |
| | *urban:* 8% of population |
| | *rural:* 49% of population |
| | *total:* 33% of population (2010 est.) |
| **Chad** | *improved:* |
| | *urban:* 70% of population |
| | *rural:* 44% of population |
| | *total:* 51% of population |
| | *unimproved:* |
| | *urban:* 30% of population |
| | *rural:* 56% of population |
| | *total:* 49% of population (2010 est.) |
| **Chile** | *improved:* |
| | *urban:* 99% of population |
| | *rural:* 75% of population |
| | *total:* 96% of population |
| | *unimproved:* |
| | *urban:* 1% of population |
| | *rural:* 25% of population |
| | *total:* 4% of population (2010 est.) |
| **China** | *improved:* |
| | *urban:* 98% of population |
| | *rural:* 85% of population |
| | *total:* 91% of population |
| | *unimproved:* |
| | *urban:* 2% of population |
| | *rural:* 15% of population |
| | *total:* 9% of population (2010 est.) |
| **Colombia** | *improved:* |
| | *urban:* 99% of population |
| | *rural:* 72% of population |
| | *total:* 92% of population |
| | *unimproved:* |
| | *urban:* 1% of population |
| | *rural:* 28% of population |
| | *total:* 8% of population (2010 est.) |
| **Comoros** | *improved:* |
| | *urban:* 91% of population |
| | *rural:* 97% of population |
| | *total:* 95% of population |
| | *unimproved:* |
| | *urban:* 9% of population |
| | *rural:* 3% of population |
| | *total:* 5% of population (2010 est.) |
| **Congo, Democratic Republic of the** | *improved:* |
| | *urban:* 79% of population |
| | *rural:* 27% of population |
| | *total:* 45% of population |
| | *unimproved:* |
| | *urban:* 21% of population |
| | *rural:* 73% of population |
| | *total:* 55% of population (2010 est.) |
| **Congo, Republic of the** | *improved:* |
| | *urban:* 95% of population |
| | *rural:* 32% of population |
| | *total:* 71% of population |
| | *unimproved:* |
| | *urban:* 5% of population |
| | *rural:* 68% of population |
| | *total:* 29% of population (2010 est.) |
| **Cook Islands** | *improved:* |
| | *urban:* 99% of population |
| | *rural:* 87% of population |
| | *total:* 95% of population |
| | *unimproved:* |
| | *urban:* 1% of population |
