CIA - The World Factbook --  Electricity - production   

This entry is the annual electricity generated expressed in kilowatt-hours. The discrepancy between the amount of electricity generated and/or imported and the amount consumed and/or exported is accounted for as loss in transmission and distribution.

| Rank | country | (kWh) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 4,110,000,000,000 | 2008 est. |
| 2 | European Union | 3,044,000,000,000 | 2007 est. |
| 3 | China | 3,041,000,000,000 | 2007 est. |
| 4 | Japan | 1,058,000,000,000 | 2007 est. |
| 5 | Russia | 958,000,000,000 | 2007 est. |
| 6 | India | 761,700,000,000 | 2007 est. |
| 7 | Canada | 620,700,000,000 | 2007 est. |
| 8 | Germany | 593,400,000,000 | 2007 est. |
| 9 | France | 535,700,000,000 | 2007 est. |
| 10 | Korea, South | 440,000,000,000 | 2008 est. |
| 11 | Brazil | 438,800,000,000 | 2007 est. |
| 12 | United Kingdom | 368,600,000,000 | 2007 est. |
| 13 | Italy | 289,700,000,000 | 2007 est. |
| 14 | Spain | 283,200,000,000 | 2007 est. |
| 15 | Mexico | 245,000,000,000 | 2008 est. |
| 16 | South Africa | 240,300,000,000 | 2007 est. |
| 17 | Australia | 239,900,000,000 | 2007 est. |
| 18 | Taiwan | 225,000,000,000 | 2007 est. |
| 19 | Iran | 192,600,000,000 | 2007 est. |
| 20 | Ukraine | 185,200,000,000 | 2007 est. |
| 21 | Turkey | 181,900,000,000 | 2007 est. |
| 22 | Saudi Arabia | 179,100,000,000 | 2007 est. |
| 23 | Poland | 149,100,000,000 | 2007 est. |
| 24 | Sweden | 144,000,000,000 | 2007 est. |
| 25 | Norway | 142,700,000,000 | 2008 est. |
| 26 | Thailand | 135,200,000,000 | 2007 est. |
| 27 | Indonesia | 134,400,000,000 | 2007 est. |
| 28 | Egypt | 118,400,000,000 | 2007 est. |
| 29 | Venezuela | 113,300,000,000 | 2007 est. |
| 30 | Argentina | 109,500,000,000 | 2007 est. |
| 31 | Malaysia | 103,200,000,000 | 2007 est. |
| 32 | Netherlands | 97,190,000,000 | 2007 est. |
