CIA - The World Factbook --  ELECTRICITY - PRODUCTION

Electricity - production compares the annual electricity generated expressed in kilowatt-hours.

| Rank | Country | (KWH) | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 6,142,000,000,000 | 2016 est. |
| 2 | United States | 4,088,000,000,000 | 2015 est. |
| 3 | European Union | 3,166,000,000,000 | 2014 est. |
| 4 | India | 1,289,000,000,000 | 2015 est. |
| 5 | Russia | 1,008,000,000,000 | 2015 est. |
| 6 | Japan | 976,300,000,000 | 2015 est. |
| 7 | Canada | 643,200,000,000 | 2015 est. |
| 8 | Germany | 588,500,000,000 | 2015 est. |
| 9 | Brazil | 559,200,000,000 | 2015 est. |
| 10 | France | 536,100,000,000 | 2015 est. |
| 11 | Korea, South | 528,100,000,000 | 2016 est. |
| 12 | Saudi Arabia | 318,000,000,000 | 2015 est. |
| 13 | United Kingdom | 309,800,000,000 | 2015 est. |
| 14 | Mexico | 292,700,000,000 | 2015 est. |
| 15 | Italy | 269,300,000,000 | 2015 est. |
| 16 | Spain | 267,100,000,000 | 2015 est. |
| 17 | Iran | 265,100,000,000 | 2015 est. |
| 18 | Taiwan | 264,100,000,000 | 2016 est. |
| 19 | Turkey | 245,800,000,000 | 2015 est. |
| 20 | Australia | 237,900,000,000 | 2015 est. |
| 21 | South Africa | 229,200,000,000 | 2015 est. |
| 22 | Indonesia | 221,300,000,000 | 2015 est. |
| 23 | Egypt | 171,900,000,000 | 2015 est. |
| 24 | Thailand | 167,900,000,000 | 2015 est. |
| 25 | Sweden | 154,300,000,000 | 2015 est. |
| 26 | Ukraine | 152,200,000,000 | 2015 est. |
| 27 | Poland | 152,100,000,000 | 2015 est. |
| 28 | Norway | 149,500,000,000 | 2016 est. |
| 29 | Vietnam | 146,900,000,000 | 2015 est. |
| 30 | Malaysia | 141,900,000,000 | 2015 est. |
| 31 | Argentina | 133,800,000,000 | 2015 est. |
| 32 | United Arab Emirates | 119,700,000,000 | 2015 est. |
| 33 | Venezuela | 114,400,000,000 | 2015 est. |
| 34 | Pakistan | 104,500,000,000 | 2015 est. |
| 35 | Netherlands | 102,500,000,000 | 2015 est. |
| 36 | Kazakhstan | 100,400,000,000 | 2015 est. |
| 37 | Philippines | 90,800,000,000 | 2016 est. |
| 38 | Iraq | 84,000,000,000 | 2016 est. |
| 39 | Czechia | 77,740,000,000 | 2015 est. |
| 40 | Chile | 71,660,000,000 | 2015 est. |
| 41 | Colombia | 67,260,000,000 | 2015 est. |
| 42 | Finland | 65,170,000,000 | 2015 est. |
| 43 | Belgium | 64,780,000,000 | 2015 est. |
| 44 | Algeria | 64,670,000,000 | 2015 est. |
| 45 | Switzerland | 64,060,000,000 | 2015 est. |
| 46 | Kuwait | 63,840,000,000 | 2015 est. |
| 47 | Romania | 62,160,000,000 | 2015 est. |
| 48 | Israel | 60,440,000,000 | 2015 est. |
| 49 | Uzbekistan | 59,000,000,000 | 2016 est. |
| 50 | Austria | 56,050,000,000 | 2015 est. |
| 51 | Bangladesh | 55,500,000,000 | 2015 est. |
| 52 | Paraguay | 55,190,000,000 | 2015 est. |
| 53 | Portugal | 49,660,000,000 | 2015 est. |
| 54 | Greece | 48,340,000,000 | 2015 est. |
| 55 | Singapore | 47,480,000,000 | 2015 est. |
| 56 | Peru | 46,310,000,000 | 2015 est. |
| 57 | Bulgaria | 46,150,000,000 | 2015 est. |
| 58 | New Zealand | 42,770,000,000 | 2015 est. |
| 59 | Qatar | 39,010,000,000 | 2015 est. |
| 60 | Serbia | 38,110,000,000 | 2016 est. |
| 61 | Hong Kong | 35,750,000,000 | 2015 est. |
| 62 | Libya | 35,450,000,000 | 2015 est. |
| 63 | Belarus | 32,040,000,000 | 2015 est. |
| 64 | Oman | 30,790,000,000 | 2015 est. |
| 65 | Nigeria | 29,830,000,000 | 2015 est. |
| 66 | Hungary | 28,670,000,000 | 2015 est. |
| 67 | Morocco | 27,370,000,000 | 2015 est. |
| 68 | Denmark | 27,340,000,000 | 2015 est. |
| 69 | Bahrain | 26,780,000,000 | 2015 est. |
| 70 | Ireland | 25,200,000,000 | 2015 est. |
| 71 | Ecuador | 24,950,000,000 | 2015 est. |
| 72 | Slovakia | 24,850,000,000 | 2015 est. |
| 73 | Azerbaijan | 23,300,000,000 | 2015 est. |
| 74 | Turkmenistan | 21,180,000,000 | 2015 est. |
| 75 | Puerto Rico | 20,300,000,000 | 2015 est. |
| 76 | Mozambique | 19,580,000,000 | 2015 est. |
| 77 | Cuba | 19,120,000,000 | 2015 est. |
| 78 | Iceland | 18,560,000,000 | 2015 est. |
| 79 | Tunisia | 18,390,000,000 | 2015 est. |
| 80 | Jordan | 17,760,000,000 | 2015 est. |
| 81 | Lebanon | 17,320,000,000 | 2015 est. |
| 82 | Tajikistan | 16,980,000,000 | 2015 est. |
| 83 | Syria | 16,830,000,000 | 2015 est. |
| 84 | Slovenia | 16,530,000,000 | 2016 est. |
| 85 | Dominican Republic | 15,530,000,000 | 2015 est. |
| 86 | Burma | 15,480,000,000 | 2015 est. |
| 87 | Bosnia and Herzegovina | 14,970,000,000 | 2015 est. |
| 88 | Korea, North | 13,410,000,000 | 2015 est. |
| 89 | Zambia | 13,280,000,000 | 2015 est. |
| 90 | Kyrgyzstan | 12,800,000,000 | 2015 est. |
