CIA - The World Factbook -- Field Listing - Religions

| Country | Religions (%) |
| --- | --- |
| **Afghanistan** | Sunni Muslim 80%, Shi'a Muslim 19%, other 1% |
| **Albania** | Muslim 70%, Albanian Orthodox 20%, Roman Catholic 10% |
| | *note:* percentages are estimates; there are no available current statistics on religious affiliation; all mosques and churches were closed in 1967 and religious observances prohibited; in November 1990, Albania began allowing private religious practice |
| **Algeria** | Sunni Muslim (state religion) 99%, Christian and Jewish 1% |
| **American Samoa** | Christian Congregationalist 50%, Roman Catholic 20%, Protestant and other 30% |
| **Andorra** | Roman Catholic (predominant) |
| **Angola** | indigenous beliefs 47%, Roman Catholic 38%, Protestant 15% (1998 est.) |
| **Anguilla** | Anglican 29%, Methodist 23.9%, other Protestant 30.2%, Roman Catholic 5.7%, other Christian 1.7%, other 5.2%, none or unspecified 4.3% (2001 census) |
| **Antigua and Barbuda** | Anglican 25.7%, Seventh Day Adventist 12.3%, Pentecostal 10.6%, Moravian 10.5%, Roman Catholic 10.4%, Methodist 7.9%, Baptist 4.9%, Church of God 4.5%, other Christian 5.4%, other 2%, none or unspecified 5.8% (2001 census) |
| **Argentina** | nominally Roman Catholic 92% (less than 20% practicing), Protestant 2%, Jewish 2%, other 4% |
| **Armenia** | Armenian Apostolic 94.7%, other Christian 4%, Yezidi (monotheist with elements of nature worship) 1.3% |
| **Aruba** | Roman Catholic 82%, Protestant 8%, other (includes Hindu, Muslim, Confucian, Jewish) 10% |
| **Australia** | Catholic 26.4%, Anglican 20.5%, other Christian 20.5%, Buddhist 1.9%, Muslim 1.5%, other 1.2%, unspecified 12.7%, none 15.3% (2001 Census) |
| **Austria** | Roman Catholic 73.6%, Protestant 4.7%, Muslim 4.2%, other 3.5%, unspecified 2%, none 12% (2001 census) |
| **Azerbaijan** | Muslim 93.4%, Russian Orthodox 2.5%, Armenian Orthodox 2.3%, other 1.8% (1995 est.) |
| | *note:* religious affiliation is still nominal in Azerbaijan; percentages for actual practicing adherents are much lower |
| **Bahamas, The** | Baptist 35.4%, Anglican 15.1%, Roman Catholic 13.5%, Pentecostal 8.1%, Church of God 4.8%, Methodist 4.2%, other Christian 15.2%, none or unspecified 2.9%, other 0.8% (2000 census) |
| **Bahrain** | Muslim (Shi'a and Sunni) 81.2%, Christian 9%, other 9.8% (2001 census) |
| **Bangladesh** | Muslim 83%, Hindu 16%, other 1% (1998) |
| **Barbados** | Protestant 67% (Anglican 40%, Pentecostal 8%, Methodist 7%, other 12%), Roman Catholic 4%, none 17%, other 12% |
| **Belarus** | Eastern Orthodox 80%, other (including Roman Catholic, Protestant, Jewish, and Muslim) 20% (1997 est.) |
| **Belgium** | Roman Catholic 75%, other (includes Protestant) 25% |
| **Belize** | Roman Catholic 49.6%, Protestant 27% (Pentecostal 7.4%, Anglican 5.3%, Seventh-Day Adventist 5.2%, Mennonite 4.1%, Methodist 3.5%, Jehovah's Witnesses 1.5%), other 14%, none 9.4% (2000) |
| **Benin** | Christian 42.8% (Catholic 27.1%, Celestial 5%, Methodist 3.2%, other Protestant 2.2%, other 5.3%), Muslim 24.4%, Vodoun 17.3%, other 15.5% (2002 census) |
| **Bermuda** | Anglican 23%, Roman Catholic 15%, African Methodist Episcopal 11%, other Protestant 18%, other 12%, unaffiliated 6%, unspecified 1%, none 14% (2000 census) |
| **Bhutan** | Lamaistic Buddhist 75%, Indian- and Nepalese-influenced Hinduism 25% |
| **Bolivia** | Roman Catholic 95%, Protestant (Evangelical Methodist) 5% |
| **Bosnia and Herzegovina** | Muslim 40%, Orthodox 31%, Roman Catholic 15%, other 14% |
| **Botswana** | Christian 71.6%, Badimo 6%, other 1.4%, unspecified 0.4%, none 20.6% (2001 census) |
| **Brazil** | Roman Catholic (nominal) 73.6%, Protestant 15.4%, Spiritualist 1.3%, Bantu/voodoo 0.3%, other 1.8%, unspecified 0.2%, none 7.4% (2000 census) |
| **British Virgin Islands** | Protestant 86% (Methodist 33%, Anglican 17%, Church of God 9%, Seventh-Day Adventist 6%, Baptist 4%, Jehovah's Witnesses 2%, other 15%), Roman Catholic 10%, other 2%, none 2% (1991) |
| **Brunei** | Muslim (official) 67%, Buddhist 13%, Christian 10%, other (includes indigenous beliefs) 10% |
| **Bulgaria** | Bulgarian Orthodox 82.6%, Muslim 12.2%, other Christian 1.2%, other 4% (2001 census) |
| **Burkina Faso** | Muslim 50%, indigenous beliefs 40%, Christian (mainly Roman Catholic) 10% |
| **Burma** | Buddhist 89%, Christian 4% (Baptist 3%, Roman Catholic 1%), Muslim 4%, animist 1%, other 2% |
| **Burundi** | Christian 67% (Roman Catholic 62%, Protestant 5%), indigenous beliefs 23%, Muslim 10% |
| **Cambodia** | Theravada Buddhist 95%, other 5% |
| **Cameroon** | indigenous beliefs 40%, Christian 40%, Muslim 20% |
| **Canada** | Roman Catholic 42.6%, Protestant 23.3% (including United Church 9.5%, Anglican 6.8%, Baptist 2.4%, Lutheran 2%), other Christian 4.4%, Muslim 1.9%, other and unspecified 11.8%, none 16% (2001 census) |
| **Cape Verde** | Roman Catholic (infused with indigenous beliefs), Protestant (mostly Church of the Nazarene) |
| **Cayman Islands** | United Church (Presbyterian and Congregational), Anglican, Baptist, Church of God, other Protestant, Roman Catholic |
| **Central African Republic** | indigenous beliefs 35%, Protestant 25%, Roman Catholic 25%, Muslim 15% |
| | *note:* animistic beliefs and practices strongly influence the Christian majority |
| **Chad** | Muslim 53.1%, Catholic 20.1%, Protestant 14.2%, animist 7.3%, other 0.5%, unknown 1.7%, atheist 3.1% (1993 census) |
| **Chile** | Roman Catholic 70%, Evangelical 15.1%, Jehovah's Witness 1.1%, other Christian 1%, other 4.6%, none 8.3% (2002 census) |
| **China** | Daoist (Taoist), Buddhist, Christian 3%-4%, Muslim 1%-2% |
| | *note:* officially atheist (2002 est.) |
| **Christmas Island** | Buddhist 36%, Muslim 25%, Christian 18%, other 21% (1997) |
| **Cocos (Keeling) Islands** | Sunni Muslim 80%, other 20% (2002 est.) |
| **Colombia** | Roman Catholic 90%, other 10% |
| **Comoros** | Sunni Muslim 98%, Roman Catholic 2% |
| **Congo, Democratic Republic of the** | Roman Catholic 50%, Protestant 20%, Kimbanguist 10%, Muslim 10%, other (includes syncretic sects and indigenous beliefs) 10% |
| **Congo, Republic of the** | Christian 50%, animist 48%, Muslim 2% |
| **Cook Islands** | Cook Islands Christian Church 55.9%, Roman Catholic 16.8%, Seventh-Day Adventists 7.9%, Church of Latter Day Saints 3.8%, other Protestant 5.8%, other 4.2%, unspecified 2.6%, none 3% (2001 census) |
| **Costa Rica** | Roman Catholic 76.3%, Evangelical 13.7%, Jehovah's Witnesses 1.3%, other Protestant 0.7%, other 4.8%, none 3.2% |
| **Cote d'Ivoire** | Muslim 35-40%, indigenous 25-40%, Christian 20-30% (2001) |
| | *note:* the majority of foreigners (migratory workers) are Muslim (70%) and Christian (20%) |
| **Croatia** | Roman Catholic 87.8%, Orthodox 4.4%, other Christian 0.4%, Muslim 1.3%, other and unspecified 0.9%, none 5.2% (2001 census) |
| **Cuba** | nominally 85% Roman Catholic prior to CASTRO assuming power; Protestants, Jehovah's Witnesses, Jews, and Santeria are also represented |
| **Cyprus** | Greek Orthodox 78%, Muslim 18%, other (includes Maronite and Armenian Apostolic) 4% |
| **Czech Republic** | Roman Catholic 26.8%, Protestant 2.1%, other 3.3%, unspecified 8.8%, unaffiliated 59% (2001 census) |
| **Denmark** | Evangelical Lutheran 95%, other Christian (includes Protestant and Roman Catholic) 3%, Muslim 2% |
| **Djibouti** | Muslim 94%, Christian 6% |
