CIA - The World Factbook --  INTERNET USERS

Internet users compares the number of users within a country that access the Internet. Statistics vary from country to country and may include users who access the Internet at least several times a week to those who access it only once within a period of several months.

| Rank | Country | INTERNET USERS | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 626,600,000 | 2014 est. |
| 2 | European Union | 398,100,000 | 2014 est. |
| 3 | United States | 276,600,000 | 2014 est. |
| 4 | India | 237,300,000 | 2014 est. |
| 5 | Japan | 109,300,000 | 2014 est. |
| 6 | Brazil | 108,200,000 | 2014 est. |
| 7 | Russia | 84,400,000 | 2014 est. |
| 8 | Germany | 70,300,000 | 2014 est. |
| 9 | Nigeria | 66,600,000 | 2014 est. |
| 10 | United Kingdom | 57,300,000 | 2014 est. |
| 11 | France | 56,800,000 | 2014 est. |
| 12 | Mexico | 49,500,000 | 2014 est. |
| 13 | Korea, South | 44,900,000 | 2014 est. |
| 14 | Indonesia | 42,400,000 | 2014 est. |
| 15 | Egypt | 42,000,000 | 2014 est. |
| 16 | Vietnam | 40,100,000 | 2014 est. |
| 17 | Philippines | 39,200,000 | 2014 est. |
| 18 | Italy | 37,000,000 | 2014 est. |
| 19 | Turkey | 36,600,000 | 2014 est. |
| 20 | Spain | 35,500,000 | 2014 est. |
| 21 | Canada | 32,400,000 | 2014 est. |
| 22 | Poland | 25,900,000 | 2014 est. |
| 23 | Argentina | 25,700,000 | 2014 est. |
| 24 | South Africa | 24,800,000 | 2014 est. |
| 25 | Colombia | 24,300,000 | 2014 est. |
| 26 | Iran | 22,900,000 | 2014 est. |
| 27 | Pakistan | 21,300,000 | 2014 est. |
| 28 | Australia | 20,200,000 | 2014 est. |
| 29 | Morocco | 19,900,000 | 2014 est. |
| 30 | Thailand | 19,500,000 | 2014 est. |
| 31 | Madagascar | 17,000,000 | 2014 est. |
| 32 | Ukraine | 16,800,000 | 2014 est. |
| 33 | Kenya | 16,500,000 | 2014 est. |
| 34 | Netherlands | 16,200,000 | 2014 est. |
| 35 | Saudi Arabia | 16,200,000 | 2014 est. |
| 36 | Taiwan | 16,100,000 | 2009 |
| 37 | Venezuela | 13,600,000 | 2014 est. |
| 38 | Mali | 12,400,000 | 2014 est. |
| 39 | Peru | 12,300,000 | 2014 est. |
| 40 | Malaysia | 12,100,000 | 2014 est. |
| 41 | Uzbekistan | 11,800,000 | 2014 est. |
| 42 | Bangladesh | 11,400,000 | 2014 est. |
| 43 | Chile | 11,400,000 | 2014 est. |
| 44 | Romania | 11,200,000 | 2014 est. |
| 45 | Kazakhstan | 10,600,000 | 2014 est. |
| 46 | Belgium | 9,500,000 | 2014 est. |
| 47 | Sweden | 8,700,000 | 2014 est. |
| 48 | Sudan | 8,500,000 | 2014 est. |
| 49 | Czech Republic | 8,200,000 | 2014 est. |
| 50 | Hungary | 7,400,000 | 2014 est. |
| 51 | Tanzania | 7,400,000 | 2014 est. |
| 52 | Portugal | 7,200,000 | 2014 est. |
| 53 | Austria | 7,200,000 | 2014 est. |
| 54 | Switzerland | 7,100,000 | 2014 est. |
| 55 | Algeria | 6,500,000 | 2014 est. |
| 56 | Greece | 6,200,000 | 2014 est. |
| 57 | Uganda | 6,000,000 | 2014 est. |
| 58 | Israel | 6,000,000 | 2014 est. |
| 59 | Ecuador | 5,900,000 | 2014 est. |
| 60 | Azerbaijan | 5,800,000 | 2014 est. |
| 61 | Hong Kong | 5,600,000 | 2014 est. |
| 62 | Denmark | 5,400,000 | 2014 est. |
| 63 | United Arab Emirates | 5,200,000 | 2014 est. |
| 64 | Finland | 5,100,000 | 2014 est. |
| 65 | Tunisia | 5,000,000 | 2014 est. |
| 66 | Belarus | 5,000,000 | 2014 est. |
| 67 | Yemen | 5,000,000 | 2014 est. |
| 68 | Ghana | 5,000,000 | 2014 est. |
| 69 | Dominican Republic | 5,000,000 | 2014 est. |
| 70 | Norway | 4,900,000 | 2014 est. |
| 71 | Syria | 4,800,000 | 2014 est. |
| 72 | Slovakia | 4,500,000 | 2014 est. |
| 73 | Singapore | 4,500,000 | 2014 est. |
| 74 | Sri Lanka | 4,400,000 | 2014 est. |
| 75 | Bulgaria | 4,100,000 | 2014 est. |
| 76 | Lebanon | 4,000,000 | 2014 est. |
| 77 | New Zealand | 4,000,000 | 2014 est. |
| 78 | Bolivia | 3,900,000 | 2014 est. |
| 79 | Ireland | 3,900,000 | 2014 est. |
| 80 | Nepal | 3,800,000 | 2014 est. |
| 81 | Angola | 3,700,000 | 2014 est. |
| 82 | Jordan | 3,600,000 | 2014 est. |
| 83 | Serbia | 3,600,000 | 2014 est. |
| 84 | Senegal | 3,000,000 | 2014 est. |
