CIA - The World Factbook --  Internet users   

This entry gives the number of users within a country that access the Internet. Statistics vary from country to country and may include users who access the Internet at least several times a week to those who access it only once within a period of several months.

| Rank | country | Internet users | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 389,000,000 | 2009 |
| 2 | United States | 245,000,000 | 2009 |
| 3 | Japan | 99,182,000 | 2009 |
| 4 | Brazil | 75,982,000 | 2009 |
| 5 | Germany | 65,125,000 | 2009 |
| 6 | India | 61,338,000 | 2009 |
| 7 | United Kingdom | 51,444,000 | 2009 |
| 8 | France | 45,262,000 | 2009 |
| 9 | Nigeria | 43,989,000 | 2009 |
| 10 | Russia | 40,853,000 | 2009 |
| 11 | Korea, South | 39,400,000 | 2009 |
| 12 | Mexico | 31,020,000 | 2009 |
| 13 | Italy | 29,235,000 | 2009 |
| 14 | Spain | 28,119,000 | 2009 |
| 15 | Turkey | 27,233,000 | 2009 |
| 16 | Canada | 26,960,000 | 2009 |
| 17 | Vietnam | 23,382,000 | 2009 |
| 18 | Colombia | 22,538,000 | 2009 |
| 19 | Poland | 22,452,000 | 2009 |
| 20 | Pakistan | 20,431,000 | 2009 |
| 21 | Egypt | 20,136,000 | 2009 |
| 22 | Indonesia | 20,000,000 | 2009 |
| 23 | Thailand | 17,483,000 | 2009 |
| 24 | Taiwan | 16,147,000 | 2009 |
| 25 | Australia | 15,810,000 | 2009 |
| 26 | Malaysia | 15,355,000 | 2009 |
| 27 | Netherlands | 14,872,000 | 2009 |
| 28 | Argentina | 13,694,000 | 2009 |
| 29 | Morocco | 13,213,000 | 2009 |
| 30 | Saudi Arabia | 9,774,000 | 2009 |
| 31 | Peru | 9,158,000 | 2009 |
| 32 | Venezuela | 8,918,000 | 2009 |
| 33 | Sweden | 8,398,000 | 2009 |
| 34 | Philippines | 8,278,000 | 2009 |
| 35 | Iran | 8,214,000 | 2009 |
| 36 | Belgium | 8,113,000 | 2009 |
| 37 | Romania | 7,787,000 | 2009 |
| 38 | Ukraine | 7,770,000 | 2009 |
| 39 | Chile | 7,009,000 | 2009 |
| 40 | Czech Republic | 6,681,000 | 2009 |
| 41 | Hungary | 6,176,000 | 2009 |
| 42 | Switzerland | 6,152,000 | 2009 |
| 43 | Austria | 6,143,000 | 2009 |
| 44 | Kazakhstan | 5,299,000 | 2009 |
| 45 | Portugal | 5,168,000 | 2009 |
| 46 | Greece | 4,971,000 | 2009 |
| 47 | Hong Kong | 4,873,000 | 2009 |
| 48 | Denmark | 4,750,000 | 2009 |
| 49 | Algeria | 4,700,000 | 2009 |
| 50 | Uzbekistan | 4,689,000 | 2009 |
| 51 | Israel | 4,525,000 | 2009 |
| 52 | Syria | 4,469,000 | 2009 |
| 53 | Norway | 4,431,000 | 2009 |
| 54 | South Africa | 4,420,000 | 2009 |
| 55 | Finland | 4,393,000 | 2009 |
| 56 | Sudan | 4,200,000 | 2008 |
| 57 | Serbia | 4,107,000 | 2009 |
| 58 | Slovakia | 4,063,000 | 2009 |
| 59 | Kenya | 3,996,000 | 2009 |
| 60 | Tunisia | 3,500,000 | 2009 |
| 61 | United Arab Emirates | 3,449,000 | 2009 |
| 62 | New Zealand | 3,400,000 | 2009 |
| 63 | Bulgaria | 3,395,000 | 2009 |
| 64 | Ecuador | 3,352,000 | 2009 |
| 65 | Singapore | 3,235,000 | 2009 |
| 66 | Uganda | 3,200,000 | 2009 |
| 67 | Ireland | 3,042,000 | 2009 |
| 68 | Dominican Republic | 2,701,000 | 2009 |
| 69 | Belarus | 2,643,000 | 2009 |
| 70 | Azerbaijan | 2,420,000 | 2009 |
| 71 | Yemen | 2,349,000 | 2009 |
| 72 | Guatemala | 2,279,000 | 2009 |
| 73 | Croatia | 2,234,000 | 2009 |
| 74 | Kyrgyzstan | 2,195,000 | 2009 |
| 75 | Lithuania | 1,964,000 | 2009 |
| 76 | Senegal | 1,818,000 | 2009 |
| 77 | Sri Lanka | 1,777,000 | 2009 |
| 78 | Jordan | 1,642,000 | 2009 |
| 79 | Cuba | 1,606,000 | 2009 |
| 80 | Jamaica | 1,581,000 | 2009 |
| 81 | Latvia | 1,504,000 | 2009 |
| 82 | Costa Rica | 1,485,000 | 2009 |
| 83 | Oman | 1,465,000 | 2009 |
| 84 | Zimbabwe | 1,423,000 | 2009 |
| 85 | Bosnia and Herzegovina | 1,422,000 | 2009 |
| 86 | Uruguay | 1,405,000 | 2009 |
| 87 | West Bank | 1,379,000 | 2009 |
| 88 | Gaza Strip | 1,379,000 | 2009 |
| 89 | Moldova | 1,333,000 | 2009 |
| 90 | Georgia | 1,300,000 | 2009 |
| 91 | Albania | 1,300,000 | 2009 |
| 92 | Slovenia | 1,298,000 | 2009 |
| 93 | Ghana | 1,297,000 | 2009 |
| 94 | Paraguay | 1,105,000 | 2009 |
| 95 | Bolivia | 1,103,000 | 2009 |
| 96 | Kuwait | 1,100,000 | 2009 |
| 97 | Macedonia | 1,057,000 | 2009 |
| 98 | Lebanon | 1,000,000 | 2009 |
| 99 | Puerto Rico | 1,000,000 | 2009 |
| 100 | Haiti | 1,000,000 | 2009 |
| 101 | Afghanistan | 1,000,000 | 2009 |
| 102 | Estonia | 971,700 | 2009 |
| 103 | Cote d'Ivoire | 967,300 | 2009 |
| 104 | Panama | 959,800 | 2009 |
| 105 | Zambia | 816,200 | 2009 |
| 106 | Cameroon | 749,600 | 2009 |
| 107 | El Salvador | 746,000 | 2009 |
| 108 | Honduras | 731,700 | 2009 |
| 109 | Malawi | 716,400 | 2009 |
| 110 | Tajikistan | 700,000 | 2009 |
| 111 | Tanzania | 678,000 | 2009 |
| 112 | Bangladesh | 617,300 | 2009 |
| 113 | Mozambique | 613,600 | 2009 |
| 114 | Angola | 606,700 | 2009 |
| 115 | Trinidad and Tobago | 593,000 | 2009 |
| 116 | Nepal | 577,800 | 2009 |
| 117 | Qatar | 563,800 | 2009 |
| 118 | Rwanda | 450,000 | 2009 |
| 119 | Ethiopia | 447,300 | 2009 |
| 120 | Cyprus | 433,900 | 2009 |
| 121 | Luxembourg | 424,500 | 2009 |
| 122 | Bahrain | 419,500 | 2009 |
| 123 | Togo | 356,300 | 2009 |
| 124 | Libya | 353,900 | 2009 |
| 125 | Mongolia | 330,000 | 2008 |
| 126 | Iraq | 325,900 | 2009 |
| 127 | Madagascar | 319,900 | 2009 |
| 128 | Brunei | 314,900 | 2009 |
| 129 | Iceland | 301,600 | 2009 |
| 130 | Laos | 300,000 | 2009 |
| 131 | Congo, Democratic Republic of the | 290,000 | 2008 |
| 132 | Mauritius | 290,000 | 2009 |
| 133 | Montenegro | 280,000 | 2009 |
| 134 | Macau | 270,200 | 2009 |
| 135 | Mali | 249,800 | 2009 |
| 136 | Congo, Republic of the | 245,200 | 2009 |
| 137 | Malta | 240,600 | 2009 |
| 138 | Armenia | 208,200 | 2009 |
| 139 | Benin | 200,100 | 2009 |
| 140 | Eritrea | 200,000 | 2008 |
| 141 | Nicaragua | 199,800 | 2009 |
| 142 | Guyana | 189,600 | 2009 |
| 143 | Barbados | 188,000 | 2008 |
| 144 | Burkina Faso | 178,100 | 2009 |
| 145 | Chad | 168,100 | 2009 |
| 146 | Suriname | 163,000 | 2009 |
| 147 | Burundi | 157,800 | 2009 |
| 148 | Cape Verde | 150,000 | 2009 |
| 149 | Saint Lucia | 142,900 | 2009 |
| 150 | Gambia, The | 130,100 | 2009 |
| 151 | Namibia | 127,500 | 2009 |
| 152 | Papua New Guinea | 125,000 | 2009 |
| 153 | Botswana | 120,000 | 2009 |
| 154 | French Polynesia | 120,000 | 2009 |
| 155 | Niger | 115,900 | 2009 |
| 156 | Bahamas, The | 115,800 | 2009 |
| 157 | Fiji | 114,200 | 2009 |
| 158 | Burma | 110,000 | 2009 |
| 159 | Somalia | 106,000 | 2009 |
| 160 | Gabon | 98,800 | 2009 |
| 161 | Guinea | 95,000 | 2009 |
| 162 | Swaziland | 90,100 | 2009 |
| 163 | Guam | 90,000 | 2009 |
| 164 | Maldives | 86,400 | 2009 |
| 165 | New Caledonia | 85,000 | 2009 |
| 166 | Turkmenistan | 80,400 | 2009 |
| 167 | Cambodia | 78,500 | 2009 |
| 168 | Lesotho | 76,800 | 2009 |
| 169 | Saint Vincent and the Grenadines | 76,000 | 2009 |
| 170 | Mauritania | 75,000 | 2009 |
| 171 | Andorra | 67,100 | 2009 |
| 172 | Antigua and Barbuda | 65,000 | 2009 |
| 173 | Bermuda | 54,000 | 2009 |
| 174 | Bhutan | 50,000 | 2009 |
| 175 | Guernsey | 48,300 | 2009 |
| 176 | Faroe Islands | 37,500 | 2009 |
| 177 | Guinea-Bissau | 37,100 | 2009 |
| 178 | Belize | 36,000 | 2009 |
| 179 | Greenland | 36,000 | 2009 |
| 180 | Seychelles | 32,000 | 2008 |
| 181 | Virgin Islands | 30,000 | 2009 |
| 182 | Jersey | 29,500 | 2009 |
| 183 | Dominica | 28,000 | 2009 |
| 184 | Sao Tome and Principe | 26,700 | 2009 |
| 185 | Djibouti | 25,900 | 2009 |
| 186 | Grenada | 25,000 | 2009 |
| 187 | Comoros | 24,300 | 2009 |
| 188 | Aruba | 24,000 | 2009 |
| 189 | Liechtenstein | 23,000 | 2009 |
| 190 | Cayman Islands | 23,000 | 2008 |
| 191 | Monaco | 23,000 | 2009 |
| 192 | Central African Republic | 22,600 | 2009 |
| 193 | Gibraltar | 20,200 | 2009 |
| 194 | Liberia | 20,000 | 2009 |
| 195 | Micronesia, Federated States of | 17,000 | 2009 |
| 196 | Saint Kitts and Nevis | 17,000 | 2009 |
| 197 | San Marino | 17,000 | 2009 |
| 198 | Vanuatu | 17,000 | 2009 |
| 199 | Sierra Leone | 14,900 | 2009 |
| 200 | Equatorial Guinea | 14,400 | 2009 |
| 201 | Solomon Islands | 10,000 | 2009 |
| 202 | Samoa | 9,000 | 2009 |
| 203 | Tonga | 8,400 | 2009 |
| 204 | Kiribati | 7,800 | 2009 |
| 205 | Cook Islands | 6,000 | 2009 |
| 206 | Tuvalu | 4,200 | 2008 |
| 207 | British Virgin Islands | 4,000 | 2002 |
| 208 | Anguilla | 3,700 | 2009 |
| 209 | Falkland Islands (Islas Malvinas) | 2,900 | 2009 |
| 210 | Marshall Islands | 2,200 | 2009 |
| 211 | Timor-Leste | 2,100 | 2009 |
| 212 | Wallis and Futuna | 1,300 | 2009 |
| 213 | Montserrat | 1,200 | 2009 |
| 214 | Niue | 1,100 | 2009 |
| 215 | Saint Helena, Ascension, and Tristan da Cunha | 900 | 2009 |
| 216 | Tokelau | 800 | 2008 |
| 217 | Christmas Island | 464 | 2001 |
