CIA - The World Factbook --  EXPORTS

Exports compares the total US dollar amount of merchandise exports on an f.o.b. (free on board) basis. These figures are calculated on an exchange rate basis.

| Rank | Country | EXPORTS | Date of Information |
| --- | --- | --- | --- |
| 1 | China | $2,252,000,000,000 | 2014 est. |
| 2 | European Union | $2,173,000,000,000 | 2012 est. |
| 3 | United States | $1,610,000,000,000 | 2014 est. |
| 4 | Germany | $1,547,000,000,000 | 2014 est. |
| 5 | Japan | $710,500,000,000 | 2014 est. |
| 6 | Korea, South | $628,000,000,000 | 2014 est. |
| 7 | France | $578,300,000,000 | 2014 est. |
| 8 | Netherlands | $552,800,000,000 | 2014 est. |
| 9 | Hong Kong | $528,200,000,000 | 2014 est. |
| 10 | Russia | $520,300,000,000 | 2014 est. |
| 11 | United Kingdom | $503,400,000,000 | 2014 est. |
| 12 | Italy | $500,300,000,000 | 2014 est. |
| 13 | Canada | $465,100,000,000 | 2014 est. |
| 14 | Singapore | $449,100,000,000 | 2014 est. |
| 15 | Mexico | $406,400,000,000 | 2014 est. |
| 16 | United Arab Emirates | $404,700,000,000 | 2014 est. |
| 17 | Switzerland | $388,900,000,000 | 2014 est. |
| 18 | Saudi Arabia | $359,400,000,000 | 2014 est. |
| 19 | India | $342,500,000,000 | 2014 est. |
| 20 | Belgium | $323,400,000,000 | 2014 est. |
| 21 | Taiwan | $318,000,000,000 | 2014 est. |
| 22 | Spain | $317,300,000,000 | 2014 est. |
| 23 | Australia | $250,800,000,000 | 2014 est. |
| 24 | Brazil | $242,700,000,000 | 2014 est. |
| 25 | Thailand | $232,000,000,000 | 2014 est. |
| 26 | Malaysia | $231,300,000,000 | 2014 est. |
| 27 | Poland | $218,900,000,000 | 2014 est. |
| 28 | Sweden | $184,100,000,000 | 2014 est. |
| 29 | Indonesia | $179,400,000,000 | 2014 est. |
| 30 | Turkey | $176,600,000,000 | 2014 est. |
| 31 | Austria | $164,400,000,000 | 2014 est. |
| 32 | Norway | $150,200,000,000 | 2014 est. |
| 33 | Czech Republic | $147,300,000,000 | 2014 est. |
| 34 | Vietnam | $147,000,000,000 | 2014 est. |
| 35 | Ireland | $121,300,000,000 | 2014 est. |
| 36 | Qatar | $121,200,000,000 | 2014 est. |
| 37 | Kuwait | $109,900,000,000 | 2014 est. |
| 38 | Denmark | $108,800,000,000 | 2014 est. |
| 39 | Hungary | $99,540,000,000 | 2014 est. |
| 40 | South Africa | $97,900,000,000 | 2014 est. |
| 41 | Iran | $95,710,000,000 | 2014 est. |
| 42 | Iraq | $94,430,000,000 | 2014 est. |
| 43 | Nigeria | $93,010,000,000 | 2014 est. |
| 44 | Kazakhstan | $87,250,000,000 | 2014 est. |
| 45 | Slovakia | $86,550,000,000 | 2014 est. |
| 46 | Venezuela | $83,200,000,000 | 2014 est. |
| 47 | Finland | $78,000,000,000 | 2014 est. |
| 48 | Chile | $76,980,000,000 | 2014 est. |
| 49 | Argentina | $76,470,000,000 | 2014 est. |
| 50 | Angola | $69,460,000,000 | 2014 est. |
| 51 | Puerto Rico | $68,340,000,000 | 2014 est. |
| 52 | Portugal | $66,300,000,000 | 2014 est. |
| 53 | Israel | $63,210,000,000 | 2014 est. |
| 54 | Romania | $63,120,000,000 | 2014 est. |
| 55 | Algeria | $62,100,000,000 | 2014 est. |
| 56 | Oman | $58,740,000,000 | 2014 est. |
| 57 | Colombia | $55,000,000,000 | 2014 est. |
| 58 | Philippines | $53,360,000,000 | 2014 est. |
| 59 | Ukraine | $52,460,000,000 | 2014 est. |
| 60 | New Zealand | $40,210,000,000 | 2014 est. |
| 61 | Belarus | $37,890,000,000 | 2014 est. |
| 62 | Greece | $36,600,000,000 | 2013 est. |
| 63 | Peru | $36,430,000,000 | 2014 est. |
| 64 | Lithuania | $31,640,000,000 | 2014 est. |
| 65 | Bangladesh | $31,200,000,000 | 2014 est. |
| 66 | Azerbaijan | $30,890,000,000 | 2014 est. |
| 67 | Slovenia | $30,470,000,000 | 2014 est. |
| 68 | Bulgaria | $29,250,000,000 | 2014 est. |
| 69 | Ecuador | $27,330,000,000 | 2014 est. |
| 70 | Egypt | $27,150,000,000 | 2014 est. |
| 71 | Pakistan | $25,110,000,000 | FY2014 est. |
| 72 | Bahrain | $22,000,000,000 | 2014 est. |
| 73 | Turkmenistan | $21,780,000,000 | 2014 est. |
| 74 | Morocco | $19,560,000,000 | 2014 est. |
| 75 | Luxembourg | $18,900,000,000 | 2014 est. |
| 76 | Panama | $18,070,000,000 | 2014 est. |
| 77 | Libya | $17,490,000,000 | 2014 est. |
| 78 | Tunisia | $16,610,000,000 | 2014 est. |
| 79 | Estonia | $15,820,000,000 | 2014 est. |
| 80 | Serbia | $15,000,000,000 | 2014 est. |
| 81 | Paraguay | $14,610,000,000 | 2014 est. |
| 82 | Cote d'Ivoire | $14,580,000,000 | 2014 est. |
| 83 | Croatia | $14,080,000,000 | 2014 est. |
| 84 | Ghana | $13,530,000,000 | 2014 est. |
| 85 | Latvia | $13,380,000,000 | 2014 est. |
| 86 | Uzbekistan | $13,320,000,000 | 2014 est. |
| 87 | Equatorial Guinea | $13,260,000,000 | 2014 est. |
| 88 | Trinidad and Tobago | $12,610,000,000 | 2014 est. |
| 89 | Bolivia | $12,340,000,000 | 2014 est. |
| 90 | Sri Lanka | $11,880,000,000 | 2014 est. |
| 91 | Costa Rica | $11,750,000,000 | 2014 est. |
| 92 | Brunei | $11,380,000,000 | 2014 est. |
| 93 | Uruguay | $11,000,000,000 | 2014 est. |
| 94 | Guatemala | $10,600,000,000 | 2014 est. |
| 95 | Burma | $10,310,000,000 | 2014 est. |
| 96 | Dominican Republic | $10,110,000,000 | 2014 est. |
| 97 | Congo, Democratic Republic of the | $10,090,000,000 | 2014 est. |
| 98 | Zambia | $9,214,000,000 | 2014 est. |
| 99 | Congo, Republic of the | $8,972,000,000 | 2014 est. |
| 100 | Jordan | $8,556,000,000 | 2014 est. |
| 101 | Honduras | $8,520,000,000 | 2014 est. |
| 102 | Gabon | $8,401,000,000 | 2014 est. |
| 103 | Botswana | $7,477,000,000 | 2014 est. |
| 104 | Papua New Guinea | $7,418,000,000 | 2014 est. |
| 105 | Sudan | $7,185,000,000 | 2014 est. |
| 106 | Yemen | $7,041,000,000 | 2014 est. |
| 107 | Cambodia | $6,806,000,000 | 2014 est. |
| 108 | Cameroon | $6,376,000,000 | 2014 est. |
| 109 | Kenya | $6,271,000,000 | 2014 est. |
| 110 | Tanzania | $6,084,000,000 | 2014 est. |
| 111 | Mongolia | $5,676,000,000 | 2014 est. |
| 112 | Cuba | $5,670,000,000 | 2014 est. |
| 113 | Iceland | $5,000,000,000 | 2014 est. |
| 114 | Chad | $4,912,000,000 | 2014 est. |
| 115 | Namibia | $4,597,000,000 | 2014 est. |
| 116 | El Salvador | $4,521,000,000 | 2014 est. |
| 117 | Georgia | $4,493,000,000 | 2014 est. |
| 118 | Mozambique | $4,345,000,000 | 2014 est. |
| 119 | Virgin Islands | $4,234,000,000 | 2001 |
| 120 | Ethiopia | $4,140,000,000 | 2014 est. |
| 121 | Lebanon | $4,092,000,000 | 2014 est. |
| 122 | Nicaragua | $3,997,000,000 | 2014 est. |
| 123 | Bosnia and Herzegovina | $3,865,000,000 | 2014 est. |
| 124 | San Marino | $3,827,000,000 | 2011 est. |
| 125 | Liechtenstein | $3,801,000,000 | 2012 est. |
| 126 | Korea, North | $3,800,000,000 | 2013 est. |
| 127 | Malta | $3,710,000,000 | 2014 est. |
| 128 | Macedonia | $3,421,000,000 | 2014 est. |
| 129 | Zimbabwe | $3,263,000,000 | 2014 est. |
| 130 | Mauritius | $3,135,000,000 | 2014 est. |
| 131 | Laos | $2,791,000,000 | 2014 est. |
| 132 | Afghanistan | $2,785,000,000 | 2012 est. |
| 133 | Uganda | $2,776,000,000 | 2014 est. |
| 134 | Mali | $2,763,000,000 | 2014 est. |
| 135 | Moldova | $2,630,000,000 | 2014 est. |
| 136 | Mauritania | $2,573,000,000 | 2014 est. |
| 137 | Suriname | $2,515,000,000 | 2014 est. |
| 138 | Albania | $2,471,000,000 | 2014 est. |
| 139 | Senegal | $2,462,000,000 | 2014 est. |
| 140 | Burkina Faso | $2,254,000,000 | 2014 est. |
| 141 | Sierra Leone | $2,241,000,000 | 2014 est. |
| 142 | Swaziland | $2,192,000,000 | 2014 est. |
| 143 | West Bank | $2,107,000,000 | 2014 est. |
| 144 | Benin | $2,045,000,000 | 2014 est. |
| 145 | Syria | $2,031,000,000 | 2014 est. |
