CIA - The World Factbook --  Exports   

This entry provides the total US dollar amount of merchandise exports on an f.o.b. (free on board) basis. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Exports | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | $ 2,170,000,000,000 | 2011 est. |
| 2 | China | $ 1,971,000,000,000 | 2012 est. |
| 3 | United States | $ 1,561,000,000,000 | 2012 est. |
| 4 | Germany | $ 1,460,000,000,000 | 2012 est. |
| 5 | Japan | $ 776,600,000,000 | 2012 est. |
| 6 | France | $ 567,400,000,000 | 2012 est. |
| 7 | Korea, South | $ 552,700,000,000 | 2012 est. |
| 8 | Netherlands | $ 540,300,000,000 | 2012 est. |
| 9 | Russia | $ 528,000,000,000 | 2012 est. |
| 10 | Italy | $ 478,900,000,000 | 2012 est. |
| 11 | United Kingdom | $ 473,000,000,000 | 2012 est. |
| 12 | Hong Kong | $ 466,000,000,000 | 2012 est. |
| 13 | Canada | $ 462,900,000,000 | 2012 est. |
| 14 | Singapore | $ 435,800,000,000 | 2012 est. |
| 15 | Saudi Arabia | $ 388,400,000,000 | 2012 est. |
| 16 | Mexico | $ 371,400,000,000 | 2012 est. |
| 17 | United Arab Emirates | $ 350,100,000,000 | 2012 est. |
| 18 | Switzerland | $ 332,100,000,000 | 2012 est. |
| 19 | Belgium | $ 302,400,000,000 | 2012 est. |
| 20 | India | $ 301,900,000,000 | 2012 est. |
| 21 | Taiwan | $ 299,800,000,000 | 2012 est. |
| 22 | Spain | $ 291,600,000,000 | 2012 est. |
| 23 | Australia | $ 257,900,000,000 | 2012 est. |
| 24 | Brazil | $ 242,600,000,000 | 2012 est. |
| 25 | Malaysia | $ 227,700,000,000 | 2012 est. |
| 26 | Thailand | $ 226,100,000,000 | 2012 est. |
| 27 | Poland | $ 191,000,000,000 | 2012 est. |
| 28 | Indonesia | $ 187,300,000,000 | 2012 est. |
| 29 | Sweden | $ 184,800,000,000 | 2012 est. |
| 30 | Norway | $ 166,000,000,000 | 2012 est. |
| 31 | Austria | $ 165,600,000,000 | 2012 est. |
| 32 | Turkey | $ 163,300,000,000 | 2012 est. |
| 33 | Qatar | $ 133,000,000,000 | 2012 est. |
| 34 | Czech Republic | $ 131,700,000,000 | 2012 est. |
| 35 | Kuwait | $ 121,000,000,000 | 2012 est. |
| 36 | Ireland | $ 119,300,000,000 | 2012 est. |
| 37 | Vietnam | $ 114,600,000,000 | 2012 est. |
| 38 | Denmark | $ 104,900,000,000 | 2012 est. |
| 39 | Venezuela | $ 97,340,000,000 | 2012 est. |
| 40 | Nigeria | $ 95,680,000,000 | 2012 est. |
| 41 | Iraq | $ 94,210,000,000 | 2012 est. |
| 42 | South Africa | $ 93,480,000,000 | 2012 est. |
| 43 | Hungary | $ 90,230,000,000 | 2012 est. |
| 44 | Kazakhstan | $ 86,930,000,000 | 2012 est. |
| 45 | Argentina | $ 80,910,000,000 | 2012 est. |
| 46 | Slovakia | $ 80,670,000,000 | 2012 est. |
| 47 | Chile | $ 78,280,000,000 | 2012 est. |
| 48 | Finland | $ 76,460,000,000 | 2012 est. |
| 49 | Algeria | $ 71,740,000,000 | 2012 est. |
| 50 | Angola | $ 71,090,000,000 | 2012 est. |
| 51 | Ukraine | $ 70,240,000,000 | 2012 est. |
| 52 | Puerto Rico | $ 67,300,000,000 | 2012 est. |
| 53 | Iran | $ 67,040,000,000 | 2012 est. |
| 54 | Israel | $ 62,320,000,000 | 2012 est. |
| 55 | Colombia | $ 59,850,000,000 | 2012 est. |
| 56 | Portugal | $ 58,240,000,000 | 2012 est. |
| 57 | Oman | $ 52,140,000,000 | 2012 est. |
| 58 | Libya | $ 52,020,000,000 | 2012 est. |
| 59 | Romania | $ 51,290,000,000 | 2012 est. |
| 60 | Philippines | $ 46,280,000,000 | 2012 est. |
| 61 | Peru | $ 45,640,000,000 | 2012 est. |
| 62 | Belarus | $ 45,570,000,000 | 2012 est. |
| 63 | New Zealand | $ 37,870,000,000 | 2012 est. |
| 64 | Azerbaijan | $ 32,630,000,000 | 2012 est. |
| 65 | Lithuania | $ 28,760,000,000 | 2012 est. |
| 66 | Greece | $ 28,310,000,000 | 2012 est. |
| 67 | Slovenia | $ 27,810,000,000 | 2012 est. |
| 68 | Bulgaria | $ 26,700,000,000 | 2012 est. |
| 69 | Egypt | $ 24,930,000,000 | 2012 est. |
| 70 | Bangladesh | $ 24,920,000,000 | 2012 est. |
| 71 | Pakistan | $ 24,710,000,000 | 2012 est. |
| 72 | Ecuador | $ 24,650,000,000 | 2012 est. |
| 73 | Bahrain | $ 20,390,000,000 | 2012 est. |
| 74 | Panama | $ 18,880,000,000 | 2012 est. |
| 75 | Tunisia | $ 17,070,000,000 | 2012 est. |
| 76 | Morocco | $ 16,990,000,000 | 2012 est. |
| 77 | Luxembourg | $ 15,930,000,000 | 2012 est. |
| 78 | Turkmenistan | $ 15,480,000,000 | 2012 est. |
| 79 | Equatorial Guinea | $ 14,860,000,000 | 2012 est. |
| 80 | Estonia | $ 14,460,000,000 | 2012 est. |
| 81 | Uzbekistan | $ 14,380,000,000 | 2012 est. |
| 82 | Ghana | $ 13,540,000,000 | 2012 est. |
| 83 | Trinidad and Tobago | $ 12,980,000,000 | 2012 est. |
| 84 | Brunei | $ 12,750,000,000 | 2011 |
| 85 | Croatia | $ 12,600,000,000 | 2012 est. |
| 86 | Cote d'Ivoire | $ 12,530,000,000 | 2012 est. |
| 87 | Latvia | $ 12,230,000,000 | 2012 est. |
| 88 | Paraguay | $ 11,900,000,000 | 2012 est. |
| 89 | Costa Rica | $ 11,440,000,000 | 2012 est. |
| 90 | Serbia | $ 11,330,000,000 | 2012 est. |
| 91 | Bolivia | $ 11,110,000,000 | 2012 est. |
| 92 | Congo, Republic of the | $ 10,530,000,000 | 2012 est. |
| 93 | Gabon | $ 10,200,000,000 | 2012 est. |
| 94 | Guatemala | $ 10,110,000,000 | 2012 est. |
| 95 | Uruguay | $ 9,890,000,000 | 2012 est. |
| 96 | Sri Lanka | $ 9,774,000,000 | 2012 est. |
| 97 | Zambia | $ 9,414,000,000 | 2012 est. |
| 98 | Dominican Republic | $ 9,079,000,000 | 2012 est. |
| 99 | Congo, Democratic Republic of the | $ 8,872,000,000 | 2012 est. |
| 100 | Honduras | $ 7,931,000,000 | 2012 est. |
| 101 | Jordan | $ 7,898,000,000 | 2012 est. |
| 102 | Burma | $ 7,820,000,000 | 2012 est. |
| 103 | Yemen | $ 7,570,000,000 | 2012 est. |
| 104 | Kenya | $ 6,228,000,000 | 2012 est. |
| 105 | Cambodia | $ 6,016,000,000 | 2012 est. |
| 106 | Cameroon | $ 6,015,000,000 | 2012 est. |
| 107 | Botswana | $ 6,011,000,000 | 2012 est. |
| 108 | Cuba | $ 5,972,000,000 | 2012 est. |
| 109 | Tanzania | $ 5,912,000,000 | 2012 est. |
| 110 | Lebanon | $ 5,615,000,000 | 2012 est. |
| 111 | Papua New Guinea | $ 5,602,000,000 | 2012 est. |
