CIA - The World Factbook --  Exports   

This entry provides the total US dollar amount of merchandise exports on an f.o.b. (free on board) basis. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Exports | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | $ 1,952,000,000,000 | 2007 |
| 2 | China | $ 1,581,000,000,000 | 2010 est. |
| 3 | Germany | $ 1,303,000,000,000 | 2010 est. |
| 4 | United States | $ 1,289,000,000,000 | 2010 est. |
| 5 | Japan | $ 730,100,000,000 | 2010 est. |
| 6 | France | $ 517,200,000,000 | 2010 est. |
| 7 | Netherlands | $ 486,700,000,000 | 2010 est. |
| 8 | Korea, South | $ 464,300,000,000 | 2010 est. |
| 9 | Italy | $ 448,400,000,000 | 2010 est. |
| 10 | United Kingdom | $ 410,200,000,000 | 2010 est. |
| 11 | Russia | $ 400,100,000,000 | 2010 est. |
| 12 | Hong Kong | $ 394,000,000,000 | 2010 est. |
| 13 | Canada | $ 393,000,000,000 | 2010 est. |
| 14 | Singapore | $ 358,400,000,000 | 2010 est. |
| 15 | Mexico | $ 298,500,000,000 | 2010 est. |
| 16 | Belgium | $ 282,300,000,000 | 2010 est. |
| 17 | Taiwan | $ 273,800,000,000 | 2010 est. |
| 18 | Switzerland | $ 258,500,000,000 | 2010 est. |
| 19 | Spain | $ 253,000,000,000 | 2010 est. |
| 20 | Saudi Arabia | $ 237,900,000,000 | 2010 est. |
| 21 | India | $ 225,600,000,000 | 2010 est. |
| 22 | Australia | $ 212,900,000,000 | 2010 est. |
| 23 | United Arab Emirates | $ 212,300,000,000 | 2010 est. |
| 24 | Brazil | $ 201,900,000,000 | 2010 est. |
| 25 | Malaysia | $ 197,000,000,000 | 2010 est. |
| 26 | Thailand | $ 193,500,000,000 | 2010 est. |
| 27 | Poland | $ 162,300,000,000 | 2010 est. |
| 28 | Sweden | $ 160,400,000,000 | 2010 est. |
| 29 | Indonesia | $ 158,100,000,000 | 2010 est. |
| 30 | Austria | $ 147,500,000,000 | 2010 est. |
| 31 | Norway | $ 132,700,000,000 | 2010 est. |
| 32 | Turkey | $ 120,900,000,000 | 2010 est. |
| 33 | Czech Republic | $ 116,700,000,000 | 2010 est. |
| 34 | Ireland | $ 110,100,000,000 | 2010 est. |
| 35 | Denmark | $ 96,580,000,000 | 2010 est. |
| 36 | Hungary | $ 93,290,000,000 | 2010 est. |
| 37 | South Africa | $ 85,700,000,000 | 2010 est. |
| 38 | Iran | $ 84,920,000,000 | 2010 est. |
| 39 | Nigeria | $ 73,700,000,000 | 2010 est. |
| 40 | Vietnam | $ 72,270,000,000 | 2010 est. |
| 41 | Qatar | $ 72,040,000,000 | 2010 est. |
| 42 | Chile | $ 71,030,000,000 | 2010 est. |
| 43 | Finland | $ 69,400,000,000 | 2010 est. |
| 44 | Puerto Rico | $ 68,860,000,000 | 2010 est. |
| 45 | Argentina | $ 68,130,000,000 | 2010 est. |
