CIA - The World Factbook --  Exports   

Exports compares the total US dollar amount of merchandise exports on an f.o.b. (free on board) basis. These figures are calculated on an exchange rate basis.

| Rank | country | Exports | Date of Information |
| --- | --- | --- | --- |
| 1 | China | $ 2,210,000,000,000 | 2013 est. |
| 2 | European Union | $ 2,173,000,000,000 | 2012 est. |
| 3 | United States | $ 1,575,000,000,000 | 2013 est. |
| 4 | Germany | $ 1,493,000,000,000 | 2013 est. |
| 5 | United Kingdom | $ 813,200,000,000 | 2013 est. |
| 6 | Japan | $ 697,000,000,000 | 2013 est. |
| 7 | France | $ 578,600,000,000 | 2013 est. |
| 8 | Netherlands | $ 576,900,000,000 | 2013 est. |
| 9 | Korea, South | $ 557,300,000,000 | 2013 est. |
| 10 | Russia | $ 515,000,000,000 | 2013 est. |
| 11 | Italy | $ 474,000,000,000 | 2013 est. |
| 12 | Canada | $ 458,700,000,000 | 2013 est. |
| 13 | Spain | $ 458,000,000,000 | 2013 est. |
| 14 | Hong Kong | $ 456,400,000,000 | 2013 est. |
| 15 | Singapore | $ 410,300,000,000 | 2013 est. |
| 16 | Saudi Arabia | $ 376,300,000,000 | 2013 est. |
| 17 | Mexico | $ 370,900,000,000 | 2013 est. |
| 18 | United Arab Emirates | $ 368,900,000,000 | 2013 est. |
| 19 | India | $ 313,200,000,000 | 2013 est. |
| 20 | Taiwan | $ 305,800,000,000 | 2013 est. |
| 21 | Belgium | $ 295,300,000,000 | 2013 est. |
| 22 | Australia | $ 251,700,000,000 | 2013 est. |
| 23 | Brazil | $ 244,800,000,000 | 2013 est. |
| 24 | Malaysia | $ 230,700,000,000 | 2013 est. |
| 25 | Switzerland | $ 229,200,000,000 | 2013 est. |
| 26 | Thailand | $ 225,400,000,000 | 2013 est. |
| 27 | Poland | $ 202,300,000,000 | 2013 est. |
| 28 | Sweden | $ 181,500,000,000 | 2013 est. |
| 29 | Indonesia | $ 178,900,000,000 | 2013 est. |
| 30 | Turkey | $ 167,600,000,000 | 2013 est. |
| 31 | Austria | $ 165,600,000,000 | 2013 est. |
| 32 | Czech Republic | $ 161,400,000,000 | 2013 est. |
| 33 | Norway | $ 154,200,000,000 | 2013 est. |
| 34 | Vietnam | $ 128,900,000,000 | 2013 est. |
| 35 | Ireland | $ 113,600,000,000 | 2013 est. |
| 36 | Kuwait | $ 112,000,000,000 | 2013 est. |
| 37 | Denmark | $ 106,000,000,000 | 2013 est. |
| 38 | Nigeria | $ 93,550,000,000 | 2013 est. |
| 39 | Hungary | $ 92,980,000,000 | 2013 est. |
| 40 | Iraq | $ 91,990,000,000 | 2013 est. |
| 41 | Venezuela | $ 91,780,000,000 | 2013 est. |
| 42 | South Africa | $ 91,050,000,000 | 2013 est. |
| 43 | Kazakhstan | $ 87,230,000,000 | 2013 est. |
| 44 | Argentina | $ 85,080,000,000 | 2013 est. |
| 45 | Slovakia | $ 82,700,000,000 | 2013 est. |
| 46 | Chile | $ 77,940,000,000 | 2013 est. |
| 47 | Finland | $ 75,700,000,000 | 2013 est. |
| 48 | Ukraine | $ 71,140,000,000 | 2013 est. |
| 49 | Angola | $ 70,840,000,000 | 2013 est. |
| 50 | Puerto Rico | $ 69,750,000,000 | 2013 est. |
| 51 | Algeria | $ 68,250,000,000 | 2013 est. |
| 52 | Romania | $ 65,840,000,000 | 2013 est. |
| 53 | Iran | $ 61,220,000,000 | 2013 est. |
| 54 | Portugal | $ 61,000,000,000 | 2013 est. |
| 55 | Israel | $ 60,670,000,000 | 2013 est. |
| 56 | Colombia | $ 58,700,000,000 | 2013 est. |
| 57 | Oman | $ 56,220,000,000 | 2013 est. |
| 58 | Philippines | $ 47,450,000,000 | 2013 est. |
| 59 | Belarus | $ 42,060,000,000 | 2013 est. |
| 60 | Peru | $ 41,480,000,000 | 2013 est. |
| 61 | Libya | $ 38,450,000,000 | 2013 est. |
| 62 | New Zealand | $ 37,840,000,000 | 2013 est. |
| 63 | Azerbaijan | $ 34,460,000,000 | 2013 est. |
| 64 | Lithuania | $ 30,400,000,000 | 2013 est. |
| 65 | Greece | $ 30,390,000,000 | 2013 est. |
| 66 | Slovenia | $ 28,730,000,000 | 2013 est. |
| 67 | Bulgaria | $ 27,900,000,000 | 2013 est. |
| 68 | Bangladesh | $ 26,910,000,000 | 2013 est. |
| 69 | Ecuador | $ 25,480,000,000 | 2013 est. |
| 70 | Pakistan | $ 25,050,000,000 | 2013 est. |
| 71 | Egypt | $ 24,810,000,000 | 2013 est. |
| 72 | Bahrain | $ 20,690,000,000 | 2013 est. |
| 73 | Panama | $ 18,870,000,000 | 2013 est. |
| 74 | Tunisia | $ 17,460,000,000 | 2013 est. |
| 75 | Turkmenistan | $ 17,130,000,000 | 2013 est. |
| 76 | Morocco | $ 16,780,000,000 | 2013 est. |
| 77 | Luxembourg | $ 15,800,000,000 | 2013 est. |
| 78 | Equatorial Guinea | $ 15,440,000,000 | 2013 est. |
| 79 | Estonia | $ 15,110,000,000 | 2013 est. |
| 80 | Uzbekistan | $ 14,910,000,000 | 2013 est. |
| 81 | Paraguay | $ 14,700,000,000 | 2013 est. |
| 82 | Serbia | $ 14,610,000,000 | 2013 est. |
| 83 | Ghana | $ 13,370,000,000 | 2013 est. |
| 84 | Cote d'Ivoire | $ 12,960,000,000 | 2013 est. |
| 85 | Trinidad and Tobago | $ 12,860,000,000 | 2013 est. |
| 86 | Brunei | $ 12,750,000,000 | 2011 |
| 87 | Qatar | $ 12,700,000,000 | 2013 est. |
| 88 | Latvia | $ 12,670,000,000 | 2013 est. |
| 89 | Croatia | $ 12,360,000,000 | 2013 est. |
| 90 | Bolivia | $ 12,160,000,000 | 2013 est. |
| 91 | Costa Rica | $ 11,660,000,000 | 2013 est. |
| 92 | Uruguay | $ 10,500,000,000 | 2013 est. |
| 93 | Sri Lanka | $ 10,390,000,000 | 2013 est. |
