CIA - The World Factbook --  EXPORTS

Exports compares the total US dollar amount of merchandise exports on an f.o.b. (free on board) basis. These figures are calculated on an exchange rate basis.

| Rank | Country | EXPORTS | Date of Information |
| --- | --- | --- | --- |
| 1 | China | $1,990,000,000,000 | 2016 est. |
| 2 | European Union | $1,900,000,000,000 | 2015 est. |
| 3 | United States | $1,456,000,000,000 | 2016 est. |
| 4 | Germany | $1,322,000,000,000 | 2016 est. |
| 5 | Japan | $634,900,000,000 | 2016 est. |
| 6 | Korea, South | $511,800,000,000 | 2016 est. |
| 7 | France | $507,000,000,000 | 2016 est. |
| 8 | Hong Kong | $502,500,000,000 | 2016 est. |
| 9 | Netherlands | $495,400,000,000 | 2016 est. |
| 10 | Italy | $454,100,000,000 | 2016 est. |
| 11 | United Kingdom | $407,300,000,000 | 2016 est. |
| 12 | Canada | $393,500,000,000 | 2016 est. |
| 13 | Mexico | $374,300,000,000 | 2016 est. |
| 14 | Singapore | $361,600,000,000 | 2016 est. |
| 15 | Switzerland | $318,100,000,000 | 2016 est. |
| 16 | Taiwan | $310,400,000,000 | 2016 est. |
| 17 | United Arab Emirates | $298,600,000,000 | 2016 est. |
| 18 | Russia | $281,900,000,000 | 2016 est. |
| 19 | Spain | $280,500,000,000 | 2016 est. |
| 20 | Belgium | $277,700,000,000 | 2016 est. |
| 21 | India | $268,600,000,000 | 2016 est. |
| 22 | Thailand | $214,300,000,000 | 2016 est. |
| 23 | Ireland | $206,000,000,000 | 2016 est. |
| 24 | Poland | $195,700,000,000 | 2016 est. |
| 25 | Australia | $191,700,000,000 | 2016 est. |
| 26 | Brazil | $184,500,000,000 | 2016 est. |
| 27 | Saudi Arabia | $183,600,000,000 | 2016 est. |
| 28 | Vietnam | $176,600,000,000 | 2016 est. |
| 29 | Malaysia | $165,300,000,000 | 2016 est. |
| 30 | Sweden | $151,400,000,000 | 2016 est. |
| 31 | Turkey | $150,200,000,000 | 2016 est. |
| 32 | Indonesia | $144,400,000,000 | 2016 est. |
| 33 | Austria | $142,800,000,000 | 2016 est. |
| 34 | Czechia | $131,100,000,000 | 2016 est. |
| 35 | Denmark | $103,600,000,000 | 2016 est. |
| 36 | Hungary | $91,600,000,000 | 2016 est. |
| 37 | Norway | $88,880,000,000 | 2016 est. |
| 38 | Iran | $83,980,000,000 | 2016 est. |
| 39 | Slovakia | $75,530,000,000 | 2016 est. |
| 40 | South Africa | $75,160,000,000 | 2016 est. |
| 41 | Puerto Rico | $73,200,000,000 | 2016 est. |
| 42 | Chile | $60,600,000,000 | 2016 est. |
| 43 | Finland | $58,320,000,000 | 2016 est. |
| 44 | Argentina | $57,780,000,000 | 2016 est. |
| 45 | Romania | $57,720,000,000 | 2016 est. |
| 46 | Qatar | $57,250,000,000 | 2016 est. |
| 47 | Israel | $56,170,000,000 | 2016 est. |
| 48 | Portugal | $54,760,000,000 | 2016 est. |
| 49 | Kuwait | $46,260,000,000 | 2016 est. |
| 50 | Philippines | $43,440,000,000 | 2016 est. |
| 51 | Kazakhstan | $37,300,000,000 | 2016 est. |
| 52 | Peru | $37,020,000,000 | 2016 est. |
| 53 | Nigeria | $34,700,000,000 | 2016 est. |
| 54 | Bangladesh | $34,140,000,000 | 2016 est. |
| 55 | New Zealand | $33,610,000,000 | 2016 est. |
| 56 | Ukraine | $33,560,000,000 | 2016 est. |
| 57 | Colombia | $33,380,000,000 | 2016 est. |
| 58 | Angola | $31,030,000,000 | 2016 est. |
| 59 | Algeria | $29,060,000,000 | 2016 est. |
| 60 | Iraq | $28,360,000,000 | 2016 est. |
| 61 | Slovenia | $27,650,000,000 | 2016 est. |
| 62 | Oman | $27,540,000,000 | 2016 est. |
| 63 | Venezuela | $27,200,000,000 | 2016 est. |
| 64 | Greece | $27,100,000,000 | 2016 est. |
| 65 | Bulgaria | $24,960,000,000 | 2016 est. |
| 66 | Lithuania | $24,230,000,000 | 2016 est. |
| 67 | Belarus | $22,980,000,000 | 2016 est. |
| 68 | Pakistan | $21,710,000,000 | 2016 est. |
| 69 | Egypt | $20,020,000,000 | 2016 est. |
| 70 | Morocco | $18,880,000,000 | 2016 est. |
| 71 | Ecuador | $17,430,000,000 | 2016 est. |
| 72 | Luxembourg | $16,370,000,000 | 2016 est. |
| 73 | Panama | $14,700,000,000 | 2016 est. |
