CIA - The World Factbook --  Birth rate   

This entry gives the average annual number of births during a year per 1,000 persons in the population at midyear; also known as crude birth rate. The birth rate is usually the dominant factor in determining the rate of population growth. It depends on both the level of fertility and the age structure of the population.

| Rank | country | (births/1,000 population) | Date of Information |
| --- | --- | --- | --- |
| 1 | Niger | 51.60 | 2009 est. |
| 2 | Mali | 49.15 | 2009 est. |
| 3 | Uganda | 47.84 | 2009 est. |
| 4 | Afghanistan | 45.46 | 2009 est. |
| 5 | Sierra Leone | 44.73 | 2009 est. |
| 6 | Burkina Faso | 44.33 | 2009 est. |
| 7 | Somalia | 43.70 | 2009 est. |
| 8 | Angola | 43.69 | 2009 est. |
| 9 | Ethiopia | 43.66 | 2009 est. |
| 10 | Congo, Democratic Republic of the | 42.63 | 2009 est. |
| 11 | Liberia | 42.25 | 2009 est. |
| 12 | Yemen | 42.14 | 2009 est. |
| 13 | Malawi | 41.48 | 2009 est. |
| 14 | Burundi | 41.42 | 2009 est. |
| 15 | Congo, Republic of the | 41.37 | 2009 est. |
| 16 | Chad | 40.86 | 2009 est. |
| 17 | Zambia | 40.24 | 2009 est. |
| 18 | Rwanda | 39.67 | 2009 est. |
| 19 | Western Sahara | 39.54 | 2009 est. |
| 20 | Mayotte | 39.26 | 2009 est. |
| 21 | Benin | 39.22 | 2009 est. |
| 22 | Sao Tome and Principe | 38.54 | 2009 est. |
| 23 | Madagascar | 38.14 | 2009 est. |
| 24 | Djibouti | 38.13 | 2009 est. |
| 25 | Mozambique | 37.98 | 2009 est. |
| 26 | Gambia, The | 37.87 | 2009 est. |
| 27 | Guinea | 37.52 | 2009 est. |
| 28 | Gaza Strip | 36.93 | 2009 est. |
| 29 | Senegal | 36.84 | 2009 est. |
| 30 | Nigeria | 36.65 | 2009 est. |
| 31 | Kenya | 36.64 | 2009 est. |
| 32 | Equatorial Guinea | 36.52 | 2009 est. |
| 33 | Togo | 36.44 | 2009 est. |
| 34 | Guinea-Bissau | 35.97 | 2009 est. |
| 35 | Gabon | 35.57 | 2009 est. |
| 36 | Comoros | 35.23 | 2009 est. |
| 37 | Oman | 34.79 | 2009 est. |
| 38 | Tanzania | 34.29 | 2009 est. |
| 39 | Eritrea | 34.20 | 2009 est. |
| 40 | Mauritania | 34.11 | 2009 est. |
| 41 | Cameroon | 34.10 | 2009 est. |
| 42 | Laos | 33.94 | 2009 est. |
| 43 | Sudan | 33.74 | 2009 est. |
| 44 | Central African Republic | 32.75 | 2009 est. |
| 45 | Cote d'Ivoire | 32.11 | 2009 est. |
| 46 | Zimbabwe | 31.49 | 2009 est. |
| 47 | Marshall Islands | 30.70 | 2009 est. |
| 48 | Kiribati | 30.20 | 2009 est. |
| 49 | Iraq | 30.10 | 2009 est. |
| 50 | Haiti | 29.10 | 2009 est. |
| 51 | Ghana | 28.58 | 2009 est. |
| 52 | Saudi Arabia | 28.55 | 2009 est. |
| 53 | Paraguay | 28.17 | 2009 est. |
| 54 | Samoa | 28.06 | 2009 est. |
| 55 | Guatemala | 27.98 | 2009 est. |
| 56 | Solomon Islands | 27.69 | 2009 est. |
| 57 | Pakistan | 27.62 | 2009 est. |
| 58 | Papua New Guinea | 27.55 | 2009 est. |
| 59 | Belize | 27.33 | 2009 est. |
| 60 | Tajikistan | 26.90 | 2009 est. |
| 61 | Honduras | 26.27 | 2009 est. |
| 62 | Timor-Leste | 26.25 | 2009 est. |
| 63 | Swaziland | 26.25 | 2009 est. |
| 64 | Philippines | 26.01 | 2009 est. |
| 65 | Syria | 25.90 | 2009 est. |
| 66 | Bolivia | 25.82 | 2009 est. |
| 67 | Cambodia | 25.73 | 2009 est. |
| 68 | West Bank | 25.44 | 2009 est. |
| 69 | El Salvador | 25.31 | 2009 est. |
| 70 | Libya | 25.15 | 2009 est. |
| 71 | Bangladesh | 24.68 | 2009 est. |
| 72 | Lesotho | 24.14 | 2009 est. |
| 73 | Nauru | 23.90 | 2009 est. |
| 74 | Cape Verde | 23.50 | 2009 est. |
| 75 | Kyrgyzstan | 23.44 | 2009 est. |
| 76 | American Samoa | 23.31 | 2009 est. |
| 77 | Nicaragua | 23.25 | 2009 est. |
| 78 | Nepal | 23.18 | 2009 est. |
| 79 | Tuvalu | 23.11 | 2009 est. |
| 80 | Micronesia, Federated States of | 23.10 | 2009 est. |
| 81 | Botswana | 22.89 | 2009 est. |
| 82 | Namibia | 22.51 | 2009 est. |
| 83 | Dominican Republic | 22.39 | 2009 est. |
| 84 | Malaysia | 22.24 | 2009 est. |
| 85 | Fiji | 21.92 | 2009 est. |
| 86 | Kuwait | 21.81 | 2009 est. |
| 87 | India | 21.76 | 2009 est. |
| 88 | Egypt | 21.70 | 2009 est. |
| 89 | Vanuatu | 21.53 | 2009 est. |
| 90 | Grenada | 21.32 | 2009 est. |
| 91 | Mongolia | 21.05 | 2009 est. |
| 92 | Morocco | 20.96 | 2009 est. |
| 93 | Turks and Caicos Islands | 20.79 | 2009 est. |
| 94 | Ecuador | 20.77 | 2009 est. |
| 95 | Venezuela | 20.61 | 2009 est. |
| 96 | Panama | 20.18 | 2009 est. |
| 97 | Bhutan | 20.07 | 2009 est. |
| 98 | World | 19.95 | 2009 est. |
| 99 | South Africa | 19.93 | 2009 est. |
| 100 | Tonga | 19.84 | 2009 est. |
| 101 | Israel | 19.77 | 2009 est. |
