CIA - The World Factbook --  Median age   

This entry is the age that divides a population into two numerically equal groups; that is, half the people are younger than this age and half are older. It is a single index that summarizes the age distribution of a population. Currently, the median age ranges from a low of about 15 in Uganda and Gaza Strip to 40 or more in several European countries and Japan. See the entry for "Age structure" for the importance of a young versus an older age structure and, by implication, a low versus a higher median age.

| Rank | country | (years) | Date of Information |
| --- | --- | --- | --- |
| 1 | Monaco | 48.90 | 2010 est. |
| 2 | Japan | 44.60 | 2010 est. |
| 3 | Germany | 44.30 | 2010 est. |
| 4 | Italy | 43.70 | 2010 est. |
| 5 | Hong Kong | 42.80 | 2010 est. |
| 6 | Austria | 42.60 | 2010 est. |
| 7 | Finland | 42.30 | 2010 est. |
| 8 | Isle of Man | 42.30 | 2010 est. |
| 9 | Greece | 42.20 | 2010 est. |
| 10 | San Marino | 42.10 | 2010 est. |
| 11 | Slovenia | 42.10 | 2010 est. |
| 12 | Belgium | 42.00 | 2010 est. |
| 13 | Saint Pierre and Miquelon | 42.00 | 2010 est. |
| 14 | Guernsey | 41.90 | 2010 est. |
| 15 | Sweden | 41.70 | 2010 est. |
| 16 | Bermuda | 41.60 | 2010 est. |
| 17 | Bulgaria | 41.60 | 2010 est. |
| 18 | Liechtenstein | 41.40 | 2010 est. |
| 19 | Switzerland | 41.30 | 2010 est. |
| 20 | Croatia | 41.20 | 2010 est. |
| 21 | Serbia | 41.10 | 2010 est. |
| 22 | Netherlands | 40.80 | 2010 est. |
| 23 | Canada | 40.70 | 2010 est. |
| 24 | Denmark | 40.70 | 2010 est. |
| 25 | Czech Republic | 40.40 | 2010 est. |
| 26 | Latvia | 40.40 | 2010 est. |
| 27 | Bosnia and Herzegovina | 40.30 | 2010 est. |
| 28 | Estonia | 40.20 | 2010 est. |
| 29 | Jersey | 40.10 | 2010 est. |
| 30 | Spain | 40.10 | 2010 est. |
| 31 | Hungary | 40.00 | 2010 est. |
| 32 | Andorra | 39.90 | 2010 est. |
| 33 | Saint Barthelemy | 39.80 | 2010 est. |
| 34 | Virgin Islands | 39.80 | 2010 est. |
| 35 | United Kingdom | 39.80 | 2010 est. |
| 36 | France | 39.70 | 2010 est. |
