Field Listing :: Exports - commodities :: The World Factbook

This entry provides a listing of the highest-valued exported products; it sometimes includes the percent of total dollar value.

| Country | Exports - commodities |
| --- | --- |
| **Afghanistan** | opium, fruits and nuts, handwoven carpets, wool, cotton, hides and pelts, precious and semi-precious gems, and medical herbs |
| **Albania** | apparel and clothing, footwear; asphalt, metals and metallic ores, crude oil; cement and construction materials, vegetables, fruits, tobacco |
| **Algeria** | petroleum, natural gas, and petroleum products 97% (2009 est.) |
| **American Samoa** | canned tuna 93% |
| **Andorra** | tobacco products, furniture |
| **Angola** | crude oil, diamonds, refined petroleum products, coffee, sisal, fish and fish products, timber, cotton |
| **Anguilla** | lobster, fish, livestock, salt, concrete blocks, rum |
| **Antigua and Barbuda** | petroleum products, bedding, handicrafts, electronic components, transport equipment, food and live animals |
| **Argentina** | soybeans and derivatives, petroleum and gas, vehicles, corn, wheat |
| **Armenia** | unwrought copper, pig iron, nonferrous metals, gold, diamonds, mineral products, foodstuffs, brandy, cigarettes, energy |
| **Aruba** | live animals and animal products, art and collectibles, machinery and electrical equipment, transport equipment |
| **Australia** | iron ore, coal, gold, natural gas, beef, aluminum ores and conc, wheat, meat (excluding beef), wool, alumina, alcohol |
| **Austria** | machinery and equipment, motor vehicles and parts, manufactured goods, chemicals, iron and steel, foodstuffs |
| **Azerbaijan** | oil and gas roughly 90%, machinery, foodstuffs, cotton |
| **Bahamas, The** | Rock lobster, aragonite, crude salt, polystyrene products |
| **Bahrain** | petroleum and petroleum products, aluminum, textiles |
| **Bangladesh** | garments, knitwear, agricultural products, frozen food (fish and seafood), jute and jute goods, leather |
| **Barbados** | manufactures, sugar, molasses, rum, other foodstuffs and beverages, chemicals, electrical components |
| **Belarus** | machinery and equipment, mineral products, chemicals, metals, textiles, foodstuffs |
| **Belgium** | chemicals, machinery and equipment, finished diamonds, metals and metal products, foodstuffs |
| **Belize** | sugar, bananas, citrus, clothing, fish products, molasses, wood, crude oil |
| **Benin** | cotton, cashews, shea butter, textiles, palm products, seafood |
| **Bermuda** | reexports of pharmaceuticals |
| **Bhutan** | electricity (to India), ferrosilicon, cement, cardamom, calcium carbide, steel rods/bars, dolomite, gypsum |
| **Bolivia** | natural gas, silver, zinc, lead, tin, gold, quinoa, soybeans and soy products |
| **Bosnia and Herzegovina** | metals, clothing, wood products |
| **Botswana** | diamonds, copper, nickel, soda ash, beef, textiles |
| **Brazil** | transport equipment, iron ore, soybeans, footwear, coffee, automobiles |
| **British Virgin Islands** | rum, fresh fish, fruits, animals; gravel, sand |
| **Brunei** | mineral fuels, organic chemicals |
| **Bulgaria** | clothing, footwear, iron and steel, machinery and equipment, fuels, agriculture, tobacco, IT components |
| **Burkina Faso** | gold, cotton, livestock |
| **Burma** | natural gas; wood products; pulses and beans; fish; rice; clothing; minerals, including jade and gems |
| **Burundi** | coffee, tea, sugar, cotton, hides |
| **Cabo Verde** | fuel (re-exports), shoes, garments, fish, hides |
| **Cambodia** | clothing, timber, rubber, rice, fish, tobacco, footwear |
| **Cameroon** | crude oil and petroleum products, lumber, cocoa beans, aluminum, coffee, cotton |
| **Canada** | motor vehicles and parts, industrial machinery, aircraft, telecommunications equipment; chemicals, plastics, fertilizers; wood pulp, timber, crude petroleum, natural gas, electricity, aluminum |
| **Cayman Islands** | turtle products, manufactured consumer goods |
| **Central African Republic** | diamonds, timber, cotton, coffee |
| **Chad** | oil, livestock, cotton, sesame, gum arabic, shea butter |
| **Chile** | copper, fruit, fish products, paper and pulp, chemicals, wine |
| **China** | electrical and other machinery, including computers and telecommunications equipment, apparel, furniture, textiles |
| **Christmas Island** | phosphate |
| **Cocos (Keeling) Islands** | copra |
| **Colombia** | petroleum, coal, emeralds, coffee, nickel, cut flowers, bananas, apparel |
| **Comoros** | vanilla, ylang-ylang (perfume essence), cloves |
| **Congo, Democratic Republic of the** | diamonds, copper, gold, cobalt, wood products, crude oil, coffee |
| **Congo, Republic of the** | petroleum, lumber, plywood, sugar, cocoa, coffee, diamonds |
| **Cook Islands** | fish; copra, papayas, fresh and canned citrus fruit, coffee; pearls and pearl shells; clothing |
| **Costa Rica** | bananas, pineapples, coffee, melons, ornamental plants, sugar; beef; seafood; electronic components, medical equipment |
| **Cote d'Ivoire** | cocoa, coffee, timber, petroleum, cotton, bananas, pineapples, palm oil, fish |
| **Croatia** | transport equipment, machinery, textiles, chemicals, foodstuffs, fuels |
| **Cuba** | petroleum, nickel, medical products, sugar, tobacco, fish, citrus, coffee |
| **Curacao** | petroleum products |
| **Cyprus** | citrus, potatoes, pharmaceuticals, cement, clothing |
| **Czechia** | machinery and transport equipment, raw materials, fuel, chemicals |
| **Denmark** | wind turbines, pharmaceuticals, machinery and instruments, meat and meat products, dairy products, fish, furniture and design |
| **Djibouti** | reexports, hides and skins, scrap metal |
| **Dominica** | bananas, soap, bay oil, vegetables, grapefruit, oranges |
| **Dominican Republic** | gold, silver, cocoa, sugar, coffee, tobacco, meats, consumer goods |
| **Ecuador** | petroleum, bananas, cut flowers, shrimp, cacao, coffee, wood, fish |
| **Egypt** | crude oil and petroleum products, fruits and vegetables, cotton, textiles, metal products, chemicals, processed food |
| **El Salvador** | offshore assembly exports, coffee, sugar, textiles and apparel, ethanol, chemicals, electricity, iron and steel manufactures |
| **Equatorial Guinea** | petroleum products, timber |
| **Eritrea** | gold and other minerals, livestock, sorghum, textiles, food, small industry manufactures |
| **Estonia** | machinery and electrical equipment 30%, food products and beverages 9%, mineral fuels 6%, wood and wood products 14%, articles of base metals 7%, furniture and bedding 11%, vehicles and parts 3%, chemicals 4% (2016 est.) |
| **Eswatini** | soft drink concentrates, sugar, timber, cotton yarn, refrigerators, citrus, and canned fruit |
| **Ethiopia** | coffee (27%, by value), oilseeds (17%), edible vegetables including khat (17%), gold (13%), flowers (7%), live animals (7%), raw leather products (3%), meat products (3%) |
| **European Union** | machinery, motor vehicles, pharmaceuticals and other chemicals, fuels, aircraft, plastics, iron and steel, wood pulp and paper products, alcoholic beverages, furniture |
| **Falkland Islands (Islas Malvinas)** | wool, hides, meat, venison, fish, squid |
| **Faroe Islands** | fish and fish products (97%) (2017 est.) |
| **Fiji** | fuel, including oil, fish, beverages, gems, sugar, garments, gold, timber, fish, molasses, coconut oil, mineral water |
| **Finland** | electrical and optical equipment, machinery, transport equipment, paper and pulp, chemicals, basic metals; timber |
| **France** | machinery and transportation equipment, aircraft, plastics, chemicals, pharmaceutical products, iron and steel, beverages |
| **French Polynesia** | cultured pearls, coconut products, mother-of-pearl, vanilla, shark meat |
| **Gabon** | crude oil, timber, manganese, uranium |
| **Gambia, The** | peanut products, fish, cotton lint, palm kernels |
| **Gaza Strip** | strawberries, carnations, vegetables, fish (small and irregular shipments, as permitted to transit the Israeli-controlled Kerem Shalom crossing) |
| **Georgia** | vehicles, ferro-alloys, fertilizers, nuts, scrap metal, gold, copper ores |
| **Germany** | motor vehicles, machinery, chemicals, computer and electronic products, electrical equipment, pharmaceuticals, metals, transport equipment, foodstuffs, textiles, rubber and plastic products |
| **Ghana** | oil, gold, cocoa, timber, tuna, bauxite, aluminum, manganese ore, diamonds, horticultural products |
| **Gibraltar** | (principally reexports) petroleum 51%, manufactured goods (2010 est.) |
| **Greece** | food and beverages, manufactured goods, petroleum products, chemicals, textiles |
| **Greenland** | fish and fish products 91% (2015 est.) |
| **Grenada** | nutmeg, bananas, cocoa, fruit and vegetables, clothing, mace, chocolate, fish |
| **Guam** | transshipments of refined petroleum products, construction materials, fish, foodstuffs and beverages |
| **Guatemala** | sugar, coffee, petroleum, apparel, bananas, fruits and vegetables, cardamom, manufacturing products, precious stones and metals, electricity |
| **Guernsey** | tomatoes, flowers and ferns, sweet peppers, eggplant, other vegetables |
| **Guinea** | bauxite, gold, diamonds, coffee, fish, agricultural products |
| **Guinea-Bissau** | fish, shrimp; cashews, peanuts, palm kernels, raw and sawn lumber |
| **Guyana** | sugar, gold, bauxite, alumina, rice, shrimp, molasses, rum, timber |
| **Haiti** | apparel, manufactures, oils, cocoa, mangoes, coffee |
| **Honduras** | coffee, apparel, coffee, shrimp, automobile wire harnesses, cigars, bananas, gold, palm oil, fruit, lobster, lumber |
| **Hong Kong** | electrical machinery and appliances, textiles, apparel, watches and clocks, toys, "jewelry, goldsmiths' and silversmiths' wares, and other articles of precious or semi-precious materials"; Hong Kong plays an important role as entrepot to the Chinese mainland; in 2017, 58% of Hong Kongâ€™s re-exports originated in mainland China, and 54% were destined for the Chinese mainland |
| **Hungary** | machinery and equipment (55.8%), other manufactures (32.7%), food products (6.8%), raw materials (2.4%), fuels and electricity (2.3%) (2017 est.) |
| **Iceland** | fish and fish products (42%), aluminum (38%), agricultural products, medicinal and medical products, ferro-silicon (2015) |
| **India** | petroleum products, precious stones, vehicles, machinery, iron and steel, chemicals, pharmaceutical products, cereals, apparel |
