CIA - The World Factbook 2000 -- Telephone system

| Country | Telephone system |
| --- | --- |
| **Afghanistan** | *domestic:* very limited telephone and telegraph service; in 1997, telecommunications links were established between Mazar-e Sharif, Herat, Kandahar, Jalalabad, and Kabul through satellite and microwave systems |
| | *international:* satellite earth stations - 1 Intelsat (Indian Ocean) linked only to Iran and 1 Intersputnik (Atlantic Ocean region); commercial satellite telephone center in Ghazni |
| **Albania** | *domestic:* obsolete wire system; no longer provides a telephone for every village; in 1992, following the fall of the communist government, peasants cut the wire to about 1,000 villages and used it to build fences |
| | *international:* inadequate; international traffic carried by microwave radio relay from the Tirana exchange to Italy and Greece |
| **Algeria** | *domestic:* good service in north but sparse in south; domestic satellite system with 12 earth stations (20 additional domestic earth stations are planned) |
| | *international:* 5 submarine cables; microwave radio relay to Italy, France, Spain, Morocco, and Tunisia; coaxial cable to Morocco and Tunisia; participant in Medarabtel; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean), 1 Intersputnik, and 1 Arabsat |
| **American Samoa** | *domestic:* good telex, telegraph, facsimile and cellular telephone services; domestic satellite system with 1 Comsat earth station |
| | *international:* satellite earth station - 1 Intelsat (Pacific Ocean) |
| **Andorra** | *domestic:* modern system with microwave radio relay connections between exchanges |
| | *international:* landline circuits to France and Spain |
| **Angola** | telephone service limited mostly to government and business use; HF radiotelephone used extensively for military links |
| | *domestic:* limited system of wire, microwave radio relay, and tropospheric scatter |
| | *international:* satellite earth stations - 2 Intelsat (Atlantic Ocean) |
| **Anguilla** | *domestic:* modern internal telephone system |
| | *international:* microwave radio relay to island of Saint Martin (Guadeloupe and Netherlands Antilles) |
| **Antarctica** | *domestic:* NA |
| | *international:* NA |
| **Antigua and Barbuda** | *domestic:* good automatic telephone system |
| | *international:* 1 coaxial submarine cable; satellite earth station - 1 Intelsat (Atlantic Ocean); tropospheric scatter to Saba (Netherlands Antilles) and Guadeloupe |
| **Argentina** | 12,000 public telephones; extensive modern system but many families do not have telephones; despite extensive use of microwave radio relay, the telephone system frequently fails during rainstorms, even in Buenos Aires |
| | *domestic:* microwave radio relay and a domestic satellite system with 40 earth stations serve the trunk network |
| | *international:* satellite earth stations - 3 Intelsat (Atlantic Ocean); two international gateways near Buenos Aires; Atlantis II submarine cable (1999) |
| **Armenia** | system inadequate; now 90% privately owned and undergoing modernization and expansion |
| | *domestic:* the majority of subscribers and the most modern equipment are in Yerevan (this includes paging and mobile cellular service) |
| | *international:* Yerevan is connected to the Trans-Asia-Europe fiber-optic cable through Iran; additional international service is available by microwave radio relay and landline connections to the other countries of the Commonwealth of Independent States and through the Moscow international switch and by satellite to the rest of the world; satellite earth stations - 1 Intelsat |
| **Aruba** | *domestic:* more than adequate |
| | *international:* 1 submarine cable to Sint Maarten (Netherlands Antilles); extensive interisland microwave radio relay links |
| **Australia** | excellent domestic and international service |
| | *domestic:* domestic satellite system |
| | *international:* submarine cables to New Zealand, Papua New Guinea, and Indonesia; satellite earth stations - 10 Intelsat (4 Indian Ocean and 6 Pacific Ocean), 2 Inmarsat (Indian and Pacific Ocean regions) |
| **Austria** | *domestic:* highly developed and efficient |
| | *international:* satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean) and 2 Eutelsat |
| **Azerbaijan** | Azerbaijan's telephone system is a combination of old Soviet era technology used by Azerbaijani citizens and small- to medium-size commercial establishments, and modern cellular telephones used by an increasing middle class, large commercial ventures, international companies, and most government officials; the average citizen waits on a 200,000-person list for telephone service; Internet and e-mail service are available in Baku |
| | *domestic:* local - the majority of telephones are in Baku or other industrial centers - about 700 villages still do not have public telephone service; intercity; all long distance service must use Azertel's (Ministry of Communications) lines; satellite service connects Baku to a modern switch in its separated enclave of Naxcivan |
| | *international:* the old Soviet system of cable and microwave is still serviceable; satellite service between Baku and Turkey provides access to 200 countries; additional satellite providers supply services between Baku and specific countries; Azerbaijan is a signator of the Trans-Asia-Europe Fiber-Optic Line (TAE); their lines are not laid but a Turkish satellite and a microwave link between Azerbaijan and Iran could provide Azerbaijan worldwide access |
| **Bahamas, The** | *domestic:* totally automatic system; highly developed |
| | *international:* tropospheric scatter and submarine cable to Florida; 3 coaxial submarine cables; satellite earth station - 1 Intelsat (Atlantic Ocean) |
| **Bahrain** | modern system; good domestic services and excellent international connections |
| | *domestic:* modern fiber-optic integrated services; digital network with rapidly growing use of mobile cellular telephones |
| | *international:* tropospheric scatter to Qatar and UAE; microwave radio relay to Saudi Arabia; submarine cable to Qatar, UAE, and Saudi Arabia; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean) and 1 Arabsat |
| **Bangladesh** | *domestic:* modernizing; introducing digital systems; trunk systems include VHF and UHF microwave, and some fiber-optic cable in cities |
| | *international:* satellite earth stations - 2 Intelsat (Indian Ocean); international radiotelephone communications and landline service to neighboring countries |
| **Barbados** | *domestic:* island-wide automatic telephone system |
| | *international:* satellite earth stations - 4 Intelsat (Atlantic Ocean); tropospheric scatter to Trinidad and Saint Lucia |
| **Belarus** | the Ministry of Telecommunications controls all telecommunications through its carrier (a joint stock company) Beltelcom which is a monopoly |
| | *domestic:* local - Minsk has a digital metropolitan network and a cellular NMT-450 network; waiting lists for telephones are long; local service outside Minsk is neglected and poor; intercity - Belarus has a partly developed fiber-optic backbone system presently serving at least 13 major cities (1998); Belarus's fiber optics form synchronous digital hierarchy rings through other countries' systems; an inadequate analog system remains operational |
| | *international:* Belarus is a member of the Trans-European Line (TEL), Trans-Asia-Europe Fiber-Optic Line (TAE) and has access to the Trans-Siberia Line (TSL); three fiber-optic segments provide connectivity to Latvia, Poland, Russia, and Ukraine; worldwide service is available to Belarus through this infrastructure; additional analog lines to Russia; Intelsat, Eutelsat, and Intersputnik earth stations |
| **Belgium** | highly developed, technologically advanced, and completely automated domestic and international telephone and telegraph facilities |
| | *domestic:* nationwide cellular telephone system; extensive cable network; limited microwave radio relay network |
| | *international:* 5 submarine cables; satellite earth stations - 2 Intelsat (Atlantic Ocean) and 1 Eutelsat |
| **Belize** | above-average system |
| | *domestic:* trunk network depends primarily on microwave radio relay |
| | *international:* satellite earth station - 1 Intelsat (Atlantic Ocean) |
| **Benin** | *domestic:* fair system of open wire, microwave radio relay, and cellular connections |
| | *international:* satellite earth station - 1 Intelsat (Atlantic Ocean); submarine cable |
| **Bermuda** | *domestic:* modern, fully automatic telephone system |
| | *international:* 3 submarine cables; satellite earth stations - 3 Intelsat (Atlantic Ocean) |
| **Bhutan** | *domestic:* domestic telephone service is very poor with few telephones in use |
| | *international:* international telephone and telegraph service is by landline through India; a satellite earth station was planned (1990) |
| **Bolivia** | new subscribers face bureaucratic difficulties; most telephones are concentrated in La Paz and other cities |
| | *domestic:* primary trunk system, which is being expanded, employs digital microwave radio relay; some areas are served by fiber-optic cable; mobile cellular systems are being expanded |
| | *international:* satellite earth station - 1 Intelsat (Atlantic Ocean) |
| **Bosnia and Herzegovina** | telephone and telegraph network is in need of modernization and expansion; many urban areas are below average when compared with services in other former Yugoslav republics |
| | *domestic:* NA |
| | *international:* no satellite earth stations |
| **Botswana** | sparse system |
| | *domestic:* small system of open-wire lines, microwave radio relay links, and a few radiotelephone communication stations |
| | *international:* two international exchanges; digital microwave radio relay links to Zambia, Zimbabwe, and South Africa; satellite earth station - 1 Intelsat (Indian Ocean) |
| **Brazil** | good working system |
| | *domestic:* extensive microwave radio relay system and a domestic satellite system with 64 earth stations |
| | *international:* 3 coaxial submarine cables; satellite earth stations - 3 Intelsat (Atlantic Ocean), 1 Inmarsat (Atlantic Ocean region east), connected by microwave relay system to MERCOSUR Brazilsat B3 satellite earth station |
| **British Indian Ocean Territory** | separate facilities for military and public needs are available |
| | *domestic:* all commercial telephone services are available, including connection to the Internet |
| | *international:* international telephone service is carried by satellite (2000) |
| **British Virgin Islands** | worldwide telephone service |
| | *domestic:* NA |
| | *international:* submarine cable to Bermuda |
| **Brunei** | service throughout country is excellent; international service good to Europe, US, and East Asia |
| | *domestic:* NA |
| | *international:* satellite earth stations - 2 Intelsat (1 Indian Ocean and 1 Pacific Ocean); digital submarine cable links to Malaysia, Singapore, and Philippines |
| **Bulgaria** | more than two-thirds of the lines are residential |
| | *domestic:* extensive but antiquated transmission system of coaxial cable and microwave radio relay; telephone service is available in most villages; a more modern digital cable trunk line now connects switching centers in most of the regions, the others being connected by digital microwave |
| | *international:* direct dialing to 58 countries; satellite earth stations - 1 Intersputnik (Atlantic Ocean region); 2 Intelsat (Atlantic and Indian Ocean regions) |
| **Burkina Faso** | all services only fair |
| | *domestic:* microwave radio relay, open wire, and radiotelephone communication stations |
| | *international:* satellite earth station - 1 Intelsat (Atlantic Ocean) |
| **Burma** | meets minimum requirements for local and intercity service for business and government; international service is good |
| | *domestic:* NA |
| | *international:* satellite earth station - 1 Intelsat (Indian Ocean) |
| **Burundi** | primitive system |
| | *domestic:* sparse system of open wire, radiotelephone communications, and low-capacity microwave radio relay |
| | *international:* satellite earth station - 1 Intelsat (Indian Ocean) |
| **Cambodia** | adequate landline and/or cellular service in Phnom Penh and other provincial cities; rural areas have little telephone service |
| | *domestic:* NA |
| | *international:* adequate but expensive landline and cellular service available to all countries from Phnom Penh and major provincial cities; satellite earth station - 1 Intersputnik (Indian Ocean region) |
| **Cameroon** | available only to business and government |
| | *domestic:* cable, microwave radio relay, and tropospheric scatter |
| | *international:* satellite earth stations - 2 Intelsat (Atlantic Ocean) |
| **Canada** | excellent service provided by modern technology |
| | *domestic:* domestic satellite system with about 300 earth stations |
| | *international:* 5 coaxial submarine cables; satellite earth stations - 5 Intelsat (4 Atlantic Ocean and 1 Pacific Ocean) and 2 Intersputnik (Atlantic Ocean region) |
| **Cape Verde** | *domestic:* interisland microwave radio relay system with both analog and digital exchanges; work is in progress on a submarine fiber-optic cable system which was scheduled for completion in 1998 |
| | *international:* 2 coaxial submarine cables; HF radiotelephone to Senegal and Guinea-Bissau; satellite earth station - 1 Intelsat (Atlantic Ocean) |
| **Cayman Islands** | *domestic:* NA |
| | *international:* 1 submarine coaxial cable; satellite earth station - 1 Intelsat (Atlantic Ocean) |
| **Central African Republic** | fair system |
| | *domestic:* network consists principally of microwave radio relay and low-capacity, low-powered radiotelephone communication |
| | *international:* satellite earth station - 1 Intelsat (Atlantic Ocean) |
| **Chad** | primitive system |
| | *domestic:* fair system of radiotelephone communication stations |
| | *international:* satellite earth station - 1 Intelsat (Atlantic Ocean) |
| **Chile** | modern system based on extensive microwave radio relay facilities |
| | *domestic:* extensive microwave radio relay links; domestic satellite system with 3 earth stations |
| | *international:* satellite earth stations - 2 Intelsat (Atlantic Ocean) |
| **China** | domestic and international services are increasingly available for private use; unevenly distributed domestic system serves principal cities, industrial centers, and many towns |
| | *domestic:* interprovincial fiber-optic trunk lines and cellular telephone systems have been installed; a domestic satellite system with 55 earth stations is in place |
| | *international:* satellite earth stations - 5 Intelsat (4 Pacific Ocean and 1 Indian Ocean), 1 Intersputnik (Indian Ocean region) and 1 Inmarsat (Pacific and Indian Ocean regions); several international fiber-optic links to Japan, South Korea, Hong Kong, Russia, and Germany |
| **Christmas Island** | *domestic:* NA |
| | *international:* external telephone and telex services are provided by Intelsat satellite |
| **Cocos (Keeling) Islands** | *domestic:* NA |
| | *international:* telephone, telex, and facsimile communications with Australia and elsewhere via satellite; 1 satellite earth station of NA type |
| **Colombia** | modern system in many respects |
| | *domestic:* nationwide microwave radio relay system; domestic satellite system with 41 earth stations; fiber-optic network linking 50 cities |
| | *international:* satellite earth stations - 6 Intelsat, 1 Inmarsat; 3 fully digitalized international switching centers; 8 submarine cables |
| **Comoros** | sparse system of microwave radio relay and HF radiotelephone communication stations |
| | *domestic:* HF radiotelephone communications and microwave radio relay |
| | *international:* HF radiotelephone communications to Madagascar and Reunion |
| **Congo, Democratic Republic of the** | *domestic:* barely adequate wire and microwave radio relay service in and between urban areas; domestic satellite system with 14 earth stations |
| | *international:* satellite earth station - 1 Intelsat (Atlantic Ocean) |
| **Congo, Republic of the** | services barely adequate for government use; key exchanges are in Brazzaville, Pointe-Noire, and Loubomo; intercity lines frequently out-of-order |
| | *domestic:* primary network consists of microwave radio relay and coaxial cable |
| | *international:* satellite earth station - 1 Intelsat (Atlantic Ocean) |
| **Cook Islands** | *domestic:* the individual islands are connected by a combination of satellite earth stations, microwave systems, and VHF and HF radiotelephone; within the islands, service is provided by small exchanges connected to subscribers by open wire, cable, and fiber-optic cable |
| | *international:* satellite earth station - 1 Intelsat (Pacific Ocean) |
| **Costa Rica** | very good domestic telephone service |
| | *domestic:* point-to-point and point-to-multi-point microwave, fiber-optic and coaxial cable link rural areas; Internet service is available |
