CIA - The World Factbook 2002 -- Field Listing - Telephone system

| Country | Telephone system |
| --- | --- |
| **Afghanistan** | *general assessment:* very limited telephone and telegraph service |
| | *domestic:* in 1997, telecommunications links were established between Mazar-e Sharif, Herat, Kandahar, Jalalabad, and Kabul through satellite and microwave systems |
| | *international:* satellite earth stations - 1 Intelsat (Indian Ocean) linked only to Iran and 1 Intersputnik (Atlantic Ocean region); commercial satellite telephone center in Ghazni |
| **Albania** | *general assessment:* Albania has the poorest telephone service in Europe with fewer than two telephones per 100 inhabitants; it is doubtful that every village has telephone service |
| | *domestic:* obsolete wire system; no longer provides a telephone for every village; in 1992, following the fall of the Communist government, peasants cut the wire to about 1,000 villages and used it to build fences |
| | *international:* inadequate; international traffic carried by microwave radio relay from the Tirana exchange to Italy and Greece |
| **Algeria** | *general assessment:* telephone density in Algeria is very low, not exceeding five telephones per 100 persons; the number of fixed main lines increased in the last few years to a little more than 2,000,000, but only about two-thirds of these have subscribers; much of the infrastructure is outdated and inefficient |
| | *domestic:* good service in north but sparse in south; domestic satellite system with 12 earth stations (20 additional domestic earth stations are planned) |
| | *international:* 5 submarine cables; microwave radio relay to Italy, France, Spain, Morocco, and Tunisia; coaxial cable to Morocco and Tunisia; participant in Medarabtel; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean), 1 Intersputnik, and 1 Arabsat (1998) |
| **American Samoa** | *general assessment:* NA |
| | *domestic:* good telex, telegraph, facsimile and cellular telephone services; domestic satellite system with 1 Comsat earth station |
| | *international:* satellite earth station - 1 Intelsat (Pacific Ocean) |
| **Andorra** | *general assessment:* NA |
| | *domestic:* modern system with microwave radio relay connections between exchanges |
| | *international:* landline circuits to France and Spain |
| **Angola** | *general assessment:* telephone service limited mostly to government and business use; HF radiotelephone used extensively for military links |
| | *domestic:* limited system of wire, microwave radio relay, and tropospheric scatter |
| | *international:* satellite earth stations - 2 Intelsat (Atlantic Ocean) |
| **Anguilla** | *general assessment:* NA |
| | *domestic:* modern internal telephone system |
| | *international:* microwave radio relay to island of Saint Martin (Guadeloupe and Netherlands Antilles) |
| **Antarctica** | *general assessment:* local systems at some research stations |
| | *domestic:* NA |
| | *international:* via satellite from some research stations |
| **Antigua and Barbuda** | *general assessment:* NA |
| | *domestic:* good automatic telephone system |
| | *international:* 1 coaxial submarine cable; satellite earth station - 1 Intelsat (Atlantic Ocean); tropospheric scatter to Saba (Netherlands Antilles) and Guadeloupe |
| **Argentina** | *general assessment:* by opening the telecommunications market to competition and foreign investment with the "Telecommunications Liberalization Plan of 1998", Argentina encouraged the growth of modern telecommunication technology; fiber-optic cable trunk lines are being installed between all major cities; the major networks are entirely digital and the availability of telephone service is being improved; however, telephone density is presently minimal, and making telephone service universally available will take some time |
| | *domestic:* microwave radio relay, fiber-optic cable, and a domestic satellite system with 40 earth stations serve the trunk network; more than 110,000 pay telephones are installed and mobile telephone use is rapidly expanding |
| | *international:* satellite earth stations - 8 Intelsat (Atlantic Ocean); Atlantis II and Unisur submarine cables; two international gateways near Buenos Aires (1999) |
| **Armenia** | *general assessment:* system inadequate; now 90% privately owned and undergoing modernization and expansion |
| | *domestic:* the majority of subscribers and the most modern equipment are in Yerevan (this includes paging and mobile cellular service) |
| | *international:* Yerevan is connected to the Trans-Asia-Europe fiber-optic cable through Iran; additional international service is available by microwave radio relay and landline connections to the other countries of the Commonwealth of Independent States and through the Moscow international switch and by satellite to the rest of the world; satellite earth stations - 1 Intelsat (2000) |
| **Aruba** | *general assessment:* NA |
| | *domestic:* more than adequate |
| | *international:* 1 submarine cable to Sint Maarten (Netherlands Antilles); extensive interisland microwave radio relay links |
| **Australia** | *general assessment:* excellent domestic and international service |
| | *domestic:* domestic satellite system; much use of radiotelephone in areas of low population density; rapid growth of mobile cellular telephones |
| | *international:* submarine cables to New Zealand, Papua New Guinea, and Indonesia; satellite earth stations - 10 Intelsat (4 Indian Ocean and 6 Pacific Ocean), 2 Inmarsat (Indian and Pacific Ocean regions) (1998) |
| **Austria** | *general assessment:* highly developed and efficient |
| | *domestic:* there are 48 main lines for every 100 persons; the fiber optic net is very extensive; all telephone applications and Internet services are available |
| | *international:* satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean) and 1 Eutelsat; in addition, there are about 600 VSAT (very small aperture terminals) (2002) |
| **Azerbaijan** | *general assessment:* inadequate; requires considerable expansion and modernization; teledensity of 10 main lines per 100 persons is low (2002) |
| | *domestic:* the majority of telephones are in Baku and other industrial centers - about 700 villages still without public telephone service; satellite service connects Baku to a modern switch in its exclave of Naxcivan |
| | *international:* the old Soviet system of cable and microwave is still serviceable; a satellite connection to Turkey enables Baku to reach about 200 additional countries, some of which are directly connected to Baku by satellite providers other than Turkey (1997) |
| **Bahamas, The** | *general assessment:* modern facilities |
| | *domestic:* totally automatic system; highly developed |
| | *international:* tropospheric scatter and submarine cable to Florida; 3 coaxial submarine cables; satellite earth station - 1 Intelsat (Atlantic Ocean) (1997) |
| **Bahrain** | *general assessment:* modern system |
| | *domestic:* modern fiber-optic integrated services; digital network with rapidly growing use of mobile cellular telephones |
| | *international:* tropospheric scatter to Qatar and UAE; microwave radio relay to Saudi Arabia; submarine cable to Qatar, UAE, and Saudi Arabia; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean) and 1 Arabsat (1997) |
| **Bangladesh** | *general assessment:* totally inadequate for a modern country |
| | *domestic:* modernizing; introducing digital systems; trunk systems include VHF and UHF microwave radio relay links, and some fiber-optic cable in cities |
| | *international:* satellite earth stations - 2 Intelsat (Indian Ocean); international radiotelephone communications and landline service to neighboring countries (2000) |
| **Barbados** | *general assessment:* NA |
| | *domestic:* island-wide automatic telephone system |
| | *international:* satellite earth stations - 4 Intelsat (Atlantic Ocean); tropospheric scatter to Trinidad and Saint Lucia |
| **Belarus** | *general assessment:* the Ministry of Telecommunications controls all telecommunications through its carrier (a joint stock company) Beltelcom which is a monopoly |
| | *domestic:* local - Minsk has a digital metropolitan network and a cellular NMT-450 network; waiting lists for telephones are long; local service outside Minsk is neglected and poor; intercity - Belarus has a partly developed fiber-optic backbone system presently serving at least 13 major cities (1998); Belarus's fiber optics form synchronous digital hierarchy rings through other countries' systems; an inadequate analog system remains operational |
| | *international:* Belarus is a member of the Trans-European Line (TEL), Trans-Asia-Europe (TAE) fiber-optic line, and has access to the Trans-Siberia Line (TSL); three fiber-optic segments provide connectivity to Latvia, Poland, Russia, and Ukraine; worldwide service is available to Belarus through this infrastructure; additional analog lines to Russia; Intelsat, Eutelsat, and Intersputnik earth stations |
| **Belgium** | *general assessment:* highly developed, technologically advanced, and completely automated domestic and international telephone and telegraph facilities |
| | *domestic:* nationwide cellular telephone system; extensive cable network; limited microwave radio relay network |
| | *international:* 5 submarine cables; satellite earth stations - 2 Intelsat (Atlantic Ocean) and 1 Eutelsat |
| **Belize** | *general assessment:* above-average system |
| | *domestic:* trunk network depends primarily on microwave radio relay |
| | *international:* satellite earth station - 1 Intelsat (Atlantic Ocean) |
| **Benin** | *general assessment:* NA |
| | *domestic:* fair system of open wire, microwave radio relay, and cellular connections |
| | *international:* satellite earth station - 1 Intelsat (Atlantic Ocean); submarine cable |
| **Bermuda** | *general assessment:* NA |
| | *domestic:* modern, fully automatic telephone system |
| | *international:* 3 submarine cables; satellite earth stations - 3 Intelsat (Atlantic Ocean) |
| **Bhutan** | *general assessment:* NA |
| | *domestic:* domestic telephone service is very poor with few telephones in use |
| | *international:* international telephone and telegraph service is by landline through India; a satellite earth station was planned (1990) |
| **Bolivia** | *general assessment:* new subscribers face bureaucratic difficulties; most telephones are concentrated in La Paz and other cities; mobile cellular telephone use expanding rapidly |
