CIA - The World Factbook -- Field Listing :: Sanitation facility access   

This entry provides information about access to improved or unimproved sanitation facilities available to segments of the population of a country. improved sanitation - use of any of the following facilities: flush or pour-flush to a piped sewer system, septic tank or pit latrine; ventilated improved pit (VIP) latrine; pit latrine with slab; or a composting toilet. unimproved sanitation - use of any of the following facilities: flush or pour-flush not piped to a sewer system, septic tank or pit latrine; pit latrine without a slab or open pit; bucket; hanging toilet or hanging latrine; shared facilities of any type; no facilities; or bush or field.

| Country | Sanitation facility access(% of population) |
| --- | --- |
| **Afghanistan** | *Improved:* |
| | *urban:* 60% of population |
| | *rural:* 30% of population |
| | *total:* 37% of population |
| | *Unimproved:* |
| | *urban:* 40% of population |
| | *rural:* 70% of population |
| | *total:* 63% of population |
| **Albania** | *improved:* |
| | *urban:* 98% of population |
| | *rural:* 98% of population |
| | *total:* 98% of population |
| | *unimproved:* |
| | *urban:* 2% of population |
| | *rural:* 2% of population |
| | *total:* 2% of population |
| **Algeria** | *improved:* |
| | *urban:* 98% of population |
| | *rural:* 88% of population |
| | *total:* 95% of population |
| | *unimproved:* |
| | *urban:* 2% of population |
| | *rural:* 12% of population |
| | *total:* 5% of population |
| **Andorra** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Angola** | *improved:* |
| | *urban:* 86% of population |
| | *rural:* 18% of population |
| | *total:* 57% of population |
| | *unimproved:* |
| | *urban:* 14% of population |
| | *rural:* 82% of population |
| | *total:* 43% of population |
| **Anguilla** | *improved:* |
| | *urban:* 99% of population |
| | *total:* 99% of population |
| | *unimproved:* |
| | *urban:* 1% of population |
| | *total:* 1% of population |
| **Antigua and Barbuda** | *improved:* |
| | *urban:* 98% of population |
| | *rural:* 94% of population |
| | *total:* 95% of population |
| | *unimproved:* |
| | *urban:* 2% of population |
| | *rural:* 6% of population |
| | *total:* 5% of population |
| **Argentina** | *improved:* |
| | *urban:* 91% of population |
| | *rural:* 77% of population |
| | *total:* 90% of population |
| | *unimproved:* |
| | *urban:* 9% of population |
| | *rural:* 23% of population |
| | *total:* 10% of population |
| **Armenia** | *improved:* |
| | *urban:* 95% of population |
| | *rural:* 80% of population |
| | *total:* 90% of population |
| | *unimproved:* |
| | *urban:* 5% of population |
| | *rural:* 20% of population |
| | *total:* 10% of population |
| **Australia** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Austria** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Azerbaijan** | *improved:* |
| | *urban:* 51% of population |
| | *rural:* 39% of population |
| | *total:* 45% of population |
| | *unimproved:* |
| | *urban:* 49% of population |
| | *rural:* 61% of population |
| | *total:* 55% of population |
| **Bahamas, The** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Bahrain** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Bangladesh** | *improved:* |
| | *urban:* 56% of population |
| | *rural:* 52% of population |
| | *total:* 53% of population |
| | *unimproved:* |
| | *urban:* 44% of population |
| | *rural:* 48% of population |
| | *total:* 47% of population |
| **Barbados** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Belarus** | *improved:* |
| | *urban:* 91% of population |
| | *rural:* 97% of population |
| | *total:* 93% of population |
| | *unimproved:* |
| | *urban:* 9% of population |
| | *rural:* 3% of population |
| | *total:* 7% of population |
| **Belgium** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Belize** | *improved:* |
| | *urban:* 93% of population |
| | *rural:* 86% of population |
| | *total:* 90% of population |
| | *unimproved:* |
| | *urban:* 7% of population |
| | *rural:* 14% of population |
| | *total:* 10% of population |
| **Benin** | *improved:* |
| | *urban:* 24% of population |
| | *rural:* 4% of population |
| | *total:* 12% of population |
| | *unimproved:* |
| | *urban:* 76% of population |
| | *rural:* 96% of population |
| | *total:* 88% of population |
| **Bhutan** | *improved:* |
| | *urban:* 87% of population |
| | *rural:* 54% of population |
| | *total:* 65% of population |
| | *unimproved:* |
| | *urban:* 13% of population |
| | *rural:* 46% of population |
| | *total:* 35% of population |
| **Bolivia** | *improved:* |
| | *urban:* 34% of population |
| | *rural:* 9% of population |
| | *total:* 25% of population |
| | *unimproved:* |
| | *urban:* 66% of population |
| | *rural:* 91% of population |
| | *total:* 75% of population |
| **Bosnia and Herzegovina** | *improved:* |
| | *urban:* 99% of population |
| | *rural:* 92% of population |
| | *total:* 95% of population |
| | *unimproved:* |
| | *urban:* 1% of population |
| | *rural:* 8% of population |
| | *total:* 5% of population |
| **Botswana** | *improved:* |
| | *urban:* 74% of population |
| | *rural:* 39% of population |
| | *total:* 60% of population |
| | *unimproved:* |
| | *urban:* 26% of population |
| | *rural:* 61% of population |
| | *total:* 40% of population |
| **Brazil** | *improved:* |
| | *urban:* 87% of population |
| | *rural:* 37% of population |
| | *total:* 80% of population |
| | *unimproved:* |
| | *urban:* 13% of population |
| | *rural:* 63% of population |
| | *total:* 20% of population |
| **British Virgin Islands** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Bulgaria** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Burkina Faso** | *improved:* |
| | *urban:* 33% of population |
| | *rural:* 6% of population |
| | *total:* 11% of population |
| | *unimproved:* |
| | *urban:* 67% of population |
| | *rural:* 94% of population |
| | *total:* 89% of population |
| **Burma** | *improved:* |
| | *urban:* 86% of population |
| | *rural:* 79% of population |
| | *total:* 81% of population |
| | *unimproved:* |
| | *urban:* 14% of population |
| | *rural:* 21% of population |
| | *total:* 19% of population |
| **Burundi** | *improved:* |
| | *urban:* 49% of population |
| | *rural:* 46% of population |
| | *total:* 46% of population |
| | *unimproved:* |
| | *urban:* 51% of population |
| | *rural:* 54% of population |
| | *total:* 54% of population |
| **Cambodia** | *improved:* |
| | *urban:* 67% of population |
| | *rural:* 18% of population |
| | *total:* 29% of population |
| | *unimproved:* |
| | *urban:* 33% of population |
| | *rural:* 82% of population |
| | *total:* 71% of population |
| **Cameroon** | *improved:* |
| | *urban:* 56% of population |
| | *rural:* 35% of population |
| | *total:* 47% of population |
| | *unimproved:* |
| | *urban:* 44% of population |
| | *rural:* 65% of population |
| | *total:* 53% of population |
| **Canada** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 99% of population |
| | *total:* 100% of population |
| | *unimproved:* |
| | *urban:* 0% of population |
| | *rural:* 1% of population |
| | *total:* 0% of population |
| **Cape Verde** | *improved:* |
| | *urban:* 65% of population |
| | *rural:* 38% of population |
| | *total:* 54% of population |
| | *unimproved:* |
| | *urban:* 35% of population |
| | *rural:* 62% of population |
| | *total:* 46% of population |
| **Cayman Islands** | *improved:* |
| | *urban:* 96% of population |
| | *total:* 96% of population |
| | *unimproved:* |
| | *urban:* 4% of population |
| | *total:* 4% of population |
| **Central African Republic** | *improved:* |
| | *urban:* 43% of population |
| | *rural:* 28% of population |
| | *total:* 34% of population |
| | *unimproved:* |
| | *urban:* 57% of population |
| | *rural:* 72% of population |
| | *total:* 66% of population |
| **Chad** | *improved:* |
| | *urban:* 23% of population |
| | *rural:* 4% of population |
| | *total:* 9% of population |
| | *unimproved:* |
| | *urban:* 77% of population |
| | *rural:* 96% of population |
| | *total:* 91% of population |
| **Chile** | *improved:* |
| | *urban:* 98% of population |
| | *rural:* 83% of population |
| | *total:* 96% of population |
| | *unimproved:* |
| | *urban:* 2% of population |
| | *rural:* 17% of population |
| | *total:* 4% of population |
| **China** | *improved:* |
| | *urban:* 58% of population |
| | *rural:* 52% of population |
| | *total:* 55% of population |
| | *unimproved:* |
| | *urban:* 42% of population |
| | *rural:* 48% of population |
| | *total:* 45% of population |
| **Colombia** | *improved:* |
| | *urban:* 81% of population |
| | *rural:* 55% of population |
| | *total:* 74% of population |
| | *unimproved:* |
| | *urban:* 19% of population |
| | *rural:* 45% of population |
| | *total:* 26% of population |
| **Comoros** | *improved:* |
| | *urban:* 50% of population |
| | *rural:* 30% of population |
| | *total:* 36% of population |
| | *unimproved:* |
| | *urban:* 50% of population |
| | *rural:* 70% of population |
| | *total:* 64% of population |
| **Congo, Democratic Republic of the** | *improved:* |
| | *urban:* 23% of population |
| | *rural:* 23% of population |
| | *total:* 23% of population |
| | *unimproved:* |
| | *urban:* 67% of population |
| | *rural:* 67% of population |
| | *total:* 67% of population |
| **Congo, Republic of the** | *improved:* |
| | *urban:* 31% of population |
| | *rural:* 29% of population |
| | *total:* 30% of population |
| | *unimproved:* |
| | *urban:* 69% of population |
| | *rural:* 71% of population |
| | *total:* 70% of population |
| **Cook Islands** | *improved:* |
| | *urban:* 100% of population |
| | *rural:* 100% of population |
| | *total:* 100% of population |
| **Costa Rica** | *improved:* |
| | *urban:* 95% of population |
| | *rural:* 96% of population |
| | *total:* 95% of population |
| | *unimproved:* |
| | *urban:* 5% of population |
| | *rural:* 4% of population |
| | *total:* 5% of population |
| **Cote d'Ivoire** | *improved:* |
| | *urban:* 36% of population |
| | *rural:* 11% of population |
| | *total:* 23% of population |
| | *unimproved:* |
| | *urban:* 64% of population |
| | *rural:* 89% of population |
| | *total:* 77% of population |
| **Croatia** | *improved:* |
| | *urban:* 99% of population |
| | *rural:* 98% of population |
| | *total:* 99% of population |
| | *unimproved:* |
| | *urban:* 1% of population |
| | *rural:* 2% of population |
| | *total:* 1% of population |
| **Cuba** | *improved:* |
| | *urban:* 94% of population |
| | *rural:* 81% of population |
| | *total:* 91% of population |
| | *unimproved:* |
| | *urban:* 6% of population |
| | *rural:* 19% of population |
| | *total:* 9% of population |
