CIA - The World Factbook --  Physicians density   

This entry gives the number of medical doctors (physicians), including generalist and specialist medical practitioners, per 1,000 of the population. Medical doctors are defined as doctors that study, diagnose, treat, and prevent illness, disease, injury, and other physical and mental impairments in humans through the application of modern medicine. They also plan, supervise, and evaluate care and treatment plans by other health care providers. The World Health Organization estimates that fewer than 2.3 health workers (physicians, nurses, and midwives only) per 1,000 would be insufficient to achieve coverage of primary healthcare needs.

| Rank | country | (physicians/1,000 population) | Date of Information |
| --- | --- | --- | --- |
| 1 | Monaco | 7.06 | 2011 |
| 2 | Cuba | 6.72 | 2010 |
| 3 | Greece | 6.04 | 2008 |
| 4 | Niue | 6.00 | 2008 |
| 5 | San Marino | 4.88 | 2011 |
| 6 | Austria | 4.86 | 2010 |
| 7 | Russia | 4.31 | 2006 |
| 8 | Georgia | 4.24 | 2011 |
| 9 | Switzerland | 4.08 | 2010 |
| 10 | Norway | 4.08 | 2008 |
| 11 | Spain | 3.96 | 2011 |
| 12 | Netherlands | 3.92 | 2007 |
| 13 | Andorra | 3.91 | 2009 |
| 14 | Sweden | 3.87 | 2009 |
| 15 | Australia | 3.85 | 2010 |
| 16 | Kazakhstan | 3.84 | 2011 |
| 17 | Italy | 3.80 | 2009 |
| 18 | Belgium | 3.78 | 2010 |
| 19 | Bulgaria | 3.76 | 2010 |
| 20 | Belarus | 3.76 | 2011 |
| 21 | Portugal | 3.76 | 2009 |
| 22 | Uruguay | 3.74 | 2008 |
| 23 | Czech Republic | 3.71 | 2010 |
| 24 | Germany | 3.69 | 2010 |
| 25 | Moldova | 3.64 | 2011 |
| 26 | Lithuania | 3.64 | 2010 |
| 27 | Lebanon | 3.54 | 2009 |
| 28 | Ukraine | 3.52 | 2011 |
| 29 | Iceland | 3.46 | 2011 |
| 30 | Denmark | 3.42 | 2007 |
| 31 | Hungary | 3.41 | 2010 |
| 32 | France | 3.38 | 2011 |
| 33 | Azerbaijan | 3.38 | 2011 |
| 34 | Estonia | 3.34 | 2010 |
| 35 | Korea, North | 3.29 | 2003 |
| 36 | Malta | 3.23 | 2011 |
| 37 | Ireland | 3.19 | 2008 |
| 38 | Argentina | 3.16 | 2004 |
| 39 | Israel | 3.11 | 2011 |
| 40 | Slovakia | 3.00 | 2007 |
| 41 | Latvia | 2.90 | 2010 |
| 42 | Cook Islands | 2.89 | 2009 |
| 43 | Armenia | 2.85 | 2011 |
| 44 | Egypt | 2.83 | 2009 |
| 45 | Bahamas, The | 2.82 | 2008 |
| 46 | Luxembourg | 2.78 | 2011 |
| 47 | United Kingdom | 2.77 | 2011 |
| 48 | Mongolia | 2.76 | 2008 |
| 49 | Qatar | 2.76 | 2006 |
| 50 | Cyprus | 2.75 | 2010 |
| 51 | New Zealand | 2.74 | 2010 |
| 52 | Finland | 2.74 | 2008 |
| 53 | Croatia | 2.72 | 2010 |
| 54 | Macedonia | 2.62 | 2009 |
| 55 | Jordan | 2.56 | 2010 |
| 56 | Slovenia | 2.54 | 2010 |
| 57 | Uzbekistan | 2.54 | 2010 |
| 58 | Kyrgyzstan | 2.47 | 2011 |
| 59 | Turkmenistan | 2.44 | 2007 |
| 60 | United States | 2.42 | 2009 |
| 61 | Romania | 2.39 | 2010 |
| 62 | Japan | 2.14 | 2008 |
| 63 | Serbia | 2.11 | 2009 |
| 64 | Canada | 2.07 | 2010 |
| 65 | Poland | 2.07 | 2010 |
| 66 | Oman | 2.05 | 2010 |
| 67 | Montenegro | 2.03 | 2010 |
| 68 | Korea, South | 2.02 | 2010 |
| 69 | Mexico | 1.96 | 2009 |
| 70 | Venezuela | 1.94 | 2001 |
| 71 | United Arab Emirates | 1.93 | 2007 |
| 72 | Singapore | 1.92 | 2010 |
| 73 | Libya | 1.90 | 2009 |
| 74 | Tajikistan | 1.90 | 2011 |
| 75 | Dominican Republic | 1.88 | 2000 |
| 76 | Barbados | 1.81 | 2005 |
| 77 | Kuwait | 1.79 | 2009 |
| 78 | Brazil | 1.76 | 2008 |
| 79 | Turkey | 1.71 | 2011 |
| 80 | Bosnia and Herzegovina | 1.69 | 2010 |
| 81 | Ecuador | 1.69 | 2009 |
| 82 | El Salvador | 1.60 | 2008 |
| 83 | Maldives | 1.60 | 2007 |
| 84 | Dominica | 1.59 | 2001 |
| 85 | Seychelles | 1.51 | 2004 |
| 86 | Syria | 1.50 | 2008 |
| 87 | Panama | 1.50 | 2000 |
| 88 | Bahrain | 1.49 | 2010 |
| 89 | Colombia | 1.47 | 2010 |
| 90 | China | 1.46 | 2010 |
| 91 | Palau | 1.38 | 2010 |
| 92 | Brunei | 1.36 | 2010 |
| 93 | Costa Rica | 1.32 | 2000 |
| 94 | Vietnam | 1.22 | 2008 |
| 95 | Tunisia | 1.22 | 2010 |
| 96 | Bolivia | 1.22 | 2001 |
| 97 | Algeria | 1.21 | 2007 |
| 98 | Malaysia | 1.20 | 2010 |
| 99 | Trinidad and Tobago | 1.18 | 2007 |
| 100 | Saint Kitts and Nevis | 1.17 | 2001 |
| 101 | Philippines | 1.15 | 2004 |
| 102 | Albania | 1.11 | 2011 |
| 103 | Paraguay | 1.11 | 2002 |
| 104 | Tuvalu | 1.09 | 2009 |
| 105 | Mauritius | 1.06 | 2004 |
| 106 | Chile | 1.03 | 2009 |
| 107 | Saudi Arabia | 0.94 | 2008 |
| 108 | Guatemala | 0.93 | 2009 |
| 109 | Peru | 0.92 | 2009 |
| 110 | Suriname | 0.91 | 2004 |
| 111 | Iran | 0.89 | 2005 |
| 112 | Belize | 0.83 | 2009 |
| 113 | Pakistan | 0.81 | 2009 |
| 114 | South Africa | 0.76 | 2011 |
| 115 | Nauru | 0.71 | 2010 |
| 116 | Grenada | 0.66 | 2006 |
| 117 | India | 0.65 | 2009 |
| 118 | Morocco | 0.62 | 2009 |
| 119 | Iraq | 0.61 | 2010 |
| 120 | Tonga | 0.56 | 2010 |
| 121 | Saint Vincent and the Grenadines | 0.53 | 2001 |
| 122 | Burma | 0.50 | 2010 |
| 123 | Sri Lanka | 0.49 | 2006 |
| 124 | Sao Tome and Principe | 0.49 | 2004 |
| 125 | Samoa | 0.48 | 2008 |
| 126 | Saint Lucia | 0.47 | 2002 |
| 127 | Marshall Islands | 0.44 | 2010 |
| 128 | Fiji | 0.43 | 2009 |
| 129 | Jamaica | 0.41 | 2008 |
| 130 | Nigeria | 0.40 | 2008 |
| 131 | Kiribati | 0.38 | 2010 |
| 132 | Namibia | 0.37 | 2007 |
| 133 | Honduras | 0.37 | 2005 |
| 134 | Nicaragua | 0.37 | 2003 |
| 135 | Bangladesh | 0.36 | 2011 |
| 136 | Botswana | 0.34 | 2006 |
| 137 | Equatorial Guinea | 0.30 | 2004 |
| 138 | Thailand | 0.30 | 2004 |
| 139 | Cabo Verde | 0.30 | 2010 |
| 140 | Gabon | 0.29 | 2004 |
| 141 | Sudan | 0.28 | 2008 |
| 142 | Haiti | 0.25 | 1998 |
| 143 | Djibouti | 0.23 | 2006 |
| 144 | Cambodia | 0.23 | 2008 |
| 145 | Solomon Islands | 0.22 | 2009 |
| 146 | Guyana | 0.21 | 2010 |
| 147 | Nepal | 0.21 | 2004 |
| 148 | Indonesia | 0.20 | 2012 |
| 149 | Yemen | 0.20 | 2010 |
| 150 | Afghanistan | 0.19 | 2010 |
| 151 | Laos | 0.19 | 2009 |
| 152 | Kenya | 0.18 | 2011 |
| 153 | Micronesia, Federated States of | 0.18 | 2009 |
| 154 | Antigua and Barbuda | 0.17 | 1999 |
| 155 | Swaziland | 0.17 | 2009 |
| 156 | Angola | 0.17 | 2009 |
| 157 | Madagascar | 0.16 | 2007 |
| 158 | Comoros | 0.15 | 2004 |
| 159 | Cote d'Ivoire | 0.14 | 2008 |
| 160 | Mauritania | 0.13 | 2009 |
| 161 | Vanuatu | 0.12 | 2008 |
| 162 | Uganda | 0.12 | 2005 |
| 163 | Congo, Democratic Republic of the | 0.11 | 2004 |
| 164 | Gambia, The | 0.11 | 2008 |
| 165 | Timor-Leste | 0.10 | 2004 |
| 166 | Guinea | 0.10 | 2005 |
| 167 | Congo, Republic of the | 0.10 | 2007 |
| 168 | Ghana | 0.09 | 2009 |
| 169 | Mali | 0.08 | 2010 |
| 170 | Cameroon | 0.08 | 2009 |
| 171 | Bhutan | 0.07 | 2008 |
| 172 | Guinea-Bissau | 0.07 | 2009 |
| 173 | Zambia | 0.07 | 2010 |
| 174 | Zimbabwe | 0.06 | 2009 |
| 175 | Senegal | 0.06 | 2008 |
| 176 | Benin | 0.06 | 2008 |
| 177 | Rwanda | 0.06 | 2010 |
| 178 | Togo | 0.05 | 2008 |
