CIA - The World Factbook --  Physicians density   

This entry gives the number of medical doctors (physicians), including generalist and specialist medical practitioners, per 1,000 of the population. Medical doctors are defined as doctors that study, diagnose, treat, and prevent illness, disease, injury, and other physical and mental impairments in humans through the application of modern medicine. They also plan, supervise, and evaluate care and treatment plans by other health care providers. The World Health Organization estimates that fewer than 2.3 health workers (physicians, nurses, and midwives only) per 1,000 would be insufficient to achieve coverage of primary healthcare needs.

| Rank | country | (physicians/1,000 population) | Date of Information |
| --- | --- | --- | --- |
| 1 | Cuba | 6.40 | 2007 |
| 2 | Greece | 6.04 | 2008 |
| 3 | Monaco | 5.81 | 1995 |
| 4 | Belarus | 4.87 | 2007 |
| 5 | Austria | 4.75 | 2009 |
| 6 | Georgia | 4.54 | 2007 |
| 7 | Russia | 4.31 | 2006 |
| 8 | Italy | 4.24 | 2008 |
| 9 | Norway | 4.08 | 2008 |
| 10 | Switzerland | 4.07 | 2009 |
| 11 | Niue | 4.00 | 2006 |
| 12 | Iceland | 3.93 | 2008 |
| 13 | Netherlands | 3.92 | 2007 |
| 14 | Kazakhstan | 3.88 | 2007 |
| 15 | Azerbaijan | 3.79 | 2007 |
| 16 | Portugal | 3.76 | 2009 |
| 17 | Uruguay | 3.74 | 2008 |
| 18 | Andorra | 3.72 | 2007 |
| 19 | Spain | 3.71 | 2009 |
| 20 | Armenia | 3.70 | 2007 |
| 21 | Lithuania | 3.66 | 2008 |
| 22 | Bulgaria | 3.64 | 2008 |
| 23 | Israel | 3.63 | 2007 |
| 24 | Czech Republic | 3.63 | 2008 |
| 25 | Sweden | 3.58 | 2006 |
| 26 | Lebanon | 3.54 | 2009 |
| 27 | Germany | 3.53 | 2008 |
| 28 | France | 3.50 | 2008 |
| 29 | Denmark | 3.42 | 2007 |
| 30 | Estonia | 3.41 | 2008 |
| 31 | Korea, North | 3.29 | 2003 |
| 32 | Ireland | 3.19 | 2008 |
| 33 | Argentina | 3.16 | 2004 |
| 34 | Ukraine | 3.13 | 2006 |
| 35 | Hungary | 3.10 | 2008 |
| 36 | Malta | 3.07 | 2009 |
| 37 | Slovakia | 3.00 | 2007 |
| 38 | Australia | 2.99 | 2009 |
| 39 | Latvia | 2.99 | 2009 |
| 40 | Belgium | 2.99 | 2008 |
| 41 | Mexico | 2.89 | 2004 |
| 42 | Luxembourg | 2.86 | 2007 |
| 43 | Egypt | 2.83 | 2009 |
| 44 | Mongolia | 2.76 | 2008 |
| 45 | Qatar | 2.76 | 2006 |
| 46 | United Kingdom | 2.74 | 2009 |
| 47 | Finland | 2.74 | 2008 |
| 48 | United States | 2.67 | 2004 |
| 49 | Moldova | 2.67 | 2007 |
| 50 | Uzbekistan | 2.62 | 2007 |
| 51 | Croatia | 2.59 | 2007 |
| 52 | Macedonia | 2.55 | 2006 |
| 53 | Slovenia | 2.47 | 2008 |
| 54 | Jordan | 2.45 | 2009 |
| 55 | Turkmenistan | 2.44 | 2007 |
| 56 | New Zealand | 2.38 | 2007 |
| 57 | Kyrgyzstan | 2.30 | 2007 |
| 58 | Cyprus | 2.30 | 2006 |
| 59 | Poland | 2.14 | 2008 |
| 60 | Japan | 2.06 | 2006 |
| 61 | Serbia | 2.04 | 2007 |
| 62 | Tajikistan | 2.01 | 2006 |
| 63 | Korea, South | 1.97 | 2008 |
| 64 | Venezuela | 1.94 | 2001 |
| 65 | United Arab Emirates | 1.93 | 2007 |
| 66 | Romania | 1.92 | 2006 |
| 67 | Canada | 1.91 | 2006 |
| 68 | Oman | 1.90 | 2008 |
| 69 | Libya | 1.90 | 2009 |
| 70 | Singapore | 1.83 | 2009 |
| 71 | Barbados | 1.81 | 2005 |
| 72 | Kuwait | 1.79 | 2009 |
