CIA - The World Factbook --  Gross national saving   

Gross national saving is derived by deducting final consumption expenditure (household plus government) from Gross national disposable income, and consists of personal saving, plus business saving (the sum of the capital consumption allowance and retained business profits), plus government saving (the excess of tax revenues over expenditures), but excludes foreign saving (the excess of imports of goods and services over exports). The figures are presented as a percent of GDP. A negative number indicates that the economy as a whole is spending more income than it produces, thus drawing down national wealth (dissaving).

| Rank | country | (% of GDP) | Date of Information |
| --- | --- | --- | --- |
| 1 | Kuwait | 59.00 | 2012 est. |
| 2 | Qatar | 58.80 | 2012 est. |
| 3 | Congo, Republic of the | 56.20 | 2012 est. |
| 4 | China | 50.10 | 2012 est. |
| 5 | Saudi Arabia | 48.80 | 2012 est. |
| 6 | Gabon | 47.10 | 2012 est. |
| 7 | Singapore | 45.60 | 2012 est. |
| 8 | Chad | 45.60 | 2012 est. |
| 9 | Azerbaijan | 44.40 | 2012 est. |
| 10 | Algeria | 44.40 | 2012 est. |
| 11 | Libya | 44.40 | 2012 est. |
| 12 | United Arab Emirates | 40.00 | 2012 est. |
| 13 | Norway | 39.40 | 2012 est. |
| 14 | Vietnam | 39.00 | 2012 est. |
| 15 | Oman | 37.40 | 2012 est. |
| 16 | Cabo Verde | 34.20 | 2012 est. |
| 17 | Indonesia | 32.60 | 2012 est. |
| 18 | Mauritius | 32.00 | 2012 est. |
| 19 | Malaysia | 31.90 | 2012 est. |
| 20 | Belarus | 31.80 | 2012 est. |
| 21 | Switzerland | 31.50 | 2012 est. |
| 22 | Korea, South | 31.40 | 2012 est. |
| 23 | Thailand | 30.50 | 2012 est. |
| 24 | Iran | 30.30 | 2012 est. |
| 25 | Taiwan | 30.30 | 2012 est. |
| 26 | Russia | 29.50 | 2012 est. |
| 27 | Belize | 29.20 | 2012 est. |
| 28 | Lebanon | 29.20 | 2012 est. |
| 29 | Botswana | 28.90 | 2012 est. |
| 30 | Venezuela | 28.90 | 2012 est. |
| 31 | India | 28.80 | 2012 est. |
| 32 | Hong Kong | 28.30 | 2012 est. |
| 33 | Bahrain | 27.60 | 2012 est. |
| 34 | Netherlands | 27.50 | 2012 est. |
| 35 | Sao Tome and Principe | 27.40 | 2012 est. |
| 36 | Ecuador | 27.30 | 2012 est. |
| 37 | Bangladesh | 27.00 | 2012 est. |
| 38 | Bolivia | 26.90 | 2012 est. |
| 39 | Estonia | 26.40 | 2012 est. |
| 40 | Equatorial Guinea | 26.40 | 2012 est. |
| 41 | Mauritania | 26.20 | 2012 est. |
| 42 | Laos | 26.20 | 2012 est. |
| 43 | Sweden | 25.80 | 2012 est. |
| 44 | Tunisia | 25.40 | 2012 est. |
| 45 | Tanzania | 25.20 | 2012 est. |
| 46 | Australia | 25.20 | 2012 est. |
| 47 | Morocco | 25.10 | 2012 est. |
| 48 | Jordan | 24.70 | 2012 est. |
| 49 | Macedonia | 24.60 | 2012 est. |
| 50 | Latvia | 24.60 | 2012 est. |
| 51 | Germany | 24.30 | 2012 est. |
| 52 | Argentina | 24.00 | 2012 est. |
| 53 | Sri Lanka | 24.00 | 2012 est. |
| 54 | Austria | 23.90 | 2012 est. |
| 55 | Kazakhstan | 23.90 | 2012 est. |
| 56 | Angola | 23.80 | 2012 est. |
| 57 | Peru | 23.30 | 2012 est. |
| 58 | Romania | 23.30 | 2012 est. |
| 59 | Slovakia | 23.00 | 2012 est. |
| 60 | Denmark | 22.60 | 2012 est. |
| 61 | Bulgaria | 22.50 | 2012 est. |
| 62 | Niger | 22.00 | 2012 est. |
| 63 | Mexico | 21.70 | 2012 est. |
| 64 | Mali | 21.60 | 2012 est. |
| 65 | Japan | 21.60 | 2012 est. |
| 66 | Chile | 21.40 | 2012 est. |
| 67 | Philippines | 21.30 | 2012 est. |
| 68 | Canada | 21.20 | 2012 est. |
| 69 | Czech Republic | 21.10 | 2012 est. |
| 70 | Cameroon | 21.00 | 2012 est. |
| 71 | Israel | 21.00 | 2012 est. |
| 72 | Turkey | 20.20 | 2012 est. |
| 73 | Trinidad and Tobago | 20.00 | 2012 est. |
| 74 | Colombia | 19.90 | 2012 est. |
| 75 | Slovenia | 19.80 | 2012 est. |
| 76 | Belgium | 19.60 | 2012 est. |
| 77 | Finland | 19.60 | 2012 est. |
| 78 | Zambia | 19.40 | 2012 est. |
| 79 | Senegal | 19.30 | 2012 est. |
| 80 | Croatia | 19.30 | 2012 est. |
| 81 | Hungary | 19.30 | 2012 est. |
| 82 | Spain | 18.60 | 2012 est. |
| 83 | Ethiopia | 18.20 | 2012 est. |
| 84 | Namibia | 18.10 | 2012 est. |
| 85 | Sudan | 18.10 | 2012 est. |
| 86 | Ghana | 17.90 | 2012 est. |
| 87 | Tajikistan | 17.80 | 2012 est. |
| 88 | France | 17.60 | 2012 est. |
| 89 | Gambia, The | 17.50 | 2012 est. |
| 90 | Sierra Leone | 17.20 | 2012 est. |
| 91 | Poland | 17.20 | 2012 est. |
| 92 | Lithuania | 17.20 | 2012 est. |
| 93 | Italy | 17.20 | 2012 est. |
| 94 | Georgia | 17.10 | 2012 est. |
| 95 | Djibouti | 17.00 | 2012 est. |
| 96 | Honduras | 16.40 | 2012 est. |
| 97 | Moldova | 16.10 | 2012 est. |
| 98 | Nigeria | 15.90 | 2012 est. |
| 99 | Costa Rica | 15.90 | 2012 est. |
| 100 | Uruguay | 15.80 | 2012 est. |
| 101 | Ireland | 15.30 | 2012 est. |
| 102 | Brazil | 15.20 | 2012 est. |
| 103 | Portugal | 15.00 | 2012 est. |
| 104 | Rwanda | 14.80 | 2012 est. |
| 105 | Uganda | 14.70 | 2012 est. |
| 106 | New Zealand | 14.50 | 2012 est. |
| 107 | Albania | 14.40 | 2012 est. |
| 108 | Malta | 14.30 | 2012 est. |
| 109 | Burkina Faso | 14.10 | 2012 est. |
| 110 | Swaziland | 13.40 | 2012 est. |
| 111 | Pakistan | 13.30 | 2012 est. |
| 112 | South Africa | 13.20 | 2012 est. |
| 113 | Armenia | 13.20 | 2012 est. |
| 114 | Egypt | 13.10 | 2012 est. |
| 115 | Turkmenistan | 12.90 | 2012 est. |
| 116 | Burma | 12.90 | 2012 est. |
| 117 | Syria | 12.80 | 2012 est. |
| 118 | United States | 12.50 | 2012 est. |
| 119 | Yemen | 11.90 | 2012 est. |
| 120 | Cuba | 11.10 | 2012 est. |
| 121 | United Kingdom | 11.00 | 2012 est. |
| 122 | Eritrea | 10.90 | 2012 est. |
| 123 | Seychelles | 10.60 | 2012 est. |
| 124 | Greece | 10.20 | 2012 est. |
| 125 | Ukraine | 10.10 | 2012 est. |
| 126 | Kenya | 9.50 | 2012 est. |
| 127 | Iceland | 9.30 | 2012 est. |
| 128 | Dominica | 9.20 | 2012 est. |
| 129 | Cambodia | 9.10 | 2012 est. |
| 130 | Benin | 9.00 | 2012 est. |
| 131 | El Salvador | 8.90 | 2012 est. |
| 132 | Togo | 8.70 | 2012 est. |
| 133 | Jamaica | 8.70 | 2012 est. |
| 134 | Guyana | 8.30 | 2012 est. |
| 135 | Malawi | 8.20 | 2012 est. |
| 136 | Lesotho | 7.80 | 2012 est. |
| 137 | Cyprus | 6.60 | 2012 est. |
| 138 | Central African Republic | 3.80 | 2012 est. |
| 139 | Haiti | 3.70 | 2011 est. |
| 140 | Kyrgyzstan | 2.40 | 2012 est. |
| 141 | Burundi | -0.80 | 2012 est. |
| 142 | Papua New Guinea | -3.90 | 2012 est. |
| 143 | Mozambique | -4.60 | 2012 est. |
| 144 | Madagascar | -5.80 | 2012 est. |


