CIA - The World Factbook --  Gross national saving   

Gross national saving is derived by deducting final consumption expenditure from Gross national disposable income, and consists of personal saving, plus business saving, plus government saving, but excludes foreign saving. The figures are presented as a percent of GDP. A negative number indicates that the economy as a whole is spending more income than it produces, thus drawing down national wealth (dissaving).

| Rank | country | (% of GDP) | Date of Information |
| --- | --- | --- | --- |
| 1 | Congo, Republic of the | 61.40 | 2013 est. |
| 2 | Kuwait | 54.80 | 2013 est. |
| 3 | Qatar | 54.10 | 2013 est. |
| 4 | China | 50.00 | 2013 est. |
| 5 | Chad | 46.40 | 2013 est. |
| 6 | Algeria | 45.50 | 2013 est. |
| 7 | Saudi Arabia | 45.00 | 2013 est. |
| 8 | Gabon | 44.70 | 2013 est. |
| 9 | Singapore | 44.60 | 2013 est. |
| 10 | Azerbaijan | 41.00 | 2013 est. |
| 11 | Cabo Verde | 38.50 | 2013 est. |
| 12 | Vietnam | 38.40 | 2013 est. |
| 13 | Norway | 38.20 | 2013 est. |
| 14 | United Arab Emirates | 36.80 | 2013 est. |
| 15 | Oman | 36.20 | 2013 est. |
| 16 | India | 33.70 | 2013 est. |
| 17 | Botswana | 33.70 | 2013 est. |
| 18 | Sao Tome and Principe | 32.70 | 2013 est. |
| 19 | Malaysia | 32.30 | 2013 est. |
| 20 | Saint Kitts and Nevis | 32.10 | 2013 est. |
| 21 | Mauritius | 32.00 | 2013 est. |
| 22 | Korea, South | 31.90 | 2013 est. |
| 23 | Switzerland | 31.50 | 2013 est. |
| 24 | Indonesia | 31.50 | 2013 est. |
| 25 | Taiwan | 31.30 | 2013 est. |
| 26 | Belize | 31.20 | 2013 est. |
| 27 | Thailand | 30.80 | 2013 est. |
| 28 | Iran | 30.30 | 2013 est. |
| 29 | Bhutan | 29.60 | 2013 est. |
| 30 | Jordan | 29.10 | 2013 est. |
| 31 | Kazakhstan | 28.80 | 2013 est. |
| 32 | Hong Kong | 28.60 | 2013 est. |
| 33 | Russia | 28.30 | 2013 est. |
| 34 | Bangladesh | 28.30 | 2013 est. |
| 35 | Sierra Leone | 27.80 | 2013 est. |
| 36 | Bahrain | 27.60 | 2013 est. |
| 37 | Mauritania | 27.40 | 2013 est. |
| 38 | Laos | 27.40 | 2013 est. |
| 39 | Sri Lanka | 27.00 | 2013 est. |
| 40 | Serbia | 26.70 | 2013 est. |
| 41 | Sudan | 26.60 | 2013 est. |
| 42 | Netherlands | 26.20 | 2013 est. |
| 43 | Tunisia | 26.10 | 2013 est. |
| 44 | Ecuador | 26.00 | 2013 est. |
| 45 | Sweden | 25.80 | 2013 est. |
| 46 | Bolivia | 25.70 | 2013 est. |
| 47 | Tanzania | 25.70 | 2013 est. |
| 48 | Morocco | 25.40 | 2013 est. |
| 49 | Belarus | 24.80 | 2013 est. |
| 50 | Germany | 24.70 | 2013 est. |
| 51 | Argentina | 24.60 | 2013 est. |
| 52 | Lebanon | 24.60 | 2013 est. |
| 53 | Australia | 24.40 | 2013 est. |
| 54 | Denmark | 24.10 | 2013 est. |
| 55 | Romania | 24.10 | 2013 est. |
| 56 | Austria | 23.90 | 2013 est. |
| 57 | Estonia | 23.90 | 2013 est. |
| 58 | Venezuela | 23.80 | 2013 est. |
| 59 | Niger | 23.70 | 2013 est. |
| 60 | Bulgaria | 23.50 | 2013 est. |
| 61 | Latvia | 23.20 | 2013 est. |
| 62 | Macedonia | 23.20 | 2013 est. |
| 63 | Philippines | 22.90 | 2013 est. |
| 64 | Equatorial Guinea | 22.60 | 2013 est. |
| 65 | Senegal | 22.40 | 2013 est. |
| 66 | Slovenia | 22.40 | 2013 est. |
| 67 | Peru | 22.20 | 2013 est. |
| 68 | Israel | 22.20 | 2013 est. |
| 69 | Japan | 22.10 | 2013 est. |
| 70 | Colombia | 21.90 | 2013 est. |
| 71 | Cameroon | 21.60 | 2013 est. |
| 72 | Canada | 21.50 | 2013 est. |
| 73 | Djibouti | 21.50 | 2013 est. |
