CIA - The World Factbook --  Health expenditures   

Health expenditures provides the total expenditure on health as a percentage of GDP. Health expenditures are broadly defined as activities performed either by institutions or individuals through the application of medical, paramedical, and/or nursing knowledge and technology, the primary purpose of which is to promote, restore, or maintain health.

| Rank | country | (% of GDP) | Date of Information |
| --- | --- | --- | --- |
| 1 | Liberia | 19.50 | 2011 |
| 2 | Sierra Leone | 18.80 | 2011 |
| 3 | United States | 17.90 | 2011 |
| 4 | Tuvalu | 17.30 | 2011 |
| 5 | Marshall Islands | 16.50 | 2011 |
| 6 | Niue | 14.60 | 2011 |
| 7 | Micronesia, Federated States of | 13.40 | 2011 |
| 8 | Lesotho | 12.80 | 2011 |
| 9 | Netherlands | 12.00 | 2011 |
| 10 | France | 11.60 | 2011 |
| 11 | Moldova | 11.40 | 2011 |
| 12 | Denmark | 11.20 | 2011 |
| 13 | Canada | 11.20 | 2011 |
| 14 | Germany | 11.10 | 2011 |
| 15 | Switzerland | 10.90 | 2011 |
| 16 | Costa Rica | 10.90 | 2011 |
| 17 | Rwanda | 10.80 | 2011 |
| 18 | Palau | 10.60 | 2011 |
| 19 | Austria | 10.60 | 2011 |
| 20 | Belgium | 10.60 | 2011 |
| 21 | Portugal | 10.40 | 2011 |
| 22 | Serbia | 10.40 | 2011 |
| 23 | Bosnia and Herzegovina | 10.20 | 2011 |
| 24 | New Zealand | 10.10 | 2011 |
| 25 | Kiribati | 10.10 | 2011 |
| 26 | Nicaragua | 10.10 | 2009 |
| 27 | Cuba | 10.00 | 2011 |
| 28 | Nauru | 9.80 | 2011 |
| 29 | Paraguay | 9.70 | 2011 |
| 30 | Afghanistan | 9.60 | 2011 |
| 31 | Spain | 9.60 | 2010 |
| 32 | Uganda | 9.50 | 2011 |
| 33 | Italy | 9.50 | 2011 |
| 34 | Georgia | 9.40 | 2011 |
| 35 | Ireland | 9.40 | 2011 |
| 36 | Sweden | 9.40 | 2011 |
| 37 | United Kingdom | 9.30 | 2011 |
| 38 | Japan | 9.30 | 2011 |
| 39 | Montenegro | 9.30 | 2011 |
| 40 | Honduras | 9.10 | 2009 |
| 41 | Iceland | 9.10 | 2011 |
| 42 | Norway | 9.10 | 2011 |
| 43 | Slovenia | 9.00 | 2010 |
| 44 | Slovakia | 9.00 | 2010 |
| 45 | Greece | 9.00 | 2011 |
| 46 | Australia | 9.00 | 2011 |
| 47 | Brazil | 8.90 | 2011 |
| 48 | Finland | 8.90 | 2011 |
| 49 | Solomon Islands | 8.80 | 2011 |
| 50 | Burundi | 8.70 | 2011 |
| 51 | Malta | 8.50 | 2010 |
