CIA - The World Factbook --  Debt - external   

This entry gives the total public and private debt owed to nonresidents repayable in internationally accepted currencies, goods, or services. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Debt - external | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | $ 16,080,000,000,000 | 30 June 2011 |
| 2 | United States | $ 14,710,000,000,000 | 30 June 2011 |
| 3 | United Kingdom | $ 9,836,000,000,000 | 30 June 2011 |
| 4 | France | $ 5,633,000,000,000 | 30 June 2011 |
| 5 | Germany | $ 5,624,000,000,000 | 30 June 2011 |
| 6 | Japan | $ 2,719,000,000,000 | 30 June 2011 |
| 7 | Italy | $ 2,684,000,000,000 | 30 June 2011 est. |
| 8 | Spain | $ 2,570,000,000,000 | 30 June 2011 |
| 9 | Ireland | $ 2,357,000,000,000 | 30 June 2011 |
| 10 | Luxembourg | $ 2,146,000,000,000 | 30 June 2011 |
| 11 | Belgium | $ 1,399,000,000,000 | 30 June 2011 |
| 12 | Switzerland | $ 1,346,000,000,000 | 30 June 2011 |
| 13 | Australia | $ 1,302,000,000,000 | 30 June 2011 est. |
| 14 | Canada | $ 1,181,000,000,000 | 30 June 2011 |
| 15 | Sweden | $ 1,016,000,000,000 | 30 June 2011 |
| 16 | Hong Kong | $ 903,200,000,000 | 30 June 2011 est. |
| 17 | Austria | $ 883,500,000,000 | 30 June 2011 |
| 18 | Norway | $ 644,500,000,000 | 30 June 2011 |
| 19 | Denmark | $ 626,900,000,000 | 30 June 2011 |
| 20 | Greece | $ 583,300,000,000 | 30 June 2011 |
| 21 | Portugal | $ 548,300,000,000 | 30 June 2011 |
| 22 | Russia | $ 538,600,000,000 | 30 June 2011 est. |
| 23 | China | $ 529,200,000,000 | 31 December 2010 est. |
| 24 | Finland | $ 518,000,000,000 | 30 June 2011 |
| 25 | Korea, South | $ 398,000,000,000 | 30 June 2011 est. |
| 26 | Brazil | $ 396,200,000,000 | 30 June 2011 est. |
| 27 | Poland | $ 365,400,000,000 | 30 June 2011 est. |
| 28 | India | $ 316,900,000,000 | 30 June 2011 est. |
| 29 | Turkey | $ 309,600,000,000 | 30 June 2011 est. |
| 30 | Mexico | $ 279,800,000,000 | 30 June 2011 est. |
| 31 | Hungary | $ 232,500,000,000 | 30 June 2011 est. |
| 32 | Indonesia | $ 223,000,000,000 | 30 June 2011 est. |
| 33 | United Arab Emirates | $ 151,800,000,000 | 31 December 2010 est. |
| 34 | Romania | $ 143,500,000,000 | 30 June 2011 est. |
| 35 | Argentina | $ 132,500,000,000 | 30 June 2011 est. |
| 36 | Iceland | $ 124,500,000,000 | 30 June 2011 |
| 37 | Kazakhstan | $ 124,100,000,000 | 30 June 2011 est. |
| 38 | Ukraine | $ 123,400,000,000 | 30 June 2011 est. |
| 39 | Israel | $ 112,400,000,000 | 30 June 2011 est. |
| 40 | Thailand | $ 111,900,000,000 | 30 June 2011 est. |
| 41 | South Africa | $ 109,400,000,000 | 30 June 2011 est. |
| 42 | Czech Republic | $ 105,800,000,000 | 30 June 2011 est. |
| 43 | Taiwan | $ 101,700,000,000 | 31 December 2010 est. |
| 44 | Chile | $ 96,570,000,000 | 30 June 2011 est. |
| 45 | New Zealand | $ 81,100,000,000 | 31 December 2010 est. |
| 46 | Saudi Arabia | $ 80,950,000,000 | 31 December 2010 est. |
| 47 | Malaysia | $ 79,120,000,000 | 30 June 2011 est. |
| 48 | Slovakia | $ 75,900,000,000 | 30 June 2011 est. |
| 49 | Qatar | $ 75,130,000,000 | 31 December 2010 est. |
| 50 | Colombia | $ 68,940,000,000 | 30 June 2011 est. |
| 51 | Croatia | $ 68,690,000,000 | 30 June 2011 est. |
| 52 | Philippines | $ 61,420,000,000 | 30 June 2011 est. |
| 53 | Venezuela | $ 61,420,000,000 | 31 December 2010 est. |
| 54 | Slovenia | $ 61,230,000,000 | 30 June 2011 |
| 55 | Puerto Rico | $ 56,820,000,000 | 31 December 2010 est. |
