CIA - The World Factbook --  Debt - external   

This entry gives the total public and private debt owed to nonresidents repayable in internationally accepted currencies, goods, or services. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Debt - external | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $ 15,930,000,000,000 | 31 December 2012 |
| 2 | European Union | $ 15,500,000,000,000 | 31 December 2012 |
| 3 | United Kingdom | $ 10,090,000,000,000 | 31 December 2012 |
| 4 | Germany | $ 5,719,000,000,000 | 31 December 2012 |
| 5 | France | $ 5,165,000,000,000 | 31 December 2012 |
| 6 | Japan | $ 3,024,000,000,000 | 31 December 2012 |
| 7 | Luxembourg | $ 2,643,000,000,000 | 31 December 2012 |
| 8 | Italy | $ 2,493,000,000,000 | 31 December 2012 est. |
| 9 | Netherlands | $ 2,487,000,000,000 | 31 December 2012 |
| 10 | Spain | $ 2,311,000,000,000 | 31 December 2012 |
| 11 | Ireland | $ 2,163,000,000,000 | 31 December 2012 |
| 12 | Switzerland | $ 1,563,000,000,000 | 31 December 2012 |
| 13 | Australia | $ 1,497,000,000,000 | 31 December 2012 est. |
| 14 | Belgium | $ 1,424,000,000,000 | 31 December 2012 |
| 15 | Canada | $ 1,326,000,000,000 | 31 December 2012 |
| 16 | Singapore | $ 1,174,000,000,000 | 31 December 2012 est. |
| 17 | Sweden | $ 1,034,000,000,000 | 31 December 2012 |
| 18 | Austria | $ 812,000,000,000 | 31 December 2012 |
| 19 | China | $ 728,900,000,000 | 31 December 2012 est. |
| 20 | Norway | $ 659,100,000,000 | 31 December 2012 |
| 21 | Russia | $ 631,800,000,000 | 31 December 2012 est. |
| 22 | Finland | $ 599,300,000,000 | 31 December 2012 |
| 23 | Denmark | $ 587,600,000,000 | 31 December 2012 |
| 24 | Greece | $ 576,600,000,000 | 31 December 2012 |
| 25 | Portugal | $ 508,300,000,000 | 31 December 2012 |
| 26 | Brazil | $ 438,900,000,000 | 31 December 2012 est. |
| 27 | Korea, South | $ 420,400,000,000 | 31 December 2012 est. |
| 28 | India | $ 378,900,000,000 | 31 December 2012 est. |
| 29 | Poland | $ 364,200,000,000 | 31 December 2012 est. |
| 30 | Mexico | $ 347,100,000,000 | 31 December 2012 est. |
| 31 | Turkey | $ 336,700,000,000 | 31 December 2012 est. |
| 32 | Indonesia | $ 224,100,000,000 | 31 December 2012 est. |
| 33 | Hungary | $ 169,300,000,000 | 31 December 2012 est. |
| 34 | United Arab Emirates | $ 162,300,000,000 | 31 December 2012 est. |
| 35 | Ukraine | $ 136,500,000,000 | 31 December 2012 est. |
| 36 | Saudi Arabia | $ 136,300,000,000 | 31 December 2012 est. |
| 37 | Qatar | $ 134,800,000,000 | 31 December 2012 est. |
| 38 | Hong Kong | $ 134,700,000,000 | 31 December 2012 est. |
| 39 | Thailand | $ 133,700,000,000 | 31 December 2012 est. |
| 40 | Kazakhstan | $ 133,500,000,000 | 31 December 2012 est. |
| 41 | Taiwan | $ 130,800,000,000 | 31 December 2012 est. |
| 42 | South Africa | $ 130,400,000,000 | 31 December 2012 est. |
| 43 | Romania | $ 129,300,000,000 | 31 December 2012 est. |
| 44 | Argentina | $ 113,700,000,000 | 31 December 2012 est. |
| 45 | Chile | $ 112,700,000,000 | 31 December 2012 est. |
| 46 | Cyprus | $ 103,500,000,000 | 31 December 2012 est. |
| 47 | Czech Republic | $ 101,000,000,000 | 31 December 2012 est. |
| 48 | Iceland | $ 100,200,000,000 | 31 December 2012 |
| 49 | Malaysia | $ 98,820,000,000 | 31 December 2012 est. |
| 50 | Israel | $ 93,980,000,000 | 31 December 2012 est. |
| 51 | New Zealand | $ 85,180,000,000 | 31 December 2012 est. |
| 52 | Colombia | $ 80,720,000,000 | 31 December 2012 est. |
| 53 | Venezuela | $ 75,750,000,000 | 31 December 2012 est. |
| 54 | Philippines | $ 74,880,000,000 | 31 December 2012 est. |
| 55 | Slovakia | $ 68,440,000,000 | 31 December 2012 est. |
| 56 | Croatia | $ 65,370,000,000 | 31 December 2012 est. |
| 57 | Vietnam | $ 63,950,000,000 | 31 December 2012 est. |
| 58 | Iraq | $ 60,200,000,000 | 31 December 2012 est. |
| 59 | Puerto Rico | $ 56,820,000,000 | 31 December 2010 est. |
| 60 | Pakistan | $ 54,500,000,000 | 31 December 2012 est. |
| 61 | Slovenia | $ 53,880,000,000 | 31 December 2012 |
| 62 | Peru | $ 50,470,000,000 | 31 December 2012 est. |
| 63 | Malta | $ 45,770,000,000 | 31 December 2012 |
| 64 | Sudan | $ 39,540,000,000 | 31 December 2012 est. |
| 65 | Latvia | $ 39,430,000,000 | 31 December 2012 est. |
| 66 | Egypt | $ 38,690,000,000 | 31 December 2012 est. |
| 67 | Bulgaria | $ 36,520,000,000 | 31 December 2012 est. |
| 68 | Serbia | $ 33,690,000,000 | 31 December 2012 est. |
| 69 | Lithuania | $ 32,840,000,000 | 31 December 2012 est. |
| 70 | Morocco | $ 32,150,000,000 | 31 December 2012 est. |
| 71 | Kuwait | $ 29,760,000,000 | 31 December 2012 est. |
| 72 | Bangladesh | $ 29,530,000,000 | 31 December 2012 est. |
| 73 | Bahrain | $ 27,540,000,000 | 31 December 2012 est. |
| 74 | Sri Lanka | $ 26,830,000,000 | 31 December 2012 est. |
| 75 | Estonia | $ 25,690,000,000 | 31 December 2012 est. |
| 76 | Lebanon | $ 25,160,000,000 | 31 December 2012 est. |
| 77 | Tunisia | $ 24,600,000,000 | 31 December 2012 est. |
| 78 | Cuba | $ 22,510,000,000 | 31 December 2012 est. |
| 79 | Angola | $ 21,850,000,000 | 31 December 2012 est. |
| 80 | Jordan | $ 19,670,000,000 | 31 December 2012 est. |
| 81 | Ecuador | $ 17,680,000,000 | 31 December 2012 est. |
| 82 | Guatemala | $ 16,610,000,000 | 31 December 2012 est. |
| 83 | Bahamas, The | $ 16,350,000,000 | 31 December 2012 est. |
| 84 | Dominican Republic | $ 16,330,000,000 | 31 December 2012 est. |
| 85 | Uruguay | $ 16,020,000,000 | 31 December 2012 est. |
| 86 | Iran | $ 14,840,000,000 | 31 December 2012 est. |
| 87 | Jamaica | $ 14,090,000,000 | 31 December 2012 est. |
| 88 | Costa Rica | $ 13,810,000,000 | 31 December 2012 est. |
| 89 | Panama | $ 13,560,000,000 | 31 December 2012 est. |
| 90 | El Salvador | $ 13,560,000,000 | 31 December 2012 est. |
| 91 | Nigeria | $ 13,400,000,000 | 31 December 2012 est. |
| 92 | Papua New Guinea | $ 12,960,000,000 | 31 December 2012 est. |
| 93 | Ghana | $ 12,640,000,000 | 31 December 2012 est. |
| 94 | Korea, North | $ 12,500,000,000 | 2001 est. |
| 95 | Tanzania | $ 11,820,000,000 | 31 December 2012 est. |
| 96 | Georgia | $ 11,670,000,000 | 31 December 2012 est. |
| 97 | Kenya | $ 11,060,000,000 | 31 December 2012 est. |
| 98 | Bosnia and Herzegovina | $ 10,810,000,000 | 31 December 2012 est. |
| 99 | Ethiopia | $ 10,030,000,000 | 31 December 2012 est. |
| 100 | Oman | $ 9,990,000,000 | 31 December 2012 est. |
| 101 | Azerbaijan | $ 9,110,000,000 | 31 December 2012 est. |
| 102 | Zimbabwe | $ 8,765,000,000 | 31 December 2012 est. |
| 103 | Syria | $ 8,394,000,000 | 31 December 2012 est. |
| 104 | Cote d'Ivoire | $ 8,096,000,000 | 31 December 2012 est. |
