CIA - The World Factbook --  DEBT - EXTERNAL

Debt - external compares the total public and private debt owed to nonresidents repayable in foreign currency, goods, or services. These figures are calculated on an exchange rate basis.

| Rank | Country | DEBT - EXTERNAL | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $17,910,000,000,000 | 31 March 2016 est. |
| 2 | European Union | $13,050,000,000,000 | 31 December 2014 est. |
| 3 | United Kingdom | $8,126,000,000,000 | 31 March 2016 est. |
| 4 | France | $5,360,000,000,000 | 31 March 2016 est. |
| 5 | Germany | $5,326,000,000,000 | 31 March 2016 est. |
| 6 | Netherlands | $4,063,000,000,000 | 31 December 2016 est. |
| 7 | Luxembourg | $3,781,000,000,000 | 31 March 2016 est. |
| 8 | Japan | $3,240,000,000,000 | 31 March 2016 est. |
| 9 | Ireland | $2,470,000,000,000 | 31 March 2016 est. |
| 10 | Italy | $2,444,000,000,000 | 31 March 2016 est. |
| 11 | Spain | $2,094,000,000,000 | 31 March 2016 est. |
| 12 | Switzerland | $1,664,000,000,000 | 31 March 2016 est. |
| 13 | Canada | $1,608,000,000,000 | 31 March 2016 est. |
| 14 | Australia | $1,547,000,000,000 | 31 December 2016 est. |
| 15 | China | $1,467,000,000,000 | 31 December 2016 est. |
| 16 | Belgium | $1,281,000,000,000 | 31 March 2016 est. |
| 17 | Sweden | $939,900,000,000 | 31 March 2016 est. |
| 18 | Austria | $689,100,000,000 | 31 March 2016 est. |
| 19 | Norway | $642,300,000,000 | 31 March 2016 est. |
| 20 | Brazil | $551,300,000,000 | 31 December 2016 est. |
| 21 | Finland | $544,700,000,000 | 31 March 2016 est. |
| 22 | Greece | $506,600,000,000 | 31 March 2016 est. |
| 23 | Hong Kong | $505,900,000,000 | 31 December 2016 est. |
| 24 | Singapore | $504,200,000,000 | 31 December 2016 est. |
| 25 | Denmark | $484,800,000,000 | 31 March 2016 est. |
| 26 | India | $456,400,000,000 | 31 December 2016 est. |
| 27 | Mexico | $450,200,000,000 | 31 December 2016 est. |
| 28 | Portugal | $449,000,000,000 | 31 March 2016 est. |
| 29 | Russia | $434,800,000,000 | 31 December 2016 est. |
| 30 | Turkey | $404,900,000,000 | 31 December 2016 est. |
| 31 | Korea, South | $358,200,000,000 | 31 December 2016 est. |
| 32 | Poland | $347,800,000,000 | 31 December 2016 est. |
| 33 | Indonesia | $316,500,000,000 | 31 December 2016 est. |
| 34 | United Arab Emirates | $218,700,000,000 | 31 December 2016 est. |
| 35 | Malaysia | $195,300,000,000 | 31 December 2016 est. |
| 36 | Argentina | $190,200,000,000 | 31 December 2016 est. |
| 37 | Saudi Arabia | $189,300,000,000 | 31 December 2016 est. |
| 38 | Taiwan | $172,200,000,000 | 31 December 2016 est. |
| 39 | Kazakhstan | $163,800,000,000 | 31 December 2016 est. |
| 40 | Chile | $158,100,000,000 | 31 December 2016 est. |
| 41 | Qatar | $157,900,000,000 | 31 December 2016 est. |
| 42 | South Africa | $144,600,000,000 | 31 December 2016 est. |
| 43 | Czechia | $138,000,000,000 | 31 December 2016 est. |
| 44 | Hungary | $131,300,000,000 | 31 December 2016 est. |
| 45 | Thailand | $130,600,000,000 | 31 December 2016 est. |
| 46 | Ukraine | $121,100,000,000 | 31 December 2016 est. |
| 47 | Colombia | $115,000,000,000 | 31 December 2016 est. |
| 48 | Venezuela | $109,800,000,000 | 31 December 2016 est. |
| 49 | Cyprus | $95,280,000,000 | 31 December 2013 est. |
| 50 | Romania | $93,710,000,000 | 31 December 2016 est. |
| 51 | Malta | $90,980,000,000 | September 2016 est. |
| 52 | Israel | $87,960,000,000 | 31 December 2016 est. |
| 53 | Vietnam | $84,340,000,000 | 31 December 2016 est. |
| 54 | New Zealand | $84,030,000,000 | 31 December 2016 est. |
| 55 | Panama | $83,810,000,000 | 31 December 2016 est. |
| 56 | Slovakia | $75,040,000,000 | 31 March 2016 est. |
| 57 | Philippines | $75,010,000,000 | 31 December 2016 est. |
| 58 | Pakistan | $70,450,000,000 | 31 December 2016 est. |
| 59 | Peru | $66,760,000,000 | 31 December 2016 est. |
| 60 | Iraq | $64,160,000,000 | 31 December 2016 est. |
| 61 | Egypt | $62,380,000,000 | 31 December 2016 est. |
| 62 | Puerto Rico | $56,820,000,000 | 31 December 2010 est. |
| 63 | Sudan | $51,260,000,000 | 31 December 2016 est. |
| 64 | Slovenia | $46,300,000,000 | 31 January 2017 est. |
| 65 | Sri Lanka | $45,260,000,000 | 31 December 2016 est. |
| 66 | Croatia | $45,100,000,000 | 31 December 2016 est. |
| 67 | Morocco | $44,650,000,000 | 31 December 2016 est. |
| 68 | Bahrain | $42,550,000,000 | 31 December 2016 est. |
| 69 | Bangladesh | $41,850,000,000 | 31 December 2016 est. |
| 70 | Latvia | $40,020,000,000 | 31 March 2016 est. |
| 71 | Kuwait | $38,340,000,000 | 31 December 2016 est. |
| 72 | Bulgaria | $37,990,000,000 | 31 December 2016 est. |
| 73 | Belarus | $37,740,000,000 | 31 December 2016 est. |
| 74 | Lebanon | $36,600,000,000 | 31 December 2016 est. |
| 75 | Lithuania | $34,480,000,000 | 31 March 2016 est. |
| 76 | Ecuador | $32,320,000,000 | 31 December 2016 est. |
| 77 | Nigeria | $31,410,000,000 | 31 December 2016 est. |
| 78 | Serbia | $30,380,000,000 | 31 December 2016 est. |
| 79 | Tunisia | $28,930,000,000 | 31 December 2016 est. |
| 80 | Uruguay | $27,900,000,000 | 31 December 2016 est. |
| 81 | Dominican Republic | $27,700,000,000 | 31 December 2016 est. |
| 82 | Angola | $27,140,000,000 | 31 December 2016 est. |
| 83 | Oman | $27,050,000,000 | 31 December 2016 est. |
| 84 | Jordan | $26,380,000,000 | 31 December 2016 est. |
| 85 | Iceland | $25,020,000,000 | 31 December 2016 est. |
| 86 | Ethiopia | $24,820,000,000 | 31 December 2016 est. |
| 87 | Costa Rica | $24,300,000,000 | 31 December 2016 est. |
| 88 | Kenya | $22,600,000,000 | 31 December 2016 est. |
| 89 | Ghana | $21,950,000,000 | 31 December 2016 est. |
| 90 | Guatemala | $21,450,000,000 | 31 December 2016 est. |
| 91 | Cuba | $20,590,000,000 | 31 December 2016 est. |
| 92 | Mongolia | $19,790,000,000 | 31 December 2016 est. |
| 93 | Estonia | $19,050,000,000 | 31 December 2016 est. |
| 94 | Palau | $18,380,000,000 | 31 December 2014 est. |
| 95 | Papua New Guinea | $18,280,000,000 | 31 December 2016 est. |
| 96 | Bahamas, The | $17,560,000,000 | 31 December 2013 est. |
| 97 | Uzbekistan | $16,760,000,000 | 31 December 2016 est. |
| 98 | Paraguay | $16,480,000,000 | 31 December 2016 est. |
| 99 | Tanzania | $15,210,000,000 | 31 December 2016 est. |
| 100 | El Salvador | $15,200,000,000 | 31 December 2016 est. |
| 101 | Jamaica | $15,170,000,000 | 31 December 2016 est. |
| 102 | Mauritius | $14,340,000,000 | 31 December 2016 est. |
| 103 | Georgia | $14,080,000,000 | 31 December 2016 est. |
| 104 | Azerbaijan | $13,830,000,000 | 31 December 2016 est. |
| 105 | Laos | $12,900,000,000 | 31 December 2016 est. |
| 106 | Bolivia | $11,650,000,000 | 31 December 2016 est. |
| 107 | Cote d'Ivoire | $11,020,000,000 | 31 December 2016 est. |
| 108 | Nicaragua | $10,870,000,000 | 31 December 2016 est. |
| 109 | Bosnia and Herzegovina | $10,640,000,000 | 31 December 2016 est. |
| 110 | Mozambique | $10,480,000,000 | 31 December 2016 est. |
| 111 | Cambodia | $10,300,000,000 | 31 December 2016 est. |
| 112 | Zimbabwe | $10,140,000,000 | 31 December 2016 est. |
| 113 | Zambia | $9,562,000,000 | 31 December 2016 est. |
| 114 | Armenia | $8,987,000,000 | 31 December 2016 est. |
| 115 | Trinidad and Tobago | $8,746,000,000 | 31 December 2016 est. |
| 116 | Albania | $8,421,000,000 | 31 December 2016 est. |
| 117 | Burma | $8,200,000,000 | 31 December 2016 est. |
| 118 | Iran | $8,196,000,000 | 31 December 2016 est. |
| 119 | Kyrgyzstan | $8,182,000,000 | 31 December 2016 est. |
| 120 | Honduras | $7,852,000,000 | 31 December 2016 est. |
| 121 | Macedonia | $7,685,000,000 | 31 December 2016 est. |
| 122 | Cameroon | $7,364,000,000 | 31 December 2016 est. |
| 123 | Yemen | $7,181,000,000 | 31 December 2016 est. |
| 124 | Namibia | $6,904,000,000 | 31 December 2016 est. |
| 125 | Uganda | $6,408,000,000 | 31 December 2016 est. |
| 126 | Senegal | $6,327,000,000 | 31 December 2016 est. |
| 127 | Moldova | $6,138,000,000 | 31 December 2016 est. |
| 128 | Tajikistan | $5,495,000,000 | 31 December 2016 est. |
| 129 | Congo, Democratic Republic of the | $5,350,000,000 | 31 December 2016 est. |
| 130 | Gabon | $5,321,000,000 | 31 December 2016 est. |
| 131 | Somalia | $5,300,000,000 | 31 December 2014 est. |
