CIA - The World Factbook --  DEBT - EXTERNAL

Debt - external compares the total public and private debt owed to nonresidents repayable in foreign currency, goods, or services. These figures are calculated on an exchange rate basis.

| Rank | Country | DEBT - EXTERNAL | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $17,260,000,000,000 | 31 December 2014 est. |
| 2 | European Union | $13,050,000,000,000 | 31 December 2014 est. |
| 3 | United Kingdom | $9,219,000,000,000 | 31 December 2014 est. |
| 4 | Germany | $5,597,000,000,000 | 31 December 2014 est. |
| 5 | France | $5,496,000,000,000 | 31 December 2014 est. |
| 6 | Japan | $5,180,000,000,000 | 31 December 2013 est. |
| 7 | Netherlands | $4,154,000,000,000 | 31 December 2014 est. |
| 8 | Luxembourg | $3,331,000,000,000 | 31 December 2014 est. |
| 9 | Italy | $2,459,000,000,000 | 31 December 2014 est. |
| 10 | Spain | $2,064,000,000,000 | 31 December 2014 est. |
| 11 | Ireland | $1,960,000,000,000 | 31 December 2014 est. |
| 12 | Switzerland | $1,533,000,000,000 | 31 December 2014 est. |
| 13 | Australia | $1,524,000,000,000 | 31 December 2015 est. |
| 14 | Canada | $1,491,000,000,000 | 31 December 2014 est. |
| 15 | Belgium | $1,312,000,000,000 | 31 December 2014 est. |
| 16 | Sweden | $1,010,000,000,000 | 31 December 2014 est. |
| 17 | China | $958,300,000,000 | 31 December 2015 est. |
| 18 | Austria | $675,000,000,000 | 30 September 2015 est. |
| 19 | Norway | $661,200,000,000 | 31 December 2014 est. |
| 20 | Finland | $547,500,000,000 | 31 December 2014 est. |
| 21 | Brazil | $542,300,000,000 | 31 December 2015 est. |
| 22 | Denmark | $534,600,000,000 | 31 December 2014 est. |
| 23 | Russia | $520,200,000,000 | 31 December 2015 est. |
| 24 | Greece | $514,400,000,000 | 31 December 2014 est. |
| 25 | Portugal | $493,700,000,000 | 31 December 2014 est. |
| 26 | Hong Kong | $491,900,000,000 | 31 December 2015 est. |
| 27 | India | $480,800,000,000 | 31 December 2015 est. |
| 28 | Singapore | $465,500,000,000 | 31 December 2015 est. |
| 29 | Mexico | $441,600,000,000 | 31 December 2015 est. |
| 30 | Turkey | $397,800,000,000 | 31 December 2015 est. |
| 31 | Korea, South | $381,800,000,000 | 31 December 2015 est. |
| 32 | Poland | $332,200,000,000 | 31 December 2015 est. |
| 33 | Indonesia | $316,000,000,000 | 31 December 2015 est. |
