CIA - The World Factbook --  Debt - external   

This entry gives the total public and private debt owed to nonresidents repayable in foreign currency, goods, or services. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Debt - external | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $ 13,750,000,000,000 | 31 December 2008 |
| 2 | United Kingdom | $ 9,041,000,000,000 | 31 December 2008 |
| 3 | Germany | $ 5,158,000,000,000 | 31 December 2008 |
| 4 | France | $ 4,935,000,000,000 | 31 December 2008 |
| 5 | Netherlands | $ 2,461,000,000,000 | 31 December 2008 |
| 6 | Ireland | $ 2,356,000,000,000 | 31 December 2008 |
| 7 | Italy | $ 2,328,000,000,000 | 31 December 2008 |
| 8 | Spain | $ 2,317,000,000,000 | 31 December 2008 |
| 9 | Japan | $ 2,231,000,000,000 | 31 December 2008 |
| 10 | Luxembourg | $ 2,020,000,000,000 | 31 December 2008 |
| 11 | Belgium | $ 1,354,000,000,000 | 31 December 2008 |
| 12 | Switzerland | $ 1,305,000,000,000 | 31 December 2008 |
| 13 | Austria | $ 832,800,000,000 | 31 December 2008 |
| 14 | Australia | $ 799,800,000,000 | 31 December 2008 |
| 15 | Canada | $ 781,100,000,000 | 31 December 2008 |
| 16 | Hong Kong | $ 659,900,000,000 | 31 December 2008 |
| 17 | Sweden | $ 617,300,000,000 | 31 December 2008 |
| 18 | Denmark | $ 588,800,000,000 | 31 December 2008 |
| 19 | Greece | $ 504,600,000,000 | 31 December 2008 |
| 20 | Portugal | $ 484,700,000,000 | 31 December 2008 |
| 21 | Russia | $ 483,500,000,000 | 31 December 2008 |
| 22 | Norway | $ 475,900,000,000 | 31 December 2008 |
| 23 | China | $ 400,600,000,000 | 31 December 2008 est. |
| 24 | Korea, South | $ 381,100,000,000 | 31 December 2008 est. |
| 25 | Finland | $ 339,500,000,000 | 31 December 2008 |
| 26 | Turkey | $ 278,100,000,000 | 31 December 2008 est. |
| 27 | Brazil | $ 262,900,000,000 | 31 December 2008 |
| 28 | Poland | $ 243,500,000,000 | 31 December 2008 |
| 29 | India | $ 229,300,000,000 | 31 December 2008 est. |
| 30 | Hungary | $ 212,100,000,000 | 31 December 2008 |
| 31 | Mexico | $ 200,400,000,000 | 31 December 2008 |
| 32 | Indonesia | $ 155,100,000,000 | 31 December 2008 est. |
| 33 | United Arab Emirates | $ 134,700,000,000 | 31 December 2008 est. |
| 34 | Argentina | $ 128,200,000,000 | 31 December 2008 |
| 35 | Kazakhstan | $ 107,800,000,000 | 31 December 2008 |
| 36 | Romania | $ 102,200,000,000 | 31 December 2008 |
| 37 | Ukraine | $ 101,700,000,000 | 31 December 2008 |
| 38 | Taiwan | $ 93,020,000,000 | 31 December 2008 est. |
| 39 | Israel | $ 86,080,000,000 | 31 December 2008 |
| 40 | Saudi Arabia | $ 82,130,000,000 | 31 December 2008 est. |
| 41 | Czech Republic | $ 80,430,000,000 | 31 December 2008 |
| 42 | Malaysia | $ 75,330,000,000 | 31 December 2008 |
| 43 | South Africa | $ 71,810,000,000 | 31 December 2008 |
| 44 | Iraq | $ 67,740,000,000 | 31 December 2008 est. |
| 45 | Philippines | $ 66,270,000,000 | 31 December 2008 est. |
| 46 | Thailand | $ 65,090,000,000 | 31 December 2008 |
| 47 | Chile | $ 64,770,000,000 | 31 December 2008 est. |
| 48 | New Zealand | $ 59,080,000,000 | 31 December 2008 est. |
| 49 | Qatar | $ 57,370,000,000 | 31 December 2008 est. |
| 50 | Croatia | $ 54,790,000,000 | 31 December 2008 |
| 51 | Slovenia | $ 54,610,000,000 | 31 December 2008 |
| 52 | Slovakia | $ 52,530,000,000 | 31 December 2008 |
| 53 | Bulgaria | $ 51,460,000,000 | 31 December 2008 est. |
| 54 | Venezuela | $ 47,030,000,000 | 31 December 2008 est. |
| 55 | Pakistan | $ 46,390,000,000 | 31 December 2008 est. |
| 56 | Colombia | $ 46,380,000,000 | 31 December 2008 |
| 57 | Latvia | $ 42,260,000,000 | 31 December 2008 |
| 58 | Kuwait | $ 36,890,000,000 | 31 December 2008 est. |
| 59 | Peru | $ 34,590,000,000 | 31 December 2008 |
| 60 | Sudan | $ 33,720,000,000 | 31 December 2008 est. |
| 61 | Lebanon | $ 33,280,000,000 | 31 December 2008 est. |
| 62 | Cyprus | $ 32,860,000,000 | 31 December 2008 est. |
| 63 | Lithuania | $ 32,470,000,000 | 31 December 2008 |
| 64 | Egypt | $ 32,120,000,000 | 31 December 2008 |
