CIA - The World Factbook --  Debt - external   

This entry gives the total public and private debt owed to nonresidents repayable in internationally accepted currencies, goods, or services. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Debt - external | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | $ 16,080,000,000,000 | 30 June 2011 |
| 2 | United States | $ 14,710,000,000,000 | 30 June 2011 |
| 3 | United Kingdom | $ 9,836,000,000,000 | 30 June 2011 |
| 4 | France | $ 5,633,000,000,000 | 30 June 2011 |
| 5 | Germany | $ 5,624,000,000,000 | 30 June 2011 |
| 6 | Japan | $ 2,719,000,000,000 | 30 June 2011 |
| 7 | Netherlands | $ 2,655,000,000,000 | 30 June 2011 |
| 8 | Spain | $ 2,570,000,000,000 | 30 June 2011 |
| 9 | Italy | $ 2,460,000,000,000 | 30 June 2012 est. |
| 10 | Ireland | $ 2,352,000,000,000 | 30 September 2011 |
| 11 | Luxembourg | $ 2,146,000,000,000 | 30 June 2011 |
| 12 | Australia | $ 1,466,000,000,000 | 31 December 2012 est. |
| 13 | Belgium | $ 1,399,000,000,000 | 30 June 2011 |
| 14 | Switzerland | $ 1,346,000,000,000 | 30 June 2011 |
| 15 | Canada | $ 1,181,000,000,000 | 30 June 2011 |
| 16 | Sweden | $ 1,016,000,000,000 | 30 June 2011 |
| 17 | Hong Kong | $ 903,200,000,000 | 30 June 2011 est. |
| 18 | Austria | $ 883,500,000,000 | 30 June 2011 |
| 19 | China | $ 710,700,000,000 | 31 December 2012 est. |
| 20 | Norway | $ 644,500,000,000 | 30 June 2011 |
| 21 | Denmark | $ 626,900,000,000 | 30 June 2011 |
| 22 | Greece | $ 583,300,000,000 | 30 June 2011 |
| 23 | Finland | $ 577,000,000,000 | 31 December 2011 |
| 24 | Portugal | $ 548,300,000,000 | 30 June 2011 |
| 25 | Russia | $ 455,200,000,000 | 31 December 2012 est. |
| 26 | Korea, South | $ 436,900,000,000 | 31 December 2012 est. |
| 27 | Brazil | $ 405,300,000,000 | 31 December 2012 est. |
| 28 | Turkey | $ 331,400,000,000 | 31 December 2012 est. |
| 29 | Poland | $ 310,200,000,000 | 31 December 2012 est. |
| 30 | India | $ 299,200,000,000 | 31 December 2012 est. |
| 31 | Mexico | $ 217,700,000,000 | 31 December 2012 est. |
| 32 | Indonesia | $ 187,100,000,000 | 31 December 2012 est. |
| 33 | Hungary | $ 170,000,000,000 | 31 December 2012 est. |
| 34 | United Arab Emirates | $ 158,900,000,000 | 31 December 2012 est. |
| 35 | Qatar | $ 137,000,000,000 | 31 December 2012 est. |
| 36 | Argentina | $ 130,200,000,000 | 31 December 2012 est. |
| 37 | Saudi Arabia | $ 127,400,000,000 | 31 December 2012 est. |
| 38 | Taiwan | $ 127,400,000,000 | 31 December 2012 est. |
| 39 | Romania | $ 125,900,000,000 | 31 December 2012 est. |
| 40 | Ukraine | $ 124,900,000,000 | 31 December 2012 est. |
| 41 | Iceland | $ 124,500,000,000 | 30 June 2011 |
| 42 | Thailand | $ 115,600,000,000 | 30 September 2011 est. |
| 43 | Cyprus | $ 106,500,000,000 | 31 December 2011 est. |
| 44 | Kazakhstan | $ 105,500,000,000 | 31 December 2012 est. |
| 45 | Israel | $ 104,200,000,000 | 31 December 2012 est. |
| 46 | Chile | $ 102,100,000,000 | 31 December 2012 est. |
| 47 | Malaysia | $ 95,550,000,000 | 31 December 2012 est. |
| 48 | New Zealand | $ 90,230,000,000 | 31 December 2012 est. |
| 49 | Czech Republic | $ 90,180,000,000 | 2012 est. |
| 50 | Colombia | $ 73,410,000,000 | 31 December 2012 est. |
| 51 | Slovakia | $ 72,940,000,000 | 30 November 2011 est. |
| 52 | Philippines | $ 68,390,000,000 | 31 December 2012 est. |
| 53 | Croatia | $ 64,250,000,000 | 31 December 2012 est. |
| 54 | Venezuela | $ 63,740,000,000 | 31 December 2012 est. |
| 55 | Slovenia | $ 61,230,000,000 | 30 June 2011 |
