CIA - The World Factbook --  GDP (purchasing power parity)   

GDP (purchasing power parity) compares the gross domestic product (GDP) or value of all final goods and services produced within a nation in a given year. A nation's GDP at purchasing power parity (PPP) exchange rates is the sum value of all goods and services produced in the country valued at prices prevailing in the United States.

| Rank | country | GDP (purchasing power parity) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $ 16,720,000,000,000 | 2013 est. |
| 2 | European Union | $ 15,850,000,000,000 | 2013 est. |
| 3 | China | $ 13,390,000,000,000 | 2013 est. |
| 4 | India | $ 4,990,000,000,000 | 2013 est. |
| 5 | Japan | $ 4,729,000,000,000 | 2013 est. |
| 6 | Germany | $ 3,227,000,000,000 | 2013 est. |
| 7 | Russia | $ 2,553,000,000,000 | 2013 est. |
| 8 | Brazil | $ 2,416,000,000,000 | 2013 est. |
| 9 | United Kingdom | $ 2,387,000,000,000 | 2013 est. |
| 10 | France | $ 2,276,000,000,000 | 2013 est. |
| 11 | Mexico | $ 1,845,000,000,000 | 2013 est. |
| 12 | Italy | $ 1,805,000,000,000 | 2013 est. |
| 13 | Korea, South | $ 1,666,000,000,000 | 2013 est. |
| 14 | Canada | $ 1,518,000,000,000 | 2013 est. |
| 15 | Spain | $ 1,389,000,000,000 | 2013 est. |
| 16 | Indonesia | $ 1,285,000,000,000 | 2013 est. |
| 17 | Turkey | $ 1,167,000,000,000 | 2013 est. |
| 18 | Australia | $ 998,300,000,000 | 2013 est. |
| 19 | Iran | $ 987,100,000,000 | 2013 est. |
| 20 | Saudi Arabia | $ 927,800,000,000 | 2013 est. |
| 21 | Taiwan | $ 926,400,000,000 | 2013 est. |
| 22 | Poland | $ 814,000,000,000 | 2013 est. |
| 23 | Argentina | $ 771,000,000,000 | 2013 est. |
| 24 | Netherlands | $ 699,700,000,000 | 2013 est. |
| 25 | Thailand | $ 673,000,000,000 | 2013 est. |
| 26 | South Africa | $ 595,700,000,000 | 2013 est. |
| 27 | Pakistan | $ 574,100,000,000 | 2013 est. |
| 28 | Egypt | $ 551,400,000,000 | 2013 est. |
