CIA - The World Factbook --  GDP (purchasing power parity)   

This entry gives the gross domestic product (GDP) or value of all final goods and services produced within a nation in a given year. A nation's GDP at purchasing power parity (PPP) exchange rates is the sum value of all goods and services produced in the country valued at prices prevailing in the United States in the year noted. This is the measure most economists prefer when looking at per-capita welfare and when comparing living conditions or use of resources across countries. The measure is difficult to compute, as a US dollar value has to be assigned to all goods and services in the country regardless of whether these goods and services have a direct equivalent in the United States (for example, the value of an ox-cart or non-US military equipment); as a result, PPP estimates for some countries are based on a small and sometimes different set of goods and services. In addition, many countries do not formally participate in the World Bank's PPP project that calculates these measures, so the resulting GDP estimates for these countries may lack precision. For many developing countries, PPP-based GDP measures are multiples of the official exchange rate (OER) measure. The differences between the OER- and PPP-denominated GDP values for most of the wealthy industrialized countries are generally much smaller.

| Rank | country | GDP (purchasing power parity) | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | $ 15,700,000,000,000 | 2012 est. |
| 2 | United States | $ 15,670,000,000,000 | 2012 est. |
| 3 | China | $ 12,380,000,000,000 | 2012 est. |
| 4 | India | $ 4,735,000,000,000 | 2012 est. |
| 5 | Japan | $ 4,617,000,000,000 | 2012 est. |
| 6 | Germany | $ 3,194,000,000,000 | 2012 est. |
| 7 | Russia | $ 2,509,000,000,000 | 2012 est. |
| 8 | Brazil | $ 2,362,000,000,000 | 2012 est. |
| 9 | United Kingdom | $ 2,323,000,000,000 | 2012 est. |
| 10 | France | $ 2,253,000,000,000 | 2012 est. |
| 11 | Italy | $ 1,834,000,000,000 | 2012 est. |
| 12 | Mexico | $ 1,758,000,000,000 | 2012 est. |
| 13 | Korea, South | $ 1,622,000,000,000 | 2012 est. |
| 14 | Canada | $ 1,446,000,000,000 | 2012 est. |
| 15 | Spain | $ 1,407,000,000,000 | 2012 est. |
| 16 | Indonesia | $ 1,212,000,000,000 | 2012 est. |
| 17 | Turkey | $ 1,125,000,000,000 | 2012 est. |
| 18 | Iran | $ 997,400,000,000 | 2012 est. |
| 19 | Australia | $ 960,700,000,000 | 2012 est. |
| 20 | Taiwan | $ 901,900,000,000 | 2012 est. |
| 21 | Poland | $ 802,000,000,000 | 2012 est. |
| 22 | Argentina | $ 746,900,000,000 | 2012 est. |
| 23 | Saudi Arabia | $ 740,500,000,000 | 2012 est. |
| 24 | Netherlands | $ 709,500,000,000 | 2012 est. |
| 25 | Thailand | $ 646,100,000,000 | 2012 est. |
| 26 | South Africa | $ 578,600,000,000 | 2012 est. |
| 27 | Egypt | $ 537,800,000,000 | 2012 est. |
| 28 | Pakistan | $ 514,600,000,000 | 2012 est. |
| 29 | Colombia | $ 500,000,000,000 | 2012 est. |
| 30 | Malaysia | $ 492,000,000,000 | 2012 est. |
| 31 | Nigeria | $ 450,500,000,000 | 2012 est. |
| 32 | Belgium | $ 420,600,000,000 | 2012 est. |
| 33 | Philippines | $ 416,700,000,000 | 2012 est. |
| 34 | Venezuela | $ 402,100,000,000 | 2012 est. |
| 35 | Sweden | $ 395,800,000,000 | 2012 est. |
| 36 | Hong Kong | $ 363,700,000,000 | 2012 est. |
| 37 | Switzerland | $ 362,400,000,000 | 2012 est. |
| 38 | Austria | $ 357,800,000,000 | 2012 est. |
| 39 | Ukraine | $ 344,700,000,000 | 2012 est. |
| 40 | Singapore | $ 326,700,000,000 | 2012 est. |
| 41 | Peru | $ 325,400,000,000 | 2012 est. |
| 42 | Vietnam | $ 320,500,000,000 | 2012 est. |
| 43 | Chile | $ 319,400,000,000 | 2012 est. |
| 44 | Bangladesh | $ 305,500,000,000 | 2012 est. |
| 45 | Czech Republic | $ 286,700,000,000 | 2012 est. |
| 46 | Greece | $ 280,800,000,000 | 2012 est. |
| 47 | Norway | $ 278,100,000,000 | 2012 est. |
| 48 | Algeria | $ 274,500,000,000 | 2012 est. |
| 49 | Romania | $ 274,100,000,000 | 2012 est. |
| 50 | United Arab Emirates | $ 271,200,000,000 | 2012 est. |
| 51 | Israel | $ 247,900,000,000 | 2012 est. |
| 52 | Portugal | $ 245,000,000,000 | 2012 est. |
| 53 | Kazakhstan | $ 232,300,000,000 | 2012 est. |
| 54 | Denmark | $ 208,500,000,000 | 2012 est. |
| 55 | Finland | $ 198,100,000,000 | 2012 est. |
| 56 | Hungary | $ 196,800,000,000 | 2012 est. |
| 57 | Ireland | $ 191,500,000,000 | 2012 est. |
| 58 | Qatar | $ 189,000,000,000 | 2012 est. |
| 59 | Morocco | $ 171,000,000,000 | 2012 est. |
| 60 | Kuwait | $ 165,900,000,000 | 2012 est. |
| 61 | Iraq | $ 155,400,000,000 | 2012 est. |
| 62 | Belarus | $ 150,300,000,000 | 2012 est. |
| 63 | Ecuador | $ 134,700,000,000 | 2012 est. |
| 64 | Slovakia | $ 132,400,000,000 | 2012 est. |
| 65 | New Zealand | $ 128,500,000,000 | 2012 est. |
| 66 | Angola | $ 126,200,000,000 | 2012 est. |
| 67 | Sri Lanka | $ 126,200,000,000 | 2012 est. |
| 68 | Cuba | $ 114,100,000,000 | 2010 est. |
| 69 | Syria | $ 107,600,000,000 | 2011 est. |
| 70 | Tunisia | $ 104,400,000,000 | 2012 est. |
| 71 | Uzbekistan | $ 103,900,000,000 | 2012 est. |
| 72 | Bulgaria | $ 103,700,000,000 | 2012 est. |
| 73 | Ethiopia | $ 103,100,000,000 | 2012 est. |
| 74 | Dominican Republic | $ 98,740,000,000 | 2012 est. |
| 75 | Azerbaijan | $ 98,160,000,000 | 2012 est. |
| 76 | Oman | $ 90,660,000,000 | 2012 est. |
| 77 | Burma | $ 89,230,000,000 | 2012 est. |
| 78 | Libya | $ 87,910,000,000 | 2012 est. |
| 79 | Ghana | $ 83,180,000,000 | 2012 est. |
| 80 | Sudan | $ 80,430,000,000 | 2012 est. |
| 81 | Croatia | $ 79,670,000,000 | 2012 est. |
| 82 | Serbia | $ 79,650,000,000 | 2012 est. |
| 83 | Guatemala | $ 78,420,000,000 | 2012 est. |
| 84 | Kenya | $ 76,070,000,000 | 2012 est. |
| 85 | Tanzania | $ 73,500,000,000 | 2012 est. |
| 86 | Puerto Rico | $ 64,840,000,000 | 2010 est. |
| 87 | Lithuania | $ 64,320,000,000 | 2012 est. |
